Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Sam Aldegheri*,22,13.0,3,3,12,8.31,4.79,0.10,0.22,0.00,103.7,5.09,-5,-0.4,,0.0,-0.3,-3,.355,.497,,Traded,aldegsa01
Tyler Anderson*,34,179.1,31,31,83,4.17,4.56,0.08,0.21,0.00,104.5,4.89,14,1.5,,-0.1,3.1,31,.548,.509,$13000000,Free Agency,anderty01
Mike Baumann,28,9.1,10,0,8,7.71,4.69,0.10,-0.31,0.00,105.0,4.49,-3,-0.3,.65,0.0,-0.2,-2,.465,.498,,Purchased,baumami01
Brock Burke*,27,20.1,21,1,8,3.54,4.33,0.07,-0.27,0.00,104.7,4.18,1,0.1,1.22,0.0,0.3,3,.507,.501,,Waivers,burkebr01
Griffin Canning,28,171.2,32,31,105,5.50,4.67,0.09,0.19,0.00,102.7,4.90,-12,-1.3,.18,-0.1,0.3,4,.461,.492,$2600000,Amateur Draft,cannigr01
Adam Cimber,33,24.1,28,0,19,7.03,4.53,0.08,-0.30,0.00,103.7,4.30,-8,-0.8,1.24,-0.1,-0.7,-5,.472,.495,$1650000,Free Agency,cimbead01
José Cisnero,35,15.2,15,0,15,8.62,4.32,0.08,-0.29,0.71,106.2,4.94,-6,-0.7,.66,0.1,-0.4,-5,.456,.496,$1750,Free Agency,cisnejo01
Roansy Contreras,24,52.0,37,3,28,4.85,4.76,0.08,-0.24,0.21,103.3,4.81,0,-0.1,.82,-0.1,0.4,5,.499,.500,$755000,Purchased,contrro01
Hans Crouse,25,25.1,25,0,10,3.55,4.51,0.06,-0.30,0.44,102.5,4.70,3,0.3,1.03,0.0,0.5,6,.513,.502,,Free Agency,crousha01
Johnny Cueto,38,11.1,2,2,9,7.15,4.26,0.10,0.19,0.00,106.5,4.64,-3,-0.3,,0.0,-0.2,-2,.353,.498,,Free Agency,cuetojo01
Caden Dana,20,10.1,3,3,12,10.45,4.92,0.10,0.22,0.00,105.5,5.32,-6,-0.5,,0.0,-0.4,-5,.324,.497,,Amateur Draft,danaca01
Davis Daniel,27,30.1,6,6,22,6.53,4.27,0.09,0.19,0.00,105.3,4.61,-7,-0.6,,0.0,-0.4,-4,.394,.496,$740000,Amateur Draft,danieda01
Reid Detmers*,24,87.1,17,17,67,6.90,4.62,0.08,0.21,0.00,103.5,4.92,-20,-1.9,,-0.1,-1.1,-11,.389,.488,$770000,Amateur Draft,detmere01
Carlos Estévez,31,34.0,34,0,10,2.65,4.66,0.07,-0.31,0.65,101.4,5.00,9,0.9,1.78,0.3,1.6,12,.528,.506,$6750000,Free Agency,estevca01
Carson Fulmer,30,86.2,37,8,45,4.67,4.48,0.08,-0.08,0.32,103.1,4.78,1,0.1,.55,-0.1,0.8,9,.502,.500,,Free Agency,fulmeca01
Luis García,37,43.2,45,0,21,4.33,4.65,0.08,-0.31,0.00,102.0,4.34,0,0.0,1.29,-0.1,0.3,4,.500,.500,$4250000,Free Agency,garcilu03
