Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Jordyn Adams,24,us US,R,R,"6' 0""",181,Oct 18 1999,2,11,9,11,11,0,0,0,0,0,0,1,4,6,11,0,1,0,-0.2,"$740,000",,adamsjo03
Jo Adell,25,us US,R,R,"6' 3""",215,Apr 8 1999,5,130,117,130,123,0,0,0,0,0,0,0,4,119,123,5,8,2,0.9,"$770,000",,adelljo01
Ehire Adrianza,34,ve VE,B,R,"6' 1""",198,Aug 21 1989,12,8,6,8,8,0,0,0,2,6,0,0,0,0,0,0,1,0,0.1,,,adriaeh01
Sam Aldegheri,22,it IT,L,L,"6' 1""",180,Sep 19 2001,1st,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,aldegsa01
Tyler Anderson,34,us US,L,L,"6' 2""",220,Dec 30 1989,9,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,3.1,"$13,000,000",All-Star,anderty01
Mike Baumann,28,us US,R,R,"6' 4""",240,Sep 10 1995,4,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,baumami01
Brock Burke,27,us US,L,L,"6' 4""",210,Aug 4 1996,4,21,1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,,burkebr01
Willie Calhoun,29,us US,L,R,"5' 8""",205,Nov 4 1994,8,68,62,68,5,0,0,4,0,0,0,1,0,0,1,61,5,0,-0.2,"$817,204",,calhowi01
Gustavo Campero,26,co CO,B,R,"5' 6""",183,Sep 20 1997,1st,13,12,13,13,0,0,0,0,0,0,1,0,12,13,0,1,0,-0.1,,,campegu01
Griffin Canning,28,us US,R,R,"6' 2""",180,May 11 1996,5,32,31,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$2,600,000",,cannigr01
Adam Cimber,33,us US,R,R,"6' 3""",195,Aug 15 1990,7,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,"$1,650,000",,cimbead01
José Cisnero,35,do DO,R,R,"6' 3""",258,Apr 11 1989,8,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$1,750",,cisnejo01
Roansy Contreras,24,do DO,R,R,"6' 1""",205,Nov 7 1999,4,37,3,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$755,000",,contrro01
Hans Crouse,25,us US,L,R,"6' 4""",180,Sep 15 1998,2,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,crousha01
Johnny Cueto,38,do DO,R,R,"5' 11""",229,Feb 15 1986,17,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,cuetojo01
Caden Dana,20,us US,L,R,"6' 4""",215,Dec 17 2003,1st,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,danaca01
Davis Daniel,27,us US,R,R,"6' 1""",190,Jun 11 1997,2,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$740,000",,danieda01
