Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Yainer Diaz,25,148,619,585,70,175,29,3,16,84,2,0,24,107,.299,.325,.441,.766,118,258,22,2,0,8,1,diazya02
2,1B,Jon Singleton*,32,119,405,355,46,83,13,1,13,42,0,0,47,111,.234,.321,.386,.707,103,137,2,0,0,3,0,singljo02
3,2B,Jose Altuve,34,153,682,628,94,185,31,0,20,65,22,7,47,119,.295,.350,.439,.790,126,276,15,7,0,0,2,altuvjo01
4,SS,Jeremy Peña,26,157,650,602,78,160,28,2,15,70,20,6,25,111,.266,.308,.394,.701,100,237,15,14,3,6,1,penaje02
5,3B,Alex Bregman,30,145,634,581,79,151,30,2,26,75,3,1,44,86,.260,.315,.453,.768,118,263,13,5,0,4,1,bregmal01
6,LF,Mauricio Dubón,29,137,428,402,45,108,25,0,4,47,3,2,16,55,.269,.296,.361,.657,88,145,6,2,3,5,0,dubonma01
7,CF,Jake Meyers,28,148,513,461,51,101,20,3,13,61,11,3,35,117,.219,.286,.360,.646,85,166,17,10,3,4,0,meyerja02
8,RF,Kyle Tucker*,27,78,339,277,56,80,13,0,23,49,11,0,56,54,.289,.408,.585,.993,181,162,5,1,0,2,3,tuckeky01
9,DH,Yordan Alvarez*,27,147,635,552,88,170,34,2,35,86,6,0,69,95,.308,.392,.567,.959,172,313,14,10,0,4,16,alvaryo01
10,C,Victor Caratini#,30,87,274,245,30,66,8,1,8,30,0,1,23,53,.269,.336,.408,.744,113,100,6,3,0,3,1,caratvi01
11,OF,Chas McCormick,29,94,267,242,32,51,6,1,5,27,8,2,17,72,.211,.271,.306,.576,66,74,3,4,1,3,0,mccorch01
12,1B,José Abreu,37,35,120,113,10,14,2,0,2,7,0,0,4,28,.124,.167,.195,.361,4,22,4,2,0,1,0,abreujo02
