Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,NYY,L4-5,9.0,8,5,5,0,9,10,1,1,5.00,42,171,93,3,1,0,0,31,1,0,0,0,1,0,3,6,James Hoye,F.Valdez (99-41) S.Martinez (99) R.Montero (99-BSv) R.Pressly (99-L) T.Scott (99) J.Hader (99)
2,2,Mar 29,,NYY,L1-7,9.0,12,7,5,2,5,9,1,1,5.00,45,177,109,4,1,0,0,39,3,0,0,0,0,0,1,5,Rob Drake,C.Javier (99-69) T.Scott (0-BL) R.Montero (0) P.Mushinski (99) B.Bielak (99)
3,3,Mar 30,,NYY,L3-5,9.0,8,5,4,1,5,11,3,0,4.67,38,177,108,0,0,0,0,33,0,0,0,0,0,1,2,6,D.J. Reyburn,H.Brown (99-55) S.Martinez (1) P.Mushinski (0-H) B.Abreu (99-BL) R.Pressly (1) J.Hader (1)
4,4,Mar 31,,NYY,L3-4,9.0,10,4,4,0,2,12,0,0,4.50,39,162,97,1,0,1,0,36,2,0,0,0,1,0,0,4,John Libka,J.France (99-49) T.Scott (1) B.Abreu (0) J.Hader (0-L)
5,5,Apr 1,,TOR,W10-0,9.0,0,0,0,0,2,7,0,0,3.60,29,105,73,,,0,0,27,0,0,0,0,0,0,0,1,Charlie Ramos,R.Blanco (99-92-W)
6,6,Apr 2,,TOR,L1-2,9.0,8,2,2,0,1,5,1,1,3.33,33,110,76,1,0,0,0,31,2,0,0,0,0,0,3,3,Chad Fairchild,F.Valdez (4-72) R.Pressly (2-H) J.Hader (1-BL)
7,7,Apr 3,,TOR,W8-0,9.0,1,0,0,0,7,7,0,0,2.86,34,151,85,0,0,1,0,27,1,0,0,0,0,0,1,5,Carlos Torres,C.Javier (4-63-W) S.Martinez (3) R.Montero (4) T.Scott (2) D.Coleman (99)
8,8,Apr 5,@,TEX,L2-10,8.0,16,10,10,0,6,4,2,0,3.80,46,170,96,0,0,0,0,40,4,1,0,0,0,0,0,4,Chris Segal,H.Brown (5-22-L) B.Bielak (6) S.Martinez (1) M.Díaz (99)
9,9,Apr 6,@,TEX,L2-7,8.0,15,7,7,0,4,8,0,0,4.22,43,148,95,2,1,1,0,39,4,0,0,0,0,0,0,5,Larry Vanover,J.France (5-43-L) B.Abreu (5) R.Montero (2) R.Pressly (3) T.Scott (2)
10,10,Apr 7,@,TEX,W3-1,9.0,2,1,1,0,5,6,0,0,3.89,33,129,79,0,0,0,0,28,0,0,0,0,0,0,1,4,Scott Barry,R.Blanco (5-70-W) R.Montero (0-H) R.Pressly (0-H) J.Hader (4-Sv)
11,11,Apr 8,@,TEX,W10-5,9.0,8,5,5,0,4,5,0,1,3.99,39,137,83,3,0,0,0,34,0,0,0,0,0,0,1,5,Adrian Johnson,B.Henley (99-20) S.Martinez (2-W) T.Scott (1) B.Bielak (2) B.Abreu (1)
12,12,Apr 9,@,KCR,L3-4,9.0,7,4,2,2,5,7,0,0,3.82,40,158,95,2,0,2,0,33,1,1,0,1,1,1,0,6,Jansen Visconti,C.Javier (5-49) R.Montero (1) B.Abreu (0) R.Pressly (1) J.Hader (1) W.Suero (99-L)
13,13,Apr 10,@,KCR,L2-11,8.0,11,11,11,0,6,5,1,0,4.42,40,186,110,1,0,4,0,33,3,0,0,0,1,0,1,4,Derek Thomas,S.Arrighetti (99-17-L) B.Bielak (1) P.Mushinski (10) T.Scott (1)
14,14,Apr 11,@,KCR,L3-13,8.0,16,13,13,0,2,4,2,1,5.09,42,154,102,3,0,1,0,39,2,0,0,0,0,0,1,6,Andy Fletcher,H.Brown (5--7-L) S.Martinez (2) T.Scott (0) R.Montero (1) B.Abreu (1) G.Kessinger (99)
15,15,Apr 12,,TEX,L8-12,9.0,12,12,12,0,5,7,1,2,5.56,46,192,108,0,0,2,0,39,2,0,0,0,0,0,0,5,Angel Hernandez,J.France (5-13-L) J.Kuhnel (99) B.Bielak (1) R.Pressly (2) J.Hader (2)
16,16,Apr 13,,TEX,W9-2,9.0,8,2,2,0,4,8,0,0,5.34,36,148,88,0,0,0,0,32,1,0,0,0,0,0,2,4,Nic Lentz,R.Blanco (5-56) B.Abreu (1-W) R.Montero (1) S.Dubin (99)
17,17,Apr 14,,TEX,W8-5,9.0,10,5,5,0,2,7,2,0,5.32,38,137,94,0,0,0,0,36,3,0,0,0,0,0,0,4,Emil Jimenez,C.Javier (4-62-W) T.Scott (2) S.Martinez (2) J.Hader (1)
18,18,Apr 15,,ATL,L1-6,9.0,11,6,6,0,5,10,0,1,5.35,43,191,124,5,2,0,0,37,3,0,0,0,0,0,1,6,Tony Randazzo,S.Arrighetti (4-49-L) S.Martinez (0) R.Montero (1) B.Abreu (1) J.Hader (0) B.Bielak (2)
19,19,Apr 16,,ATL,L2-6,9.0,11,6,6,0,4,5,1,1,5.39,40,147,85,5,3,1,2,34,4,0,0,0,1,0,1,3,Alex Tosi,H.Brown (4-54-L) S.Dubin (2) F.Whitley (99)
20,20,Apr 17,,ATL,L4-5,10.0,7,5,3,2,3,13,2,0,5.24,43,180,111,0,0,0,0,39,2,0,1,0,1,2,0,6,Dan Bellino,J.France (4-54) R.Montero (1-H) B.Abreu (1-H) R.Pressly (4-BSv) J.Hader (1) S.Martinez (1-L)
21,21,Apr 19,@,WSN,W5-3,9.0,8,3,3,0,1,8,1,0,5.13,34,140,91,0,0,1,2,32,1,1,0,0,1,0,0,4,Cory Blaser,J.Verlander (99-60-W) B.Abreu (1-H) R.Pressly (1-H) J.Hader (1-Sv)
22,22,Apr 20,@,WSN,L4-5,9.0,9,5,3,2,5,10,1,0,5.03,42,150,98,0,0,1,0,35,2,0,0,0,1,0,0,5,Manny Gonzalez,R.Blanco (6-57) R.Montero (2-H) B.Abreu (0-H) R.Pressly (0-BSv) S.Martinez (2-L)
