Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Framber Valdez*,30,15,7,.682,2.91,28,28,0,1,0,0,176.1,140,60,57,13,55,0,169,6,1,8,703,136,3.25,1.106,7.1,0.7,2.8,8.6,3.07,valdefr01
2,SP,Hunter Brown,25,11,9,.550,3.49,31,30,0,0,0,0,170.0,156,71,66,18,60,0,179,5,1,4,712,113,3.58,1.271,8.3,1.0,3.2,9.5,2.98,brownhu01
3,SP,Ronel Blanco,30,13,6,.684,2.80,30,29,1,1,1,0,167.1,114,56,52,22,68,0,166,2,0,3,676,141,4.15,1.088,6.1,1.2,3.7,8.9,2.44,blancro01
4,SP,Spencer Arrighetti,24,7,13,.350,4.53,29,28,0,0,0,0,145.0,139,80,73,21,65,0,171,7,0,3,632,87,4.18,1.407,8.6,1.3,4.0,10.6,2.63,arrigsp01
5,SP,Justin Verlander,41,5,6,.455,5.48,17,17,0,0,0,0,90.1,98,56,55,15,27,0,74,6,1,2,396,72,4.78,1.384,9.8,1.5,2.7,7.4,2.74,verlaju01
6,CL,Josh Hader*,30,8,8,.500,3.80,71,0,62,0,0,34,71.0,43,33,30,12,25,0,105,1,2,4,278,104,3.51,0.958,5.5,1.5,3.2,13.3,4.20,haderjo01
7,RP,Bryan Abreu,27,3,3,.500,3.10,78,0,3,0,0,1,78.1,59,27,27,9,32,0,103,6,1,4,325,128,3.49,1.162,6.8,1.0,3.7,11.8,3.22,abreubr01
8,RP,Tayler Scott,32,7,3,.700,2.23,62,1,11,0,0,0,68.2,45,21,17,7,35,1,71,4,0,0,282,178,4.13,1.165,5.9,0.9,4.6,9.3,2.03,scottta02
9,RP,Ryan Pressly,35,2,3,.400,3.49,59,0,8,0,0,4,56.2,58,25,22,4,18,0,58,2,0,7,244,114,3.10,1.341,9.2,0.6,2.9,9.2,3.22,pressry01
10,RP,Seth Martinez,29,3,2,.600,3.59,44,0,14,0,0,1,52.2,49,24,21,7,18,1,36,4,2,0,222,111,4.78,1.272,8.4,1.2,3.1,6.2,2.00,martise01
11,,Yusei Kikuchi*,33,5,1,.833,2.70,10,10,0,0,0,0,60.0,42,22,18,8,14,0,76,0,0,2,239,147,3.07,0.933,6.3,1.2,2.1,11.4,5.43,kikucyu01
12,,Shawn Dubin,28,1,1,.500,4.17,31,2,11,0,0,2,45.1,45,25,21,3,26,0,49,2,0,1,207,95,3.72,1.566,8.9,0.6,5.2,9.7,1.88,dubinsh01
13,,Rafael Montero,33,1,2,.333,4.70,41,0,7,0,0,0,38.1,35,21,20,8,19,0,23,3,0,0,164,85,6.40,1.409,8.2,1.9,4.5,5.4,1.21,montera01
14,,Cristian Javier,27,3,1,.750,3.89,7,7,0,0,0,0,34.2,30,16,15,4,19,0,27,0,0,1,150,102,4.75,1.413,7.8,1.0,4.9,7.0,1.42,javiecr01
15,,Bryan King*,27,1,0,1.000,2.39,28,0,7,0,0,0,26.1,20,7,7,1,10,0,32,3,0,0,109,167,2.71,1.139,6.8,0.3,3.4,10.9,3.20,kingbr02
16,,J.P. France,29,0,3,.000,7.46,5,5,0,0,0,0,25.1,31,21,21,5,12,0,22,1,1,3,121,54,5.54,1.697,11.0,1.8,4.3,7.8,1.83,francjp01
17,,Kaleb Ort,32,1,1,.500,2.55,22,0,6,0,0,0,24.2,16,7,7,7,4,0,26,0,0,1,93,157,5.23,0.811,5.8,2.6,1.5,9.5,6.50,ortka01
