Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Bryan Abreu,27,do DO,R,R,"6' 1""",230,Apr 22 1997,6,78,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,1.7,"$1,750,000",,abreubr01
José Abreu,37,cu CU,R,R,"6' 3""",250,Jan 29 1987,11,35,31,35,35,0,0,35,0,0,0,0,0,0,0,0,2,0,-1.7,"$19,500,000",,abreujo02
Jose Altuve,34,ve VE,R,R,"5' 6""",167,May 6 1990,14,153,151,153,147,0,0,0,147,0,0,0,0,0,0,5,2,0,3.4,"$29,000,000",All-Star,altuvjo01
Yordan Alvarez,27,cu CU,L,R,"6' 5""",237,Jun 27 1997,6,147,147,147,53,0,0,0,0,0,0,53,0,0,53,94,0,0,5.4,"$10,833,333",All-Star,alvaryo01
Jacob Amaya,25,us US,R,R,"5' 10""",180,Sep 3 1998,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"$740,000",,amayaja01
Spencer Arrighetti,24,us US,R,R,"6' 2""",186,Jan 2 2000,1st,29,28,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$740,000",,arrigsp01
Brandon Bielak,28,us US,L,R,"6' 2""",221,Apr 2 1996,5,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,bielabr01
Ronel Blanco,30,do DO,R,R,"6' 3""",265,Aug 31 1993,3,30,29,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,4.5,"$749,800",,blancro01
Jake Bloss,23,us US,R,R,"6' 3""",223,Jun 23 2001,1st,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,blossja01
Alex Bregman,30,us US,R,R,"6' 0""",190,Mar 30 1994,9,145,145,145,142,0,0,0,0,142,0,0,0,0,0,3,0,0,4.1,"$30,500,000",,bregmal01
Hunter Brown,25,us US,R,R,"6' 2""",220,Aug 29 1998,3,31,30,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.6,"$774,500",,brownhu01
Trey Cabbage,27,us US,L,R,"6' 2""",204,May 3 1997,2,45,21,45,39,0,0,0,0,0,0,11,0,28,39,3,10,5,-0.1,"$740,000",,cabbatr01
Victor Caratini,30,pr PR,B,R,"5' 11""",225,Aug 17 1993,8,87,66,87,69,0,58,11,0,0,0,0,0,0,0,3,20,0,1.3,"$6,000,000",,caratvi01
Dylan Coleman,27,us US,R,R,"6' 5""",235,Sep 16 1996,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"$740,000",,colemdy01
Luis Contreras,28,ve VE,R,R,"6' 1""",175,Apr 29 1996,1st,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,contrlu01
Zach Dezenzo,24,us US,R,R,"6' 5""",220,May 11 2000,1st,19,15,19,15,0,0,14,0,3,0,0,0,0,0,3,2,1,-0.2,,,dezenza01
Aledmys Díaz,33,cu CU,R,R,"6' 1""",195,Aug 1 1990,9,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,-0.1,,,diazal02
