Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Shea Langeliers,26,137,534,482,58,108,18,2,29,80,4,2,41,145,.224,.288,.450,.739,111,217,15,5,0,6,2,langesh01
2,1B,Tyler Soderstrom*,22,61,213,189,18,44,10,0,9,26,0,0,20,53,.233,.315,.429,.743,114,81,7,3,0,1,1,soderty01
3,2B,Zack Gelof,24,138,547,497,60,105,20,2,17,49,25,3,38,188,.211,.270,.362,.632,82,180,7,4,3,5,0,gelofza01
4,SS,Max Schuemann,27,133,459,396,55,87,14,0,7,34,14,1,47,119,.220,.311,.308,.619,82,122,8,7,5,4,0,schuema01
5,3B,Abraham Toro#,27,94,364,337,34,81,17,1,6,26,4,2,20,62,.240,.293,.350,.643,87,118,4,5,2,0,1,toroab01
6,LF,Miguel Andujar,29,75,319,302,31,86,14,1,4,30,3,2,13,42,.285,.320,.377,.697,103,114,10,3,0,1,0,andujmi01
7,CF,JJ Bleday*,26,159,642,572,74,139,43,4,20,60,2,3,67,125,.243,.324,.437,.762,120,250,8,2,1,0,2,bledajj01
8,RF,Lawrence Butler*,23,125,451,412,63,108,24,2,22,57,18,0,35,108,.262,.317,.490,.807,131,202,8,0,0,4,0,butlela01
9,DH,Brent Rooker,29,145,614,546,82,160,26,2,39,112,11,3,59,177,.293,.365,.562,.927,165,307,5,5,0,4,4,rookebr01
10,UT,Seth Brown*,31,124,400,372,32,86,11,1,14,44,4,2,25,112,.231,.283,.379,.662,91,141,7,2,0,1,0,brownse01
11,CI,Tyler Nevin,27,87,278,245,22,50,10,0,7,20,1,0,25,64,.204,.288,.331,.618,80,81,5,5,0,3,0,nevinty01
12,OF,Daz Cameron,27,66,186,170,22,34,5,1,5,15,5,0,13,51,.200,.258,.329,.587,70,56,3,1,0,2,0,camerda01
13,C,Kyle McCann*,26,54,157,140,13,33,4,0,5,15,0,0,16,59,.236,.318,.371,.690,101,52,2,1,0,0,1,mccanky01
14,CI,J.D. Davis,31,39,135,123,12,29,4,0,4,5,0,0,9,30,.236,.304,.366,.670,94,45,3,3,0,0,0,davisjd01
15,IF,Darell Hernaiz,22,48,135,120,8,23,3,0,1,12,1,1,11,27,.192,.261,.242,.503,48,29,4,1,1,2,0,hernada04
16,3B,Brett Harris,26,36,123,103,15,15,3,0,3,12,0,3,17,25,.146,.276,.262,.539,59,27,3,2,0,1,0,harribr02
