Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Austin Adams,33,56,0,0,41.1,4,2,2,0,1,1,,,-1,-5,0,0.87,0.07,,,4,2,0.33,0.22,0,P,adamsau02
Scott Alexander,34,45,0,0,38.2,8,1,7,0,0,1,,,1,5,0,1.86,0.18,,,3,1,0.25,0.22,0,P,alexasc02
Nick Allen,25,41,30,24,269.1,129,49,74,6,24,0.953,1,6,4,18,0,4.11,3,,,,,,,,SS-3B-2B,allenni02
Armando Alvarez,29,14,10,5,80,39,30,9,0,4,1,-3,-46,-3,-45,0,4.39,2.79,,,,,,,,3B-1B-2B-LF,alvarar01
Miguel Andujar,29,72,71,64,615.2,141,129,10,2,1,0.986,8,16,-1,-2,1,2.03,1.83,,,,,,,,LF-DH-1B,andujmi01
Brady Basso,26,7,4,0,22.1,1,0,1,0,0,1,,,-1,-9,0,0.4,0.14,,,2,1,0.33,0.22,1,P,bassobr01
Osvaldo Bido,28,16,9,0,63.1,9,3,5,1,0,0.889,,,-1,-3,0,1.14,0.5,,,6,1,0.14,0.22,0,P,bidoos01
Brandon Bielak,28,6,0,0,12.1,2,0,2,0,0,1,,,0,0,0,1.46,0.33,,,1,0,0,0.22,0,P,bielabr01
Paul Blackburn,30,9,9,0,51,9,5,3,1,0,0.889,,,-1,-4,0,1.41,0.89,,,5,1,0.17,0.22,0,P,blackpa01
JJ Bleday,26,157,144,134,1295,405,392,8,5,1,0.988,0,0,-19,-18,1,2.78,2.53,,,,,,,,CF-DH,bledajj01
Joe Boyle,24,13,10,0,47.2,4,1,2,1,0,0.75,,,-2,-8,0,0.57,0.23,,,10,1,0.09,0.22,1,P,boylejo01
Aaron Brooks,34,5,4,0,26.2,6,4,2,0,0,1,,,0,0,0,2.03,1.2,,,2,1,0.33,0.22,0,P,brookaa01
Seth Brown,31,121,93,72,862.2,398,367,27,4,17,0.99,-1,-2,-6,-8,-1,4.11,2.94,,,,,,,,LF-1B-RF-CF-DH,brownse01
Lawrence Butler,23,123,105,94,959.1,259,253,2,4,1,0.985,-1,-1,-1,-1,-2,2.39,2.04,,,,,,,,RF-CF,butlela01
Daz Cameron,27,58,45,24,384.1,86,83,3,0,0,1,-5,-14,-4,-12,0,2.01,1.28,,,,,,,,LF-RF-CF-DH,camerda01
J.D. Davis,31,33,28,14,245,156,129,26,1,17,0.994,-7,-35,-2,-10,1,5.69,3.52,,,,,,,,1B-3B-DH,davisjd01
Aledmys Díaz,33,12,9,6,75.1,41,22,19,0,4,1,-2,-28,-1,-16,0,4.9,3.15,,,,,,,,SS-1B-2B-3B-LF,diazal02
Lucas Erceg,29,38,0,0,36.2,10,5,5,0,2,1,,,1,5,0,2.45,0.26,,,0,0,,,0,P,erceglu01
Joey Estes,22,25,24,1,127.2,10,5,5,0,2,1,,,1,2,0,0.7,0.4,,,4,1,0.2,0.22,0,P,estesjo01
Tyler Ferguson,30,48,0,0,51.1,2,0,2,0,0,1,,,1,4,0,0.35,0.04,,,0,2,1,0.22,0,P,ferguty01
Zack Gelof,24,138,136,134,1209.2,603,264,332,7,92,0.988,2,2,-1,-1,1,4.43,4.32,,,,,,,,2B,gelofza01
J.T. Ginn,25,8,6,0,34,6,5,1,0,1,1,,,1,6,0,1.59,0.75,,,0,2,1,0.22,0,P,ginnjt01
Tristan Gray,28,8,6,5,58,35,28,7,0,4,1,0,-7,2,41,0,5.43,3.89,,,,,,,,1B-3B,graytr01
Brett Harris,26,35,31,28,280,82,20,59,3,9,0.963,0,1,-4,-17,-1,2.54,2.26,,,,,,,,3B,harribr02
Hogan Harris,27,21,9,0,72.1,7,1,5,1,0,0.857,,,0,0,0,0.75,0.29,,,2,3,0.6,0.22,1,P,harriho03
Darell Hernaiz,22,47,39,25,339,130,52,75,3,13,0.977,-5,-18,-5,-18,1,3.37,2.35,,,,,,,,3B-SS-2B,hernada04
Grant Holman,24,18,0,0,15.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,holmagr01
Dany Jiménez,30,25,0,0,25.2,2,0,1,1,0,0.5,,,0,0,0,0.35,0.04,,,0,0,,,0,P,jimenda01
Janson Junk,28,1,0,0,0,0,0,0,0,0,,,,0,,,,0,,,0,0,,,0,P,junkja01
Michael Kelly,31,28,0,0,31.1,2,1,1,0,0,1,,,-1,-6,0,0.57,0.07,,,1,0,0,0.22,0,P,kellymi03
Will Klein,24,3,0,0,1.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,kleinwi01
Shea Langeliers,26,131,123,118,1108.2,1063,1007,51,5,5,0.995,-2,-2,-10,-11,-6,8.59,7.9,7,53,79,29,0.27,0.22,1,C-DH,langesh01
Easton Lucas,27,3,0,0,3.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,lucasea01
Kyle McCann,26,44,39,30,324,304,288,12,4,2,0.987,-1,-4,-6,-22,0,8.33,6,5,7,34,8,0.19,0.22,0,C-DH,mccanky01
T.J. McFarland,35,79,0,0,56.2,18,9,9,0,1,1,,,0,0,0,2.86,0.23,,,6,0,0,0.22,0,P,mcfartj01
Luis Medina,25,8,8,0,40,8,4,3,1,1,0.875,,,1,5,0,1.58,0.88,,,1,1,0.5,0.22,1,P,medinlu02
Mason Miller,25,55,0,0,65,3,2,1,0,0,1,,,-1,-3,0,0.42,0.05,,,6,0,0,0.22,0,P,millema03
Kyle Muller,26,21,0,0,49.1,10,5,4,1,0,0.9,,,0,0,0,1.64,0.43,,,6,2,0.25,0.22,1,P,mulleky01
Tyler Nevin,27,80,64,24,542,303,261,38,4,25,0.987,-7,-15,-1,-2,-1,4.96,3.02,,,,,,,,1B-3B-RF-LF-DH,nevinty01
Sean Newcomb,31,7,0,0,10,3,0,3,0,0,1,,,0,0,0,2.7,0.43,,,3,2,0.4,0.22,1,P,newcose01
Vinny Nittoli,33,7,0,0,8,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0,0.22,0,P,nittovi01
Ryan Noda,28,32,24,19,225,198,178,18,2,24,0.99,2,11,1,5,0,7.84,5.94,,,,,,,,1B-RF-DH,nodary01
Jack O'Loughlin,24,4,0,0,9.2,1,1,0,0,0,1,,,0,0,0,0.93,0.25,,,0,0,,,0,P,olougja01
Michel Otañez,26,36,0,0,34,0,0,0,0,0,,,,-1,-6,0,0,0,,,3,0,0,0.22,0,P,otanemi01
Gerardo Reyes,31,3,0,0,4,0,0,0,0,0,,,,0,0,,0,0,,,0,1,1,0.22,0,P,reyesge01
Brent Rooker,29,14,13,7,102.1,16,16,0,0,0,1,-2,-25,-1,-12,0,1.41,0.11,,,,,,,,LF-RF-DH,rookebr01
Esteury Ruiz,25,27,16,7,141,36,35,0,1,0,0.972,-1,-7,-1,-9,-1,2.23,1.25,,,,,,,,LF-CF,ruizes01
Max Schuemann,27,132,119,106,1071.2,415,139,261,15,48,0.964,-6,-6,-7,-8,1,3.36,2.88,,,,,,,,SS-3B-2B-LF-CF-RF,schuema01
JP Sears,28,32,32,0,180.2,21,3,17,1,2,0.952,,,-2,-2,-1,1,0.63,,,23,4,0.15,0.22,1,P,searsjp01
Tyler Soderstrom,22,59,53,42,455,404,377,24,3,47,0.993,1,3,-3,-8,1,7.93,6.68,0,0,1,0,0,0.22,0,1B-C,soderty01
