Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,num,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,CLE,L0-8,31,30,0,4,1,0,0,0,1,0,13,0,0,0,1,1,0,0,.133,.161,.167,.328,4,11,R,S.Bieber(74)
2,2,Mar 29,,CLE,L4-6,36,32,4,8,2,0,2,4,2,0,5,0,0,2,0,1,0,0,.194,.224,.339,.563,5,11,L,L.Allen(46)
3,3,Mar 30,,CLE,L3-12,40,32,3,6,1,0,0,3,6,0,14,2,0,0,0,0,1,0,.191,.271,.298,.569,10,10,R,T.Bibee(37)
4,4,Mar 31,,CLE,W4-3,36,30,4,9,1,2,0,4,4,0,6,1,1,0,0,1,1,1,.218,.303,.339,.642,8,11,R,C.Carrasco(45)
5,5,Apr 1,,BOS,L0-9,31,31,0,4,1,0,0,0,0,0,13,0,0,0,0,0,0,0,.200,.272,.303,.575,4,11,R,T.Houck(76)
6,6,Apr 2,,BOS,L4-5,44,39,4,7,3,0,2,4,4,1,14,0,1,0,0,1,0,0,.196,.269,.325,.593,9,11,R,B.Bello(46)
7,7,Apr 3,,BOS,L0-1,37,34,0,8,1,0,0,0,3,0,5,0,0,0,0,1,0,0,.202,.273,.316,.589,10,13,R,N.Pivetta(59)
8,8,Apr 5,@,DET,L4-5,37,32,4,5,2,0,2,4,5,0,14,0,0,0,0,0,0,0,.196,.272,.327,.599,6,11,L,T.Skubal(56)
9,9,Apr 6,@,DET,W4-0,37,31,4,5,0,0,1,4,6,0,8,0,0,0,0,0,1,1,.192,.275,.320,.595,6,9,R,K.Maeda(52)
10,10,Apr 7,@,DET,W7-1,42,39,7,14,1,1,1,7,2,0,5,1,0,0,0,1,0,0,.212,.290,.342,.632,8,11,R,J.Flaherty(34)
11,11,Apr 9,@,TEX,W4-3,35,32,4,5,0,0,3,4,3,0,13,0,0,0,0,0,0,0,.207,.285,.351,.635,4,10,R,N.Eovaldi(65)
12,12,Apr 10,@,TEX,L2-6,38,37,2,9,1,0,1,2,1,0,9,0,0,0,0,0,0,0,.211,.283,.351,.634,9,10,L,C.Bradford(68)
13,13,Apr 11,@,TEX,W1-0,33,31,1,4,1,0,1,1,2,0,14,0,0,0,0,0,1,0,.205,.276,.344,.620,5,11,R,J.Gray(65)
14,14,Apr 12,,WSN,W2-1,35,32,2,3,0,0,1,2,3,1,10,0,0,0,1,0,1,0,.197,.269,.333,.602,6,11,R,J.Irvin(69)
15,15,Apr 13,,WSN,L1-3,36,34,1,8,1,0,0,1,2,0,18,0,0,0,0,1,2,0,.200,.269,.329,.598,8,12,L,M.Gore(69)
16,16,Apr 14,,WSN,W7-6,37,32,7,11,2,0,0,6,5,0,9,0,0,0,0,2,0,0,.208,.280,.333,.613,6,11,R,T.Williams(50)
17,17,Apr 15,,STL,L1-3,31,30,1,5,1,0,1,1,1,0,10,0,0,0,0,1,0,1,.206,.275,.332,.607,3,11,R,S.Gray(70)
18,18,Apr 16,,STL,L2-3,33,32,2,5,1,0,1,2,1,0,3,0,0,0,0,0,0,0,.203,.270,.329,.599,4,10,R,L.Lynn(61)
19,19,Apr 17,,STL,W6-3,37,32,6,10,2,0,1,6,4,0,5,0,0,1,0,1,1,0,.209,.276,.336,.612,7,11,L,S.Matz(34)
20,20,Apr 19,@,CLE,L2-10,36,33,2,6,1,0,2,2,3,0,10,0,0,0,0,0,0,0,.208,.275,.339,.614,7,10,R,T.McKenzie(60)
21,21,Apr 20,@,CLE,L3-6,37,31,3,6,1,1,2,3,5,0,11,0,0,1,1,0,1,1,.207,.276,.345,.622,7,12,L,L.Allen(47)
22,22,Apr 21,@,CLE,L2-6,38,34,2,7,0,0,1,2,4,0,12,0,0,0,1,1,1,0,.207,.277,.343,.620,9,11,R,T.Bibee(57)
23,23,Apr 22,@,NYY,W2-0,37,29,2,4,0,0,1,2,4,0,8,3,1,0,0,0,0,1,.204,.278,.339,.617,8,12,L,C.Rodón(77)
24,24,Apr 23,@,NYY,L3-4,36,34,3,7,1,0,2,3,2,0,13,0,0,0,0,0,0,0,.204,.277,.342,.619,6,12,R,M.Stroman(50)
25,25,Apr 24,@,NYY,L3-7,33,30,3,4,2,0,1,3,2,0,9,1,0,0,0,1,0,0,.202,.274,.341,.615,3,9,R,C.Schmidt(52)
26,26,Apr 25,@,NYY,W3-1,33,31,3,6,1,0,2,3,1,0,5,0,1,0,0,2,1,0,.201,.273,.344,.616,3,11,L,N.Cortés(59)
27,27,Apr 26,@,BAL,W3-2,41,35,3,7,4,0,1,3,6,0,11,0,0,0,0,0,1,0,.201,.274,.346,.620,9,12,R,C.Burnes(65)
28,28,Apr 27,@,BAL,L0-7,32,29,0,5,0,0,0,0,1,0,6,2,0,0,0,3,0,0,.200,.274,.340,.614,5,11,L,C.Irvin(74)
29,29,Apr 28,@,BAL,W7-6,39,37,7,10,1,0,3,7,2,0,11,0,0,0,0,0,0,0,.203,.275,.348,.623,5,12,R,A.Suárez(37)
30,30,Apr 29,,PIT,W5-1,36,28,5,8,4,0,1,5,4,1,10,0,1,3,0,0,2,0,.206,.277,.354,.631,7,11,L,B.Falter(40)
31,31,Apr 30,,PIT,W5-2,35,31,5,8,2,0,2,5,3,0,9,1,0,0,0,0,1,1,.207,.279,.359,.638,6,12,R,M.Keller(50)
32,32,May 1,,PIT,W4-0,36,31,4,6,0,0,2,3,5,0,6,0,0,0,1,0,1,0,.207,.280,.359,.639,8,12,R,Q.Priester(51)
33,33,May 3,,MIA,W3-1,30,28,3,5,2,0,1,3,0,0,9,1,1,0,0,0,0,0,.206,.278,.359,.638,3,12,L,R.Weathers(55)
34,34,May 4,,MIA,W20-4,54,45,20,21,1,1,6,20,6,0,3,3,0,0,1,1,0,0,.217,.290,.383,.673,10,12,L,T.Rogers(7)
35,35,May 5,,MIA,L3-12,37,32,3,5,1,0,0,3,5,0,7,0,0,0,0,1,0,0,.215,.290,.377,.667,7,10,R,S.Sánchez(47)
36,36,May 6,,TEX,L2-4,36,32,2,7,2,0,0,2,2,0,8,0,0,2,1,0,0,0,.215,.289,.375,.663,7,11,L,A.Heaney(57)
37,37,May 7,,TEX,L8-15,46,36,8,7,1,0,2,7,10,0,7,0,0,0,2,0,0,0,.214,.291,.375,.666,11,10,R,J.Ureña(53)
38,38,May 8 (1),,TEX,W9-4,36,32,9,10,4,1,3,9,3,0,8,1,0,0,0,1,0,0,.217,.294,.385,.679,3,10,R,M.Lorenzen(34)
39,39,May 8 (2),,TEX,L11-12,49,41,11,14,3,0,2,9,7,1,11,0,0,1,0,0,0,0,.221,.299,.391,.690,11,13,R,J.Leiter(31)
40,40,May 10,@,SEA,L1-8,37,34,1,7,1,0,0,1,2,0,9,1,0,0,0,0,0,0,.221,.298,.387,.685,9,10,R,B.Woo(63)
41,41,May 11,@,SEA,W8-1,41,34,8,9,3,0,1,7,5,1,12,0,2,0,0,0,2,0,.222,.299,.388,.688,6,12,R,B.Miller(61)
42,42,May 12,@,SEA,L4-8,35,34,4,9,0,0,3,4,1,0,9,0,0,0,0,1,0,1,.223,.299,.392,.691,4,9,R,L.Castillo(58)
43,43,May 13,@,HOU,L2-9,37,34,2,9,3,0,0,2,3,0,12,0,0,0,0,0,2,2,.224,.300,.391,.691,8,11,R,S.Arrighetti(52)
44,44,May 14,@,HOU,L1-2,39,36,1,7,2,0,0,1,2,0,14,1,0,0,0,1,0,0,.223,.299,.387,.686,9,12,R,R.Blanco(54)
45,45,May 15,@,HOU,L0-3,31,27,0,2,0,0,0,0,4,0,9,0,0,0,1,3,0,0,.220,.297,.382,.678,4,12,L,F.Valdez(79)
46,46,May 16,@,HOU,L1-8,32,30,1,4,1,0,0,1,1,0,10,1,0,0,0,1,1,0,.219,.295,.377,.672,4,11,R,C.Javier(75)
47,47,May 17,@,KCR,L2-6,32,29,2,4,1,0,1,2,3,0,10,0,0,0,0,1,0,1,.217,.293,.376,.669,3,9,L,C.Ragans(78)
48,48,May 18,@,KCR,L3-5,39,38,3,11,2,0,1,3,1,0,13,0,0,0,1,0,0,0,.219,.294,.377,.670,9,13,R,S.Lugo(58)
49,49,May 19,@,KCR,L4-8,41,38,4,11,4,0,1,4,2,0,12,1,0,0,0,0,0,0,.220,.295,.379,.674,10,9,R,B.Singer(64)
50,50,May 21,,COL,W5-4,33,30,5,6,1,1,3,4,3,0,11,0,0,0,0,0,2,0,.220,.294,.383,.677,4,11,R,C.Quantrill(65)
51,51,May 22,,COL,L3-4,45,42,3,8,1,0,1,2,3,0,11,0,0,0,0,2,0,0,.219,.293,.381,.674,9,13,L,A.Gomber(74)
52,52,May 23,,COL,W10-9,53,47,10,17,4,0,3,10,6,1,9,0,0,0,0,2,2,0,.223,.297,.388,.684,13,10,R,R.Feltner(68)
53,53,May 24,,HOU,L3-6,39,38,3,10,1,0,1,3,0,0,13,1,0,0,1,0,0,0,.224,.297,.387,.684,9,9,R,J.Verlander(59)
54,54,May 25,,HOU,W3-1,36,30,3,6,1,0,0,3,6,0,8,0,0,0,0,0,1,0,.224,.297,.385,.682,9,10,R,S.Arrighetti(49)
55,55,May 26,,HOU,L2-5,33,31,2,6,0,0,2,2,2,0,8,0,0,0,0,2,0,0,.223,.296,.385,.681,4,10,R,R.Blanco(70)
56,56,May 28,@,TBR,W3-0,36,31,3,6,0,0,1,3,4,0,11,1,0,0,0,2,1,0,.223,.297,.383,.680,6,10,R,Z.Littell(61)
57,57,May 29,@,TBR,L3-4,34,32,3,6,2,1,0,2,1,0,10,0,0,1,1,0,0,0,.222,.295,.382,.677,4,11,R,R.Pepiot(61)
58,58,May 30,@,TBR,L5-6,48,45,5,11,5,0,1,5,2,2,14,0,1,0,0,1,2,0,.223,.295,.383,.677,10,11,R,S.Armstrong(53)
59,59,May 31,@,ATL,L2-4,37,32,2,6,2,0,0,2,4,0,11,0,0,1,0,0,1,0,.222,.294,.381,.675,8,9,R,R.López(66)
60,60,Jun 1,@,ATL,W11-9,43,41,11,16,3,1,2,11,1,0,8,0,1,0,0,0,1,1,.225,.296,.386,.683,5,10,L,C.Sale(15)
61,61,Jun 2,@,ATL,L1-3,35,27,1,2,0,0,1,1,7,0,9,1,0,0,0,1,0,0,.223,.296,.384,.680,7,11,R,C.Morton(71)
62,62,Jun 4,,SEA,L3-4,40,34,3,8,2,0,0,2,6,0,11,0,0,0,0,1,0,0,.224,.297,.382,.679,10,10,R,G.Kirby(55)
63,63,Jun 5,,SEA,W2-1,28,28,2,5,1,0,1,1,0,0,6,0,0,0,0,1,1,0,.223,.296,.381,.677,2,10,R,L.Gilbert(66)
64,64,Jun 6,,SEA,L0-3,30,30,0,2,1,0,0,0,0,0,8,0,0,0,1,0,0,0,.221,.293,.377,.670,3,9,R,B.Woo(74)
65,65,Jun 7,,TOR,W2-1,30,28,2,5,0,0,1,1,2,0,7,0,0,0,0,1,0,0,.220,.292,.376,.668,4,9,R,C.Bassitt(75)
66,66,Jun 8,,TOR,L0-7,32,31,0,5,0,0,0,0,1,0,10,0,0,0,0,1,1,0,.219,.291,.373,.664,5,9,R,K.Gausman(86)
67,67,Jun 9,,TOR,L4-6,39,36,4,7,1,0,1,4,2,0,10,0,1,0,0,0,0,0,.219,.290,.372,.662,6,10,R,B.Francis(58)
68,68,Jun 10,@,SDP,L1-6,39,35,1,8,1,0,1,1,3,0,16,1,0,0,0,0,1,0,.219,.290,.372,.662,11,10,R,D.Cease(59)
69,69,Jun 11,@,SDP,L3-4,37,33,3,9,1,0,2,3,3,0,8,0,1,0,0,1,0,1,.220,.291,.373,.664,7,10,R,R.Vásquez(52)
70,70,Jun 12,@,SDP,L4-5,41,37,4,10,1,0,0,4,4,0,18,0,0,0,0,0,0,0,.221,.292,.372,.664,10,9,R,M.King(61)
71,71,Jun 13,@,MIN,L2-6,32,31,2,4,0,0,1,2,1,0,7,0,0,0,0,0,0,0,.220,.290,.370,.660,3,9,R,J.Ryan(67)
72,72,Jun 14,@,MIN,L5-6,42,34,5,5,0,1,1,5,6,0,9,2,0,0,0,0,0,0,.219,.290,.369,.659,8,11,R,S.Woods Richardson(38)
73,73,Jun 16 (1),@,MIN,L2-6,37,34,2,9,1,0,1,2,3,0,10,0,0,0,0,1,0,0,.219,.291,.369,.660,8,9,R,B.Ober(63)
74,74,Jun 16 (2),@,MIN,L7-8,40,38,7,11,2,0,2,6,1,0,8,1,0,0,0,0,0,0,.220,.291,.371,.662,6,9,R,C.Paddack(26)
75,75,Jun 18,,KCR,W7-5,37,34,7,11,6,0,1,7,2,0,9,0,0,1,0,0,1,0,.222,.292,.374,.666,6,10,R,A.Marsh(19)
76,76,Jun 19,,KCR,W5-1,39,32,5,8,1,0,1,5,7,0,7,0,0,0,1,1,0,0,.222,.293,.374,.667,10,10,L,C.Ragans(59)
77,77,Jun 20,,KCR,L2-3,37,32,2,9,2,0,1,2,5,0,9,0,0,0,1,3,0,0,.223,.294,.375,.669,8,13,R,S.Lugo(59)
