Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Nick Allen,25,41,105,-8,0,1,4,2,-1,-0.1,4,2,0.2,.497,.499,-0.2,0.6,-2,$745000,Amateur Draft,6/5H4,allenni02
Armando Alvarez,29,16,39,-2,0,0,-3,0,-5,-0.5,1,-4,-0.4,.468,.497,-0.1,-0.3,0,,Free Agency,/53H74,alvarar01
Miguel Andujar,29,75,319,1,-3,-1,-1,-3,-7,-0.7,11,4,0.4,.491,.496,0.5,-0.4,5,$1700000,Waivers,7/D3H,andujmi01
JJ Bleday*,26,159,642,15,-2,1,-18,5,1,0.1,22,23,2.2,.501,.500,4.1,-1.4,41,$745000,Traded,*8H/D,bledajj01
Seth Brown*,31,124,400,-5,-1,-1,-6,-6,-18,-1.9,14,-4,-0.6,.485,.488,0.1,-1.2,2,$2600000,Amateur Draft,739H/D8,brownse01
Lawrence Butler*,23,125,451,15,3,0,-1,-3,14,1.5,15,29,3.0,.512,.509,3.1,-0.5,30,$740000,Amateur Draft,*9H/8,butlela01
Daz Cameron,27,66,186,-7,1,1,-4,-2,-10,-1.1,6,-4,-0.5,.483,.493,-0.1,-0.6,0,$740000,Free Agency,79H8/D,camerda01
J.D. Davis,31,39,135,-1,0,0,-2,-1,-5,-0.6,5,-1,-0.1,.485,.496,0.1,-0.4,1,,Free Agency,35/DH,davisjd01
Aledmys Díaz,33,12,30,-5,0,0,-1,0,-5,-0.6,1,-4,-0.5,.452,.496,-0.4,-0.1,-3,$8000000,Free Agency,/63457H,diazal02
Zack Gelof,24,138,547,-12,5,-1,-2,5,-5,-0.6,19,13,1.3,.496,.496,1.5,0.3,15,$740000,Amateur Draft,*4/H,gelofza01
Tristan Gray*,28,8,24,-2,0,0,2,0,-1,-0.1,1,0,0.0,.492,.500,-0.2,0.2,-2,,Waivers,/35H,graytr01
Brett Harris,26,36,123,-4,-1,0,-4,1,-9,-0.9,4,-4,-0.5,.475,.494,-0.1,-0.3,0,$740000,Amateur Draft,5/H,harribr02
Darell Hernaiz,22,48,135,-7,0,-1,-5,2,-12,-1.2,5,-7,-0.8,.474,.492,-0.3,-0.3,-2,$740000,Traded,56/H4,hernada04
Shea Langeliers,26,137,534,7,-1,-1,-3,9,10,1.1,18,28,2.9,.508,.507,3.2,0.6,31,$745000,Traded,*2/HD,langesh01
Kyle McCann*,26,54,157,0,-1,0,-4,2,-3,-0.3,5,2,0.2,.494,.498,0.6,-0.2,6,$740000,Amateur Draft,2/HD,mccanky01
Tyler Nevin,27,87,278,-6,0,0,-1,-3,-11,-1.1,10,-1,-0.2,.487,.493,-0.1,-0.4,0,,Waivers,359H7/D,nevinty01
Ryan Noda*,28,36,111,-8,-1,0,1,-1,-9,-0.9,4,-5,-0.6,.474,.494,-0.7,-0.1,-6,$745000,Waivers,3/H9D,nodary01
Brent Rooker,29,145,614,46,-1,2,-1,-12,34,3.5,21,55,5.6,.524,.522,5.7,-1.4,56,$750000,Waivers,*D/79H,rookebr01
Esteury Ruiz,25,29,65,-1,-1,0,-1,0,-3,-0.4,2,-1,-0.1,.488,.498,0.0,-0.1,0,$745000,Traded,7H/8,ruizes01
Max Schuemann,27,133,459,-7,2,-1,-7,6,-7,-0.7,16,9,0.8,.495,.495,1.5,-0.1,16,$740000,Amateur Draft,65/4H789,schuema01
Tyler Soderstrom*,22,61,213,4,0,-1,-3,-2,-2,-0.2,7,5,0.5,.496,.499,0.8,-0.6,8,$740000,Amateur Draft,3/H2,soderty01
Abraham Toro#,27,94,364,-6,0,1,-2,1,-6,-0.6,12,7,0.6,.494,.496,0.8,-0.1,9,$1275000,Traded,54DH/37,toroab01
Jacob Wilson,22,28,103,-2,0,0,-4,2,-5,-0.5,4,-2,-0.2,.481,.497,0.2,-0.3,2,,Amateur Draft,6/H,wilsoja05
Team Total,26.5,1691,6034,5,-2,-2,-66,0,-65,-6.7,206,141,13.2,.496,.500,20.1,-6.9,207,$23970000,,,-9999
