Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Austin Adams,33,us US,R,R,"6' 3""",220,May 5 1991,8,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$800,000",,adamsau02
Scott Alexander,34,us US,L,L,"6' 2""",195,Jul 10 1989,10,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,1.2,"$2,250,000",,alexasc02
Nick Allen,25,us US,R,R,"5' 8""",166,Oct 8 1998,3,41,30,41,41,0,0,0,2,5,34,0,0,0,0,0,0,4,0.2,"$745,000",,allenni02
Armando Alvarez,29,us US,R,R,"5' 11""",189,Jul 14 1994,1st,16,10,16,14,0,0,5,1,6,0,2,0,0,2,0,4,0,-0.4,,,alvarar01
Miguel Andujar,29,do DO,R,R,"6' 0""",211,Mar 2 1995,8,75,74,75,72,0,0,1,0,0,0,72,0,0,72,3,1,0,0.4,"$1,700,000",,andujmi01
Brady Basso,26,us US,R,L,"6' 2""",213,Oct 8 1997,1st,7,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$740,000",,bassobr01
Osvaldo Bido,28,do DO,R,R,"6' 3""",175,Oct 18 1995,2,16,9,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1.7,"$750,000",,bidoos01
Brandon Bielak,28,us US,L,R,"6' 2""",221,Apr 2 1996,5,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,bielabr01
Paul Blackburn,30,us US,R,R,"6' 1""",196,Dec 4 1993,8,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$3,450,000",,blackpa01
JJ Bleday,26,us US,L,L,"6' 1""",205,Nov 10 1997,3,159,145,159,157,0,0,0,0,0,0,0,157,0,157,1,11,0,2.1,"$745,000",,bledajj01
Joe Boyle,24,us US,R,R,"6' 7""",240,Aug 14 1999,2,13,10,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$740,000",,boylejo01
