Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Randy Arozarena,29,52,52,49,455,115,114,1,0,0,1,5,14,-2,-5,0,2.27,2.09,,,,,,,,LF-CF-DH,arozara01
Mike Baumann,28,18,0,0,16.1,2,1,0,1,0,0.5,,,-1,-12,0,0.55,0.06,,,4,1,0.2,0.22,0,P,baumami01
Eduard Bazardo,28,23,0,0,27.2,2,1,1,0,0,1,,,-1,-7,0,0.65,0.09,,,2,2,0.5,0.22,0,P,bazared01
Ryan Bliss,24,25,20,14,177,79,36,42,1,14,0.987,0,-3,2,14,0,3.97,2.79,,,,,,,,2B-DH,blissry01
Cody Bolton,26,17,0,0,18.2,6,0,5,1,0,0.833,,,0,0,0,2.41,0.29,,,1,1,0.5,0.22,1,P,boltoco01
Matt Bowman,33,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,bowmama01
Dominic Canzone,26,61,50,36,420.2,100,100,0,0,0,1,4,10,1,3,0,2.14,1.54,,,,,,,,RF-LF-DH,canzodo01
Luis Castillo,31,30,30,0,175.1,12,6,5,1,1,0.917,,,-2,-2,0,0.56,0.37,,,13,7,0.35,0.22,0,P,castilu02
JT Chargois,33,21,0,0,19.2,3,1,2,0,0,1,,,1,10,0,1.37,0.14,,,2,0,0,0.22,0,P,chargjt01
Jonatan Clase,22,16,12,8,109,21,21,0,0,0,1,1,8,0,0,0,1.73,1.11,,,,,,,,LF-CF-DH,clasejo01
J.P. Crawford,29,104,103,96,894.2,328,113,212,3,36,0.991,13,17,9,12,0,3.27,3.1,,,,,,,,SS-DH,crawfjp01
Brett de Geus,26,4,0,0,3.1,1,0,1,0,0,1,,,0,0,0,2.7,0.25,,,1,1,0.5,0.22,1,P,degeubr01
Jhonathan Díaz,27,5,1,0,9.2,3,1,2,0,0,1,,,0,0,0,2.79,0.6,,,1,0,0,0.22,0,P,diazjh01
Ty France,29,87,82,76,736,651,581,66,4,54,0.994,-3,-4,-6,-10,1,7.91,7.27,,,,,,,,1B-2B-DH,francty01
Yimi García,33,10,0,0,9,3,1,2,0,0,1,,,1,22,0,3,0.3,,,1,0,0,0.22,0,P,garciyi01
Mitch Garver,33,25,23,18,190,192,183,9,0,2,1,-1,-5,-5,-32,0,9.09,1.78,0,5,24,5,0.17,0.22,0,C-DH,garvemi01
Logan Gilbert,27,33,33,1,208.2,38,26,9,3,0,0.921,,,-6,-6,0,1.51,1.06,,,14,4,0.22,0.22,1,P,gilbelo01
Sam Haggerty,30,7,5,3,48,8,6,1,1,0,0.875,2,41,0,0,0,1.31,0.88,,,,,,,,LF-RF-DH,haggesa01
Emerson Hancock,25,12,12,0,60.2,13,9,2,2,0,0.846,,,0,0,0,1.63,0.92,,,3,0,0,0.22,0,P,hancoem01
Mitch Haniger,33,90,80,65,702.1,171,162,4,5,0,0.971,-2,-3,-1,-2,-1,2.13,1.44,,,,,,,,RF-DH,hanigmi01
Jonathan Hernández,27,3,0,0,2.1,1,0,1,0,0,1,,,0,0,0,3.86,0.33,,,0,0,,,0,P,hernajo02
George Kirby,26,33,33,0,191,21,11,9,1,1,0.952,,,-4,-4,0,0.94,0.61,,,24,6,0.2,0.22,0,P,kirbyge01
Tyler Locklear,23,16,12,10,112,98,91,7,0,5,1,1,8,-1,-11,0,7.88,6.13,,,,,,,,1B,locklty01
Cade Marlowe,27,7,1,1,21,4,4,0,0,0,1,0,9,0,0,0,1.71,0.5,,,,,,,,RF-CF-DH,marloca01
Bryce Miller,25,31,31,0,180.1,23,11,11,1,0,0.957,,,0,0,0,1.1,0.71,,,10,7,0.41,0.22,1,P,millebr04
Tyson Miller,28,9,0,0,11.2,1,1,0,0,0,1,,,0,0,0,0.77,0.11,,,0,1,1,0.22,0,P,millety01
Dylan Moore,31,134,108,68,992,401,194,202,5,28,0.988,7,9,-4,-5,-2,3.59,2.4,,,,,,,,SS-3B-2B-LF-1B-CF,mooredy01
Andrés Muñoz,25,60,0,0,59.1,9,0,8,1,0,0.889,,,0,0,0,1.21,0.13,,,6,1,0.14,0.22,1,P,munozan01
Jorge Polanco,30,112,109,92,925.1,367,138,222,7,45,0.981,-5,-6,-1,-1,1,3.5,3.08,,,,,,,,2B-DH,polanjo01
Cal Raleigh,27,135,125,119,1122,1195,1138,51,6,8,0.995,6,6,17,18,1,9.54,7.72,5,27,81,32,0.28,0.22,0,C-DH,raleica01
Luke Raley,29,127,105,80,965,411,389,18,4,14,0.99,1,2,4,5,2,3.8,2.73,,,,,,,,LF-1B-RF-CF-DH,raleylu01
