Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,BOS,L4-6,36,34,4,8,2,0,2,4,1,0,9,1,0,0,0,1,0,0,.235,.278,.471,.748,5,12,R,B.Bello(51)
2,2,Mar 29,,BOS,W1-0,30,28,1,4,0,0,1,1,2,0,14,0,0,0,0,0,1,0,.194,.242,.371,.613,5,9,R,N.Pivetta(72)
3,3,Mar 30,,BOS,W4-3,38,36,4,7,0,0,0,4,2,0,12,0,0,0,0,0,0,0,.194,.240,.306,.547,7,11,R,K.Crawford(70)
4,4,Mar 31,,BOS,L1-5,33,31,1,4,1,0,0,1,1,0,10,1,0,0,0,0,0,0,.178,.226,.271,.498,5,11,R,G.Whitlock(65)
5,5,Apr 1,,CLE,W5-4,36,30,5,7,0,0,1,5,6,0,9,0,0,0,1,0,1,0,.189,.254,.283,.537,7,9,R,T.McKenzie(34)
6,6,Apr 2,,CLE,L2-5,37,35,2,9,4,0,0,2,2,0,12,0,0,0,0,1,0,0,.201,.262,.299,.561,8,9,R,S.Bieber(69)
7,7,Apr 3,,CLE,L0-8,35,31,0,5,2,0,0,0,4,0,8,0,0,0,0,1,0,0,.196,.261,.289,.550,8,11,L,L.Allen(69)
8,8,Apr 5,@,MIL,L5-6,40,34,5,8,2,0,0,5,2,1,10,3,0,1,0,0,0,0,.201,.270,.290,.560,8,12,R,F.Peralta(55)
9,9,Apr 6,@,MIL,W5-3,38,35,5,10,0,0,2,5,3,0,11,0,0,0,0,1,1,1,.211,.279,.310,.588,6,10,L,D.Hall(43)
10,10,Apr 7,@,MIL,L4-12,36,35,4,8,1,0,1,4,1,0,8,0,0,0,0,0,0,0,.213,.276,.313,.589,5,11,R,C.Rea(55)
11,11,Apr 8,@,TOR,L2-5,36,34,2,7,1,0,2,2,2,0,10,0,0,0,0,0,0,0,.212,.273,.322,.596,7,9,R,J.Berríos(71)
12,12,Apr 9,@,TOR,L3-5,36,30,3,6,0,0,2,3,6,0,10,0,0,0,0,3,0,0,.211,.278,.328,.607,6,10,R,C.Bassitt(64)
13,13,Apr 10,@,TOR,W6-1,41,36,6,6,1,0,1,6,5,0,15,0,0,0,0,0,1,0,.207,.278,.324,.602,6,11,L,Y.Kikuchi(69)
14,14,Apr 12,,CHC,W4-2,35,29,4,6,0,0,0,4,5,0,11,1,0,0,0,0,0,1,.207,.282,.317,.599,7,9,L,J.Wicks(38)
15,15,Apr 13,,CHC,L1-4,37,34,1,6,1,0,0,1,3,0,8,0,0,0,1,0,0,0,.205,.279,.309,.588,9,11,L,S.Imanaga(58)
16,16,Apr 14,,CHC,L2-3,34,28,2,5,0,0,1,2,5,0,10,1,0,0,0,3,1,0,.204,.282,.308,.590,5,11,R,J.Assad(58)
17,17,Apr 15,,CIN,W9-3,39,32,9,10,3,1,2,9,6,0,7,0,0,1,0,1,1,0,.210,.290,.328,.618,6,9,R,F.Montas(26)
18,18,Apr 16,,CIN,W3-1,39,31,3,8,1,0,0,3,7,0,15,1,0,0,0,0,1,1,.213,.297,.326,.623,12,10,R,H.Greene(55)
19,19,Apr 17,,CIN,W5-1,38,31,5,7,2,1,3,5,7,0,9,0,0,0,0,0,1,0,.213,.301,.342,.643,9,10,L,A.Abbott(59)
20,20,Apr 20,@,COL,W7-0,45,39,7,16,0,0,1,5,6,0,3,0,0,0,0,2,2,0,.225,.313,.351,.663,11,10,R,D.Hudson(28)
21,21,Apr 21 (1),@,COL,L1-2,40,34,1,6,0,0,0,1,6,0,10,0,0,0,0,1,2,1,.223,.312,.342,.654,10,10,R,C.Quantrill(65)
22,22,Apr 21 (2),@,COL,W10-2,43,39,10,13,2,1,1,9,0,0,10,2,0,2,1,0,0,0,.229,.314,.351,.665,6,11,R,P.Lambert(28)
23,23,Apr 23,@,TEX,W4-0,36,31,4,6,2,0,2,4,5,0,10,0,0,0,0,2,0,1,.227,.314,.355,.669,5,9,R,D.Dunning(43)
24,24,Apr 24,@,TEX,L1-5,37,35,1,8,1,1,0,1,2,0,14,0,0,0,0,0,3,0,.227,.312,.354,.665,9,10,R,J.Gray(52)
25,25,Apr 25,@,TEX,W4-3,32,32,4,5,1,0,2,4,0,0,11,0,0,0,0,0,1,0,.225,.306,.354,.661,1,9,L,A.Heaney(53)
26,26,Apr 26,,ARI,W6-1,31,28,6,5,0,0,3,6,3,0,6,0,0,0,0,1,0,0,.223,.305,.359,.664,1,9,R,Z.Gallen(51)
27,27,Apr 27,,ARI,W3-1,30,27,3,4,1,0,1,3,3,0,11,0,0,0,0,0,1,1,.221,.303,.357,.660,3,9,R,S.Cecconi(69)
28,28,Apr 28,,ARI,L2-3,32,31,2,5,0,1,1,2,0,0,15,0,0,0,0,1,0,0,.219,.298,.356,.654,3,12,R,B.Pfaadt(65)
29,29,Apr 29,,ATL,W2-1,31,28,2,4,0,0,1,2,3,0,12,0,0,0,0,0,0,0,.216,.296,.353,.649,5,12,L,M.Fried(77)
30,30,Apr 30,,ATL,W3-2,34,31,3,7,1,0,1,3,3,0,11,0,0,0,0,0,1,0,.217,.296,.353,.649,7,9,R,R.López(48)
31,31,May 1,,ATL,L2-5,40,37,2,10,2,0,0,2,2,0,12,1,0,0,0,0,0,0,.219,.297,.352,.649,11,11,L,C.Sale(60)
32,32,May 3,@,HOU,L3-5,35,32,3,7,0,0,2,3,3,0,9,0,0,0,0,0,0,0,.219,.297,.354,.650,5,10,R,R.Blanco(54)
33,33,May 4,@,HOU,W5-0,40,36,5,10,3,0,2,4,3,0,6,1,0,0,0,2,1,0,.221,.299,.359,.658,8,9,L,F.Valdez(32)
34,34,May 5,@,HOU,W5-4,42,35,5,10,2,1,2,5,4,0,8,3,0,0,0,2,1,0,.223,.302,.366,.668,10,10,R,H.Brown(46)
35,35,May 6,@,MIN,L1-3,32,29,1,3,0,0,0,1,2,0,14,0,0,1,0,0,0,0,.220,.299,.359,.658,4,9,R,S.Woods Richardson(77)
36,36,May 7,@,MIN,W10-6,43,35,10,10,1,1,2,9,5,0,11,2,0,1,0,1,1,0,.222,.302,.365,.667,6,11,R,B.Ober(59)
37,37,May 8,@,MIN,L3-6,39,37,3,10,1,0,1,3,2,0,13,0,0,0,0,0,1,0,.223,.302,.365,.667,9,10,R,C.Paddack(57)
