Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary,Name-additional
Randy Arozarena,29,54,239,7,-1,0,-2,-2,2,0.3,8,10,1,0.504,0.501,1.2,-0.4,12,,Traded,7/8D,arozara01
Mike Baumann,28,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$748,900",Traded,1,baumami01
Ryan Bliss,24,33,71,0,0,0,2,0,2,0.2,2,4,0.4,0.506,0.501,0.2,0.3,2,"$740,000",Traded,4H/D,blissry01
Dominic Canzone*,26,67,188,-2,0,0,0,-3,-5,-0.5,6,2,0.1,0.492,0.497,0.1,-0.3,1,"$743,700",Traded,97H/D,canzodo01
Luis Castillo,31,1,1,0,0,0,0,0,0,0,0,0,0,0.49,0.5,0,0,0,"$24,150,000",Traded,1,castilu02
Jonatan Clase#,22,19,43,-3,1,0,0,-1,-3,-0.3,1,-2,-0.2,0.482,0.498,-0.2,-0.1,-2,"$740,000",Free Agency,7/H8D,clasejo01
J.P. Crawford*,29,105,451,-6,2,0,9,6,12,1.3,15,27,2.7,0.512,0.508,1.8,1.6,18,"$11,000,000",Traded,6/HD,crawfjp01
Ty France,29,88,340,1,-1,-2,-6,-4,-13,-1.3,12,-1,-0.2,0.485,0.492,0.4,-1.1,5,"$6,775,000",Traded,3/H4D,francty01
Mitch Garver,33,114,430,-6,-1,-1,-1,-5,-14,-1.5,15,0,-0.1,0.487,0.491,0,-0.7,1,"$10,500,000",Free Agency,D2/H,garvemi01
Sam Haggerty#,30,8,16,-3,0,0,0,0,-3,-0.3,1,-2,-0.3,0.461,0.498,-0.3,0,-2,"$900,000",Waivers,/7HD9,haggesa01
Mitch Haniger,33,121,423,-6,-1,-1,-1,-5,-15,-1.6,14,0,-0.2,0.487,0.49,-0.1,-0.7,1,,Traded,9DH,hanigmi01
Tyler Locklear,23,16,49,-2,0,-1,-1,-1,-4,-0.5,2,-3,-0.3,0.471,0.497,-0.2,-0.2,-2,"$740,000",Amateur Draft,3/H,locklty01
Cade Marlowe*,27,8,9,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$740,000",Amateur Draft,/98HD,marloca01
Dylan Moore,31,135,441,4,3,-1,-4,3,7,0.7,15,22,2.2,0.505,0.504,2.6,-0.1,26,"$3,133,334",Free Agency,6547H3/8,mooredy01
Jorge Polanco#,30,118,469,-2,-1,-1,-1,3,-2,-0.2,16,14,1.4,0.498,0.499,1.4,0.3,15,,Traded,*4/DH,polanjo01
Cal Raleigh#,27,153,628,12,-2,0,5,8,24,2.6,21,45,4.6,0.517,0.516,4.1,1.4,40,"$795,000",Amateur Draft,*2D/H,raleica01
Luke Raley*,29,137,455,16,0,1,4,-6,16,1.7,16,32,3.2,0.512,0.51,2.8,-0.2,28,"$754,200",Traded,739H/8D,raleylu01
Leo Rivas#,26,43,86,-1,1,0,-1,1,0,0,3,3,0.3,0.501,0.5,0.4,0.1,4,"$740,000",Free Agency,6H4/D51,rivasle01
Víctor Robles,27,77,262,16,4,0,3,-1,22,2.3,9,31,3.2,0.53,0.514,2.8,0.2,28,,Free Agency,897/HD,roblevi01
Julio Rodríguez,23,143,613,15,1,0,3,3,22,2.3,21,42,4.3,0.516,0.514,4,0.7,39,"$12,185,714",Free Agency,*8D/H,rodriju01
Josh Rojas*,30,142,476,-4,-2,1,8,3,6,0.6,16,22,2.2,0.504,0.504,1.3,1.2,14,"$3,100,000",Traded,*5H4/713D,rojasjo01
Ryne Stanek,32,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$4,000,000",Free Agency,1,stanery01
Samad Taylor,25,3,5,0,0,0,0,0,0,0,0,0,0.1,0.51,0.5,0.1,0,0,"$740,000",Traded,/78H,taylosa04
Trent Thornton,30,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$1,200,000",Traded,1,thorntr01
Justin Turner,39,48,190,6,0,0,1,-3,5,0.5,6,11,1.2,0.511,0.503,1,-0.2,10,,Traded,3D/H5,turneju01
Luis Urías,27,41,109,1,0,0,0,1,1,0.1,4,4,0.4,0.502,0.5,0.4,0.1,4,"$5,000,000",Traded,5/HD,uriaslu01
Jason Vosler*,30,10,30,-2,0,0,0,-1,-2,-0.2,1,-1,-0.1,0.478,0.499,-0.1,-0.1,-1,,Free Agency,/3DH79,vosleja01
Austin Voth,32,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,"$1,250,000",Free Agency,1,vothau01
Seby Zavala,30,18,43,-3,0,0,-2,1,-4,-0.4,1,-3,-0.3,0.476,0.497,-0.1,-0.1,-1,"$756,700",Traded,2,zavalse01
Team Total,29,1706,6067,38,3,-6,16,1,52,5.7,206,259,25.5,0.503,0.503,23.8,1.7,243,"$91,432,548",,,-9999
