Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Randy Arozarena,29,cu CU,R,R,"5' 11""",185,Feb 28 1995,6,54,54,54,52,0,0,0,0,0,0,51,2,0,52,2,0,0,1,,,arozara01
Mike Baumann,28,us US,R,R,"6' 4""",240,Sep 10 1995,4,18,0,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$748,900",,baumami01
Eduard Bazardo,28,ve VE,R,R,"6' 0""",190,Sep 1 1995,4,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,"$870,600",,bazared01
Ryan Bliss,24,us US,R,R,"5' 7""",165,Dec 13 1999,1st,33,20,33,25,0,0,0,25,0,0,0,0,0,0,3,3,8,0.4,"$740,000",,blissry01
Cody Bolton,26,us US,R,R,"6' 2""",210,Jun 19 1998,2,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$741,100",,boltoco01
Matt Bowman,33,us US,R,R,"6' 0""",185,May 31 1991,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,bowmama01
Dominic Canzone,26,us US,L,R,"5' 11""",190,Aug 16 1997,2,67,51,67,61,0,0,0,0,0,0,24,0,38,61,3,8,3,0.2,"$743,700",,canzodo01
Luis Castillo,31,do DO,R,R,"6' 2""",200,Dec 12 1992,8,30,30,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1.8,"$24,150,000",,castilu02
JT Chargois,33,us US,B,R,"6' 3""",200,Dec 3 1990,7,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,,chargjt01
Jonatan Clase,22,do DO,B,R,"5' 10""",150,May 23 2002,1st,19,12,19,16,0,0,0,0,0,0,15,2,0,16,2,2,4,-0.2,"$740,000",,clasejo01
J.P. Crawford,29,us US,L,R,"6' 2""",202,Jan 11 1995,8,105,103,105,104,0,0,0,0,0,104,0,0,0,0,1,2,0,2.7,"$11,000,000",,crawfjp01
Brett de Geus,26,us US,R,R,"6' 2""",190,Nov 4 1997,2,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$740,000",,degeubr01
Jhonathan Díaz,27,ve VE,L,L,"6' 0""",170,Sep 13 1996,4,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$740,000",,diazjh01
Ty France,29,us US,R,R,"5' 11""",215,Jul 13 1994,6,88,83,88,87,0,0,87,1,0,0,0,0,0,0,1,3,0,-0.2,"$6,775,000",,francty01
Yimi García,33,do DO,R,R,"6' 1""",230,Aug 18 1990,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,garciyi01
Mitch Garver,33,us US,R,R,"6' 1""",220,Jan 15 1991,8,114,104,114,25,0,25,0,0,0,0,0,0,0,0,83,8,0,-0.1,"$10,500,000",,garvemi01
Logan Gilbert,27,us US,R,R,"6' 6""",215,May 5 1997,4,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.8,"$4,050,000",All-Star,gilbelo01
Sam Haggerty,30,us US,B,R,"5' 11""",175,May 26 1994,6,8,5,8,7,0,0,0,0,0,0,6,0,1,7,1,0,2,-0.3,"$900,000",,haggesa01
Emerson Hancock,25,us US,R,R,"6' 4""",213,May 31 1999,2,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$741,300",,hancoem01
Mitch Haniger,33,us US,R,R,"6' 2""",214,Dec 23 1990,8,121,105,121,90,0,0,0,0,0,0,0,0,90,90,25,13,0,-0.2,,,hanigmi01
Jonathan Hernández,27,us US,R,R,"6' 3""",190,Jul 6 1996,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,hernajo02
George Kirby,26,us US,R,R,"6' 4""",215,Feb 4 1998,3,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1.9,"$798,600",,kirbyge01
Tyler Locklear,23,us US,R,R,"6' 2""",210,Nov 24 2000,1st,16,12,16,16,0,0,16,0,0,0,0,0,0,0,0,1,1,-0.3,"$740,000",,locklty01
Cade Marlowe,27,us US,L,R,"6' 0""",210,Jun 24 1997,2,8,1,8,7,0,0,0,0,0,0,0,2,5,7,1,1,1,0,"$740,000",,marloca01
Bryce Miller,25,us US,R,R,"6' 2""",200,Aug 23 1998,2,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,3.4,"$752,600",,millebr04
Tyson Miller,28,us US,R,R,"6' 5""",220,Jul 29 1995,4,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,millety01
Dylan Moore,31,us US,R,R,"6' 0""",205,Aug 2 1992,6,135,108,135,134,0,0,11,37,45,49,22,1,0,23,0,13,6,2.2,"$3,133,334",,mooredy01
Andrés Muñoz,25,mx MX,R,R,"6' 2""",222,Jan 16 1999,5,60,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,2,"$2,187,500",All-Star,munozan01
Jorge Polanco,30,do DO,B,R,"5' 11""",208,Jul 5 1993,11,118,114,118,112,0,0,0,112,0,0,0,0,0,0,5,4,0,1.3,,,polanjo01
Cal Raleigh,27,us US,B,R,"6' 3""",235,Nov 26 1996,4,153,143,153,135,0,135,0,0,0,0,0,0,0,0,19,7,0,4.7,"$795,000",,raleica01
Luke Raley,29,us US,L,R,"6' 4""",235,Sep 19 1994,4,137,105,137,127,0,0,41,0,0,0,60,9,36,97,3,20,4,3.2,"$754,200",,raleylu01
