Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Corey Seager,30,10,Free Agency,8.032,Boras Corporation,10 yrs/$325M (22-31),$35M,$32.5M,$31.5M,$31.5M,$31.5M,$31.5M,$31.5M,$31.5M,seageco01
Jacob deGrom,36,11,Free Agency,9.139,VC Sports Group,5 yrs/$185M (23-27) & 28 mutual option,$40M,$40M,$38M,$37M,$0 [FA-*],FA,,,degroja01
Marcus Semien,33,12,Free Agency,9.118,Boras Corporation,7 yrs/$175M (22-28),$26M,$26M,$26M,$26M,$20M,FA,,,semiema01
Max Scherzer,39,17,Traded,15.079,Boras Corporation,3 yrs/$130M (22-24),$43.3M,FA,,,,,,,scherma01
Jon Gray,32,10,Free Agency,8.062,CAA Sports,4 yrs/$56M (22-25),$13M,$13M,FA,,,,,,grayjo02
Nathan Eovaldi,34,13,Free Agency,12.013,ACES,2 yrs/$34M (23-24) & 25 vesting option,$16M,$2M [FA-*],FA,,,,,,eovalna01
José Leclerc,30,8,Amateur Free Agent,7.041,Munger English Sp...,6 yrs/$26.25M (19-24),$6.25M,FA,,,,,,,leclejo01
Andrew Heaney,33,11,Free Agency,8.150,Icon Sports Manag...,2 yrs/$25M (23-24),$13M,FA,,,,,,,heanean01
Tyler Mahle,29,8,Free Agency,6.018,ISE Baseball,2 yrs/$22M (24-25),$5.5M,$16.5M,FA,,,,,,mahlety01
Adolis García,31,6,Purchased,3.095,,2 yrs/$14M (24-25),$4.75M,$9.25M,Arb,FA,,,,,garciad02
David Robertson,39,16,Free Agency,14.119,Self,1 yr/$11.5M (24) & 25 mutual option,$10M,$1.5M [FA-*],FA,,,,,,roberda08
Nathaniel Lowe,28,6,Traded,3.145,SportsMeter,1 yr/$7.5M (24),$7.5M,Arb,Arb,FA,,,,,lowena01
Andrew Chafin,34,11,Traded,9.020,Meister Sports Ma...,1 yr/$4.75M (24),$4.75M,FA,,,,,,,chafian01
Kirby Yates,37,10,Free Agency,9.021,Beverly Hills Spo...,1 yr/$4.5M (24),$4.5M,FA,,,,,,,yateski01
Carson Kelly,29,9,Traded,5.161,CAA Sports,1 yr/$3.5M (24),$3.5M,FA,,,,,,,kellyca02
Dane Dunning,29,5,Traded,3.083,Wasserman,1 yr/$3.33M (24),$3.33M,Arb,Arb,FA,,,,,dunnida01
Jonah Heim,29,5,Traded,3.097,Frye McCann Sport...,1 yr/$3.05M (24),$3.05M,Arb,Arb,FA,,,,,heimjo01
Leody Taveras,25,5,Amateur Free Agent,2.124,,1 yr/$2.55M (24),$2.55M,Arb,Arb,Arb,FA,,,,taverle01
José Ureña,32,10,Free Agency,7.045,Rep 1 Baseball,1 yr/$1.75M (24),$1.75M,FA,,,,,,,urenajo01
Travis Jankowski,33,10,Free Agency,6.153,Excel Sports Mana...,1 yr/$1.7M (24),$1.7M,FA,,,,,,,jankotr01
Jacob Latz,28,3,Amateur Draft,0.022,,1 yr/$741k (24),$741k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,latzja01
Sam Huff,26,4,Amateur Draft,1.150,Boras Corporation,1 yr/$740k (24),$740k,Arb,Arb,Arb,Arb,FA,,,huffsa01
Owen White,24,2,Amateur Draft,0.006,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,whiteow01
Josh Sborz,30,6,Traded,3.055,Excel Sports Mana...,1 yr/$1.03M (24),$1.02M,Arb,Arb,FA,,,,,sborzjo01
Josh Jung,26,3,Amateur Draft,1.027,,1 yr/$756k (24),$756k,Pre-Arb,Arb,Arb,Arb,FA,,,jungjo01
Ezequiel Duran,25,3,Traded,1.072,,1 yr/$755k (24),$754.5k,Pre-Arb,Arb,Arb,Arb,FA,,,duranez01
Josh Smith,26,3,Traded,1.129,,1 yr/$750k (24),$749.5k,Pre-Arb,Arb,Arb,Arb,FA,,,smithjo11
Cody Bradford,26,2,Amateur Draft,0.086,,1 yr/$749k (24),$748.5k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,bradfco01
Grant Anderson,27,2,Traded,0.083,,1 yr/$746k (24),$746k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,andergr01
Evan Carter,21,2,Amateur Draft,0.024,,1 yr/$745k (24),$745k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,carteev01
