Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Chase Anderson,36,2,0,0,6.1,2,1,1,0,0,1,,,0,0,0,2.84,1,,,2,0,0,0.22,0,P,anderch01
Grant Anderson,27,23,0,0,26.2,2,0,2,0,0,1,,,-1,-8,0,0.68,0.09,,,4,0,0,0.22,0,P,andergr01
Shaun Anderson,29,2,0,0,3.1,1,0,1,0,0,1,,,0,0,0,2.7,0.5,,,0,0,,,0,P,andersh01
Cody Bradford,26,14,13,0,76.1,13,4,8,1,1,0.923,,,1,3,0,1.41,0.86,,,8,1,0.11,0.22,0,P,bradfco01
Brock Burke,27,13,0,0,13.2,4,1,3,0,0,1,,,0,0,0,2.63,0.31,,,1,0,0,0.22,0,P,burkebr01
Evan Carter,21,41,38,29,331,77,73,3,1,1,0.987,4,16,4,15,0,2.07,1.58,,,,,,,,LF-RF-CF-DH,carteev01
Andrew Chafin,34,21,0,0,19.1,2,0,2,0,0,1,,,0,0,0,0.93,0.1,,,5,1,0.17,0.22,0,P,chafian01
Marc Church,23,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,churcma01
Jacob deGrom,36,3,3,0,10.2,1,0,1,0,0,1,,,0,0,0,0.84,0.33,,,3,0,0,0.22,0,P,degroja01
Matt Duffy,33,4,2,2,20.1,5,2,3,0,0,1,1,34,1,59,0,2.21,1.25,,,,,,,,3B,duffyma01
Dane Dunning,29,26,15,0,95,18,10,7,1,0,0.944,,,1,2,0,1.61,0.65,,,9,2,0.18,0.22,0,P,dunnida01
Ezequiel Duran,25,75,63,45,553,228,138,85,5,18,0.978,7,16,2,4,0,3.63,2.48,,,,,,,,3B-LF-1B-SS-2B-RF-CF-DH,duranez01
Nathan Eovaldi,34,29,29,0,170.2,38,29,8,1,0,0.974,,,-1,-1,0,1.95,1.28,,,13,0,0,0.22,0,P,eovalna01
Sandro Fabian,26,3,2,0,13,1,1,0,0,0,1,0,-38,0,0,0,0.69,0.33,,,,,,,,LF-RF,fabiasa01
Matt Festa,31,18,0,0,22.2,5,2,3,0,0,1,,,-1,-9,0,1.99,0.28,,,7,0,0,0.22,2,P,festama01
Justin Foscue,25,3,1,0,11,9,7,2,0,1,1,0,-44,1,109,0,7.36,0.64,,,,,,,,1B-2B-DH,foscuju01
Gerson Garabito,28,18,2,0,26.1,3,2,1,0,0,1,,,0,0,0,1.03,0.17,,,3,0,0,0.22,0,P,garabge01
Adolis García,31,131,130,118,1124.2,262,253,5,4,3,0.985,5,5,-5,-5,-1,2.06,1.68,,,,,,,,RF-DH,garciad02
Jon Gray,32,24,20,0,102.2,18,8,10,0,0,1,,,0,0,0,1.58,0.78,,,9,0,0,0.22,1,P,grayjo02
Robbie Grossman,34,17,8,3,69,12,12,0,0,0,1,2,35,1,17,0,1.57,0.28,,,,,,,,LF-RF-DH,grossro01
Dustin Harris,24,2,2,,,,,,,,,,,,,,,,,,,,,,,DH,harridu01
Andrew Heaney,33,32,31,0,160,12,4,8,0,0,1,,,-1,-1,0,0.68,0.38,,,8,1,0.11,0.22,0,P,heanean01
Jonah Heim,29,119,110,103,977.1,1011,967,37,7,5,0.993,-8,-10,5,6,1,9.25,7.61,0,36,98,14,0.13,0.22,2,C-DH,heimjo01
Jonathan Hernández,27,26,1,0,41,8,7,1,0,0,1,,,0,0,0,1.76,0.31,,,4,1,0.2,0.22,0,P,hernajo02
