Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,CHC,W4-3,42,34,4,8,2,0,2,4,6,1,10,0,1,1,0,0,0,0,.235,.341,.471,.812,10,11,L,J.Steele(59)
2,2,Mar 30,,CHC,W11-2,43,38,11,16,3,0,3,11,4,0,6,0,0,1,0,1,1,0,.333,.405,.611,1.016,8,12,R,K.Hendricks(23)
3,3,Mar 31,,CHC,L5-9,41,37,5,8,1,2,0,5,4,0,13,0,0,0,1,0,1,0,.294,.368,.523,.891,9,10,L,J.Wicks(41)
4,4,Apr 1,@,TBR,W9-3,43,34,9,8,1,0,2,8,7,1,4,2,0,0,0,0,2,0,.280,.375,.503,.878,7,10,R,R.Pepiot(36)
5,5,Apr 2,@,TBR,L2-5,36,34,2,7,2,0,0,2,2,0,8,0,0,0,0,0,0,0,.266,.353,.458,.811,7,10,R,Z.Eflin(63)
6,6,Apr 3,@,TBR,W4-1,38,36,4,10,1,0,1,4,2,0,10,0,0,0,0,1,0,0,.268,.347,.446,.793,7,10,R,A.Civale(66)
7,7,Apr 5,,HOU,W10-2,46,40,10,16,4,1,2,10,6,0,4,0,0,0,0,0,0,0,.289,.368,.486,.854,12,12,R,H.Brown(22)
8,8,Apr 6,,HOU,W7-2,43,39,7,15,4,0,0,6,4,0,8,0,0,0,0,0,1,0,.301,.378,.486,.864,12,9,R,J.France(43)
9,9,Apr 7,,HOU,L1-3,33,28,1,2,0,0,0,1,5,0,6,0,0,0,0,1,0,0,.281,.363,.450,.813,5,11,R,R.Blanco(70)
10,10,Apr 8,,HOU,L5-10,39,34,5,8,0,0,0,5,4,0,5,1,0,0,0,1,0,0,.277,.360,.429,.789,7,9,R,B.Henley(20)
11,11,Apr 9,,OAK,L3-4,35,32,3,7,1,0,2,3,3,0,5,0,0,0,0,1,0,0,.272,.354,.430,.784,5,11,L,A.Wood(43)
12,12,Apr 10,,OAK,W6-2,36,32,6,12,4,0,0,6,4,1,5,0,0,0,0,3,1,1,.280,.361,.435,.796,6,9,R,R.Stripling(28)
13,13,Apr 11,,OAK,L0-1,30,26,0,1,0,0,0,0,3,0,8,1,0,0,0,2,1,0,.266,.349,.412,.761,3,13,L,J.Sears(73)
14,14,Apr 12,@,HOU,W12-8,46,39,12,12,2,0,1,11,5,0,7,2,0,0,0,0,2,0,.269,.355,.414,.769,7,10,R,J.France(13)
15,15,Apr 13,@,HOU,L2-9,36,32,2,8,1,0,0,2,4,0,8,0,0,0,0,2,0,0,.268,.353,.406,.759,7,10,R,R.Blanco(56)
16,16,Apr 14,@,HOU,L5-8,38,36,5,10,3,0,2,5,2,0,7,0,0,0,0,0,0,0,.269,.351,.414,.765,6,9,R,C.Javier(62)
17,17,Apr 15,@,DET,W1-0,34,33,1,7,1,0,0,1,1,0,8,0,0,0,0,0,1,0,.265,.345,.404,.749,6,9,R,R.Olson(64)
18,18,Apr 16,@,DET,L2-4,34,33,2,6,0,0,0,2,1,0,10,0,0,0,0,0,0,0,.261,.338,.392,.730,5,10,R,C.Mize(60)
19,19,Apr 17,@,DET,W5-4,36,33,5,7,2,0,0,5,1,0,6,1,0,1,3,2,0,0,.258,.334,.386,.720,4,10,L,T.Skubal(56)
20,20,Apr 18,@,DET,W9-7,46,41,9,13,3,0,3,8,3,0,7,1,0,1,0,1,0,0,.262,.336,.399,.735,10,9,R,K.Maeda(22)
