Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Chase Anderson,36,6.1,2,0,7,9.95,5.11,0.26,-0.34,0.00,98.3,4.43,-4,-0.3,.47,0.1,-0.2,-3,.326,.498,,Free Agency,anderch01
Grant Anderson,27,26.2,23,0,24,8.10,4.54,0.24,-0.30,0.00,99.5,3.98,-12,-1.2,1.08,-0.1,-1.1,-10,.446,.492,$746000,Traded,andergr01
Shaun Anderson,29,3.1,2,0,2,5.40,3.81,0.30,-0.26,0.00,97.8,3.18,-1,-0.1,.44,0.0,0.0,-1,.457,.499,,Free Agency,andersh01
Cody Bradford*,26,76.1,14,13,32,3.77,4.44,0.23,0.19,0.00,97.6,4.29,4,0.4,.58,-0.1,1.1,11,.531,.503,$748500,Amateur Draft,bradfco01
Brock Burke*,27,13.2,13,0,14,9.22,4.93,0.26,-0.33,0.00,94.6,4.11,-8,-0.8,.47,0.2,-0.5,-7,.439,.495,$1035000,Traded,burkebr01
Andrew Chafin*,34,19.1,21,0,10,4.66,4.44,0.20,-0.30,0.29,98.2,4.15,-1,-0.1,1.64,-0.1,0.0,1,.494,.499,,Traded,chafian01
Marc Church,23,1.0,1,0,0,0.00,3.75,0.23,-0.25,0.00,108.0,3.54,0,0.0,.05,0.0,0.0,0,.542,.500,,Amateur Draft,churcma01
Jacob deGrom,36,10.2,3,3,2,1.69,4.51,0.21,0.21,0.00,95.0,4.28,3,0.3,,0.0,0.4,4,.615,.502,$40000000,Free Agency,degroja01
Dane Dunning,29,95.0,26,15,60,5.68,4.63,0.23,0.08,0.00,97.2,4.35,-15,-1.5,.77,-0.1,-0.6,-5,.444,.491,$3325000,Traded,dunnida01
Nathan Eovaldi,34,170.2,29,29,74,3.90,4.44,0.22,0.20,0.00,97.7,4.32,7,0.8,,-0.1,2.2,23,.526,.505,$16000000,Free Agency,eovalna01
Matt Festa,31,22.2,18,0,13,5.16,4.39,0.21,-0.29,0.25,97.8,4.04,-3,-0.3,.88,0.0,-0.1,-1,.483,.498,,Free Agency,festama01
