Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Chase Anderson,36,us US,R,R,"6' 1""",210,Nov 30 1987,11,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,anderch01
Grant Anderson,27,us US,R,R,"6' 0""",180,Jun 21 1997,2,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,"$746,000",,andergr01
Shaun Anderson,29,us US,R,R,"6' 6""",228,Oct 29 1994,5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,andersh01
Cody Bradford,26,us US,L,L,"6' 4""",197,Feb 22 1998,2,14,13,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$748,500",,bradfco01
Brock Burke,27,us US,L,L,"6' 4""",210,Aug 4 1996,4,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$1,035,000",,burkebr01
Evan Carter,21,us US,L,R,"6' 2""",190,Aug 29 2002,2,45,38,45,41,0,0,0,0,0,0,33,2,9,41,4,7,0,0.6,"$745,000",,carteev01
Andrew Chafin,34,us US,R,L,"6' 2""",235,Jun 17 1990,11,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,chafian01
Marc Church,23,us US,R,R,"6' 3""",189,Mar 30 2001,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,churcma01
Jacob deGrom,36,us US,L,R,"6' 4""",180,Jun 19 1988,11,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$40,000,000",,degroja01
Matt Duffy,33,us US,R,R,"6' 2""",190,Jan 15 1991,9,4,2,4,4,0,0,0,0,4,0,0,0,0,0,0,1,0,0.2,,,duffyma01
Dane Dunning,29,us US,R,R,"6' 4""",225,Dec 20 1994,5,26,15,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$3,325,000",,dunnida01
