Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Bo Naylor*,24,123,389,354,39,71,10,2,13,39,6,3,29,122,.201,.264,.350,.614,73,124,3,2,2,2,1,naylobo01
2,1B,Josh Naylor*,27,152,633,563,84,137,27,0,31,108,6,2,58,105,.243,.320,.456,.776,118,257,17,7,0,4,7,naylojo01
3,2B,Andrés Giménez*,25,152,633,583,64,147,22,1,9,63,30,5,26,97,.252,.298,.340,.638,82,198,11,15,3,6,1,gimenan01
4,SS,Brayan Rocchio#,23,143,442,383,50,79,18,0,8,36,10,6,44,90,.206,.298,.316,.614,76,121,11,8,2,5,1,rocchbr01
5,3B,José Ramírez#,31,158,682,620,114,173,39,2,39,118,41,7,54,82,.279,.335,.537,.872,143,333,9,1,0,6,12,ramirjo01
6,LF,Steven Kwan*,26,122,540,480,83,140,16,3,14,44,12,5,53,51,.292,.368,.425,.793,126,204,5,5,2,0,0,kwanst01
7,CF,Tyler Freeman,25,118,383,330,48,69,14,1,7,32,11,6,28,53,.209,.305,.321,.626,79,106,15,19,3,3,1,freemty01
8,RF,Will Brennan*,26,114,353,330,37,87,13,2,8,30,4,2,19,48,.264,.309,.388,.697,97,128,9,3,0,1,2,brennwi02
9,DH,David Fry,28,122,392,335,44,88,18,1,14,51,4,1,42,84,.263,.356,.448,.804,128,150,13,9,0,4,4,fryda01
10,UT,Daniel Schneemann*,27,73,221,193,17,42,10,2,5,22,3,2,25,70,.218,.303,.368,.671,91,71,1,0,0,3,0,schneda04
11,RF,Jhonkensy Noel,22,67,198,179,25,39,7,1,13,28,0,0,13,63,.218,.288,.486,.774,115,87,1,5,0,1,0,noeljh01
12,CF,Lane Thomas,28,53,187,172,23,36,10,0,7,23,4,2,12,65,.209,.267,.390,.657,85,67,1,2,0,1,1,thomala02
13,OF,Angel Martínez#,22,43,169,151,16,35,7,0,3,11,3,1,15,33,.232,.298,.338,.635,81,51,2,0,1,2,0,martian02
14,IF,Gabriel Arias,24,53,161,153,15,34,9,1,3,15,5,2,6,53,.222,.255,.353,.608,71,54,4,1,0,1,0,ariasga01
15,DH,Kyle Manzardo*,23,53,156,145,11,34,12,0,5,15,0,0,9,41,.234,.282,.421,.703,97,61,3,1,0,1,0,manzaky01
16,C,Austin Hedges,31,66,146,132,12,20,3,0,2,15,2,0,6,50,.152,.203,.220,.422,21,29,2,3,3,2,0,hedgeau01
17,OF,Estevan Florial*,26,36,111,98,11,17,6,2,3,11,2,1,11,41,.173,.264,.367,.631,78,36,2,1,1,0,0,flories01
18,OF,Ramón Laureano,29,31,83,70,7,10,3,0,1,4,3,1,7,32,.143,.265,.229,.494,43,16,1,5,0,1,0,laurera01
19,RF,Johnathan Rodríguez,24,13,40,31,6,4,1,0,0,5,0,0,9,14,.129,.325,.161,.486,46,5,1,0,0,0,0,rodrijo10
20,3B,José Tena*,23,3,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,tenajo01
21,DH,Myles Straw,29,7,4,4,2,1,0,0,0,0,2,0,0,0,.250,.250,.250,.500,44,1,0,0,0,0,0,strawmy01
22,P,Anthony Gose*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,gosean01
23,P,Triston McKenzie,26,0,0,,,,,,,,,,,,,,,,,,,,,,,mckentr01
24,P,Xzavion Curry,25,0,0,,,,,,,,,,,,,,,,,,,,,,,curryxz01
25,P,Emmanuel Clase,26,0,0,,,,,,,,,,,,,,,,,,,,,,,claseem01
26,P,Peter Strzelecki,29,0,0,,,,,,,,,,,,,,,,,,,,,,,strzepe01
27,P,Carlos Carrasco,37,0,0,,,,,,,,,,,,,,,,,,,,,,,carraca01
28,P,Spencer Howard,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,howarsp01
29,P,Wes Parsons,31,0,0,,,,,,,,,,,,,,,,,,,,,,,parsowe01
30,P,Ben Lively,32,0,0,,,,,,,,,,,,,,,,,,,,,,,livelbe01
31,P,Shane Bieber,29,0,0,,,,,,,,,,,,,,,,,,,,,,,biebesh01
32,P,Logan Allen,25,0,0,,,,,,,,,,,,,,,,,,,,,,,allenlo02
33,P,Scott Barlow,31,0,0,,,,,,,,,,,,,,,,,,,,,,,barlosc01
34,P,Tyler Beede,31,0,0,,,,,,,,,,,,,,,,,,,,,,,beedety01
35,P,Hunter Gaddis,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,gaddihu01
36,P,Eli Morgan,28,0,0,,,,,,,,,,,,,,,,,,,,,,,morgael01
37,P,Gavin Williams*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,williga01
38,P,Tim Herrin*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,herriti01
39,P,Pedro Avila,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,avilape01
40,P,Matthew Boyd*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,boydma01
41,P,Nick Sandlin,27,0,0,,,,,,,,,,,,,,,,,,,,,,,sandlni01
42,P,Alex Cobb,36,0,0,,,,,,,,,,,,,,,,,,,,,,,cobbal01
43,P,Darren McCaughan,28,0,0,,,,,,,,,,,,,,,,,,,,,,,mccauda01
44,P,Connor Gillispie,26,0,0,,,,,,,,,,,,,,,,,,,,,,,gillico01
45,P,Sam Hentges*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hentgsa01
46,P,Tanner Bibee,25,0,0,,,,,,,,,,,,,,,,,,,,,,,bibeeta01
47,P,Joey Cantillo*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,cantijo01
48,P,Erik Sabrowski,26,0,0,,,,,,,,,,,,,,,,,,,,,,,sabroer01
49,P,Andrew Walters,23,0,0,,,,,,,,,,,,,,,,,,,,,,,waltean01
50,P,Cade Smith,25,0,0,,,,,,,,,,,,,,,,,,,,,,,smithca06
,,Team Totals,26.2,161,5927,5310,708,1263,245,18,185,670,148,46,466,1196,.238,.307,.395,.703,99,2099,111,87,17,43,30,-9999
