Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Logan Allen,25,20,20,0,97.1,14,4,10,0,0,1,,,1,2,0,1.29,0.7,,,3,2,0.4,0.22,0,P,allenlo02
Gabriel Arias,24,48,41,30,361,146,57,83,6,12,0.959,0,0,-3,-10,0,3.49,2.5,,,,,,,,3B-SS-2B-CF-1B-LF-RF-DH,ariasga01
Pedro Avila,27,50,0,0,74.2,8,6,2,0,2,1,,,1,3,0,0.96,0.16,,,0,0,,,0,P,avilape01
Scott Barlow,31,63,0,0,55,9,4,5,0,0,1,,,-2,-7,0,1.47,0.14,,,11,1,0.08,0.22,1,P,barlosc01
Tyler Beede,31,13,0,0,14,2,0,2,0,0,1,,,-1,-14,0,1.29,0.15,,,5,0,0,0.22,0,P,beedety01
Tanner Bibee,25,31,31,0,173.2,35,12,21,2,1,0.943,,,4,5,0,1.71,1.06,,,6,6,0.5,0.22,4,P,bibeeta01
Shane Bieber,29,2,2,0,12,2,1,1,0,0,1,,,0,0,0,1.5,1,,,0,0,,,0,P,biebesh01
Matthew Boyd,33,8,8,0,39.2,5,1,3,1,0,0.8,,,0,0,0,0.91,0.5,,,4,0,0,0.22,1,P,boydma01
Will Brennan,26,98,79,50,694,161,157,2,2,0,0.988,1,2,-5,-9,0,2.06,1.35,,,,,,,,RF-LF-CF-DH,brennwi02
Joey Cantillo,24,9,8,0,38.2,2,0,2,0,0,1,,,0,0,0,0.47,0.22,,,1,0,0,0.22,0,P,cantijo01
Carlos Carrasco,37,21,21,0,103.2,19,9,9,1,0,0.947,,,0,0,0,1.56,0.86,,,7,4,0.36,0.22,2,P,carraca01
Emmanuel Clase,26,74,0,0,74.1,11,4,5,2,1,0.818,,,0,0,0,1.09,0.12,,,1,0,0,0.22,0,P,claseem01
Alex Cobb,36,3,3,0,16.1,5,2,3,0,1,1,,,0,0,0,2.76,1.67,,,1,0,0,0.22,0,P,cobbal01
Xzavion Curry,25,7,4,0,24.2,0,0,0,0,0,,,,0,0,0,0,0,,,1,0,0,0.22,0,P,curryxz01
Estevan Florial,26,22,16,9,144,37,35,1,1,0,0.973,0,-1,3,25,0,2.25,0.95,,,,,,,,LF-RF-CF-DH,flories01
Tyler Freeman,25,113,90,71,817,240,205,32,3,6,0.988,1,2,4,6,3,2.61,1.94,,,,,,,,CF-SS-2B-3B-DH,freemty01
David Fry,28,58,46,31,414,281,265,14,2,8,0.993,-2,-6,-3,-9,-1,6.07,2.33,0,7,7,0,0,0.22,0,1B-C-LF-RF-3B-DH,fryda01
Hunter Gaddis,26,78,0,0,74.2,13,5,6,2,0,0.846,,,1,3,0,1.33,0.14,,,1,0,0,0.22,1,P,gaddihu01
Connor Gillispie,26,3,0,0,8,1,0,1,0,0,1,,,0,0,0,1.13,0.33,,,2,0,0,0.22,1,P,gillico01
Andrés Giménez,25,152,151,144,1331,638,233,396,9,93,0.986,14,12,16,14,1,4.25,4.14,,,,,,,,2B,gimenan01
Anthony Gose,33,3,0,0,4.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,gosean01
Austin Hedges,31,66,46,30,398.2,441,423,15,3,2,0.993,3,9,7,4,1,9.89,6.64,0,9,30,8,0.21,0.22,1,C-P,hedgeau01
Sam Hentges,27,25,0,0,23.2,3,1,2,0,0,1,,,0,0,0,1.14,0.12,,,0,0,,,0,P,hentgsa01
Tim Herrin,27,75,0,0,65.2,20,2,17,1,2,0.95,,,4,12,0,2.6,0.25,,,6,2,0.25,0.22,2,P,herriti01
Spencer Howard,27,2,1,0,5,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0,0.22,0,P,howarsp01
Steven Kwan,26,114,114,104,990,215,205,9,1,3,0.995,1,1,9,11,2,1.95,1.77,,,,,,,,LF-DH,kwanst01
Ramón Laureano,29,31,20,13,186,57,52,5,0,0,1,5,29,4,26,3,2.76,1.63,,,,,,,,RF-CF,laurera01
Ben Lively,32,29,29,0,151,16,4,12,0,1,1,,,0,0,0,0.95,0.55,,,12,3,0.2,0.22,3,P,livelbe01
Kyle Manzardo,23,6,2,2,24,15,13,2,0,1,1,0,3,0,0,0,5.63,0.32,,,,,,,,1B-DH,manzaky01
Angel Martínez,22,39,37,28,331,76,66,7,3,0,0.961,-6,-23,0,0,2,1.98,1.46,,,,,,,,CF-LF-RF-3B-2B-DH,martian02
Darren McCaughan,28,2,0,0,6,1,0,1,0,0,1,,,0,0,0,1.5,0.5,,,2,1,0.33,0.22,1,P,mccauda01
Triston McKenzie,26,16,16,0,75.2,12,9,2,1,0,0.917,,,-2,-5,0,1.31,0.69,,,9,0,0,0.22,0,P,mckentr01
