Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Salvador Perez,34,158,652,590,58,160,28,0,27,104,0,0,44,129,0.271,0.33,0.456,0.786,119,269,17,11,0,6,9,perezsa02
2,1B,Vinnie Pasquantino*,26,131,554,496,64,130,30,2,19,97,1,0,40,71,0.262,0.315,0.446,0.76,111,221,12,4,1,13,1,pasquvi01
3,2B,Michael Massey*,26,100,356,332,45,86,17,2,14,45,1,0,15,56,0.259,0.294,0.449,0.743,105,149,9,3,2,4,1,massemi02
4,SS,Bobby Witt Jr.,24,161,709,636,125,211,45,11,32,109,31,12,57,106,0.332,0.389,0.588,0.977,171,374,4,8,0,8,9,wittbo02
5,3B,Maikel Garcia,24,157,626,575,84,133,27,5,7,58,37,2,42,103,0.231,0.281,0.332,0.614,72,191,7,0,4,5,0,garcima01
6,LF,MJ Melendez*,25,135,451,412,44,85,23,3,17,44,4,4,35,113,0.206,0.273,0.4,0.674,87,165,3,3,0,0,1,melenmj01
7,CF,Kyle Isbel*,27,136,426,384,62,88,13,8,8,42,11,2,27,88,0.229,0.287,0.367,0.654,83,141,4,5,8,2,0,isbelky01
8,RF,Hunter Renfroe,32,120,424,385,44,88,18,0,15,52,1,1,36,84,0.229,0.297,0.392,0.689,92,151,10,2,0,1,0,renfrhu01
9,DH,Nelson Velázquez,25,64,230,205,31,41,8,1,8,27,2,0,19,61,0.2,0.274,0.366,0.64,78,75,6,3,0,3,0,velazne01
10,C,Freddy Fermin,29,111,368,339,40,92,14,0,6,36,2,0,23,66,0.271,0.319,0.366,0.685,93,124,10,2,1,3,1,fermifr01
11,UT,Adam Frazier*,32,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,63,77,0,7,3,0,0,fraziad01
12,CF,Garrett Hampson,29,113,231,213,16,49,13,1,0,16,7,2,14,59,0.23,0.275,0.3,0.576,63,64,3,0,2,2,0,hampsga01
13,IF,Nick Loftin,25,56,171,148,15,28,4,0,1,14,1,0,19,24,0.189,0.282,0.236,0.519,49,35,4,1,1,2,0,loftini01
14,LF,Dairon Blanco,31,88,132,120,37,31,4,0,4,13,31,7,8,32,0.258,0.308,0.392,0.699,96,47,2,1,1,1,0,blancda02
15,3B,Paul DeJong,30,37,119,108,15,24,3,0,6,15,0,1,9,44,0.222,0.277,0.417,0.694,92,45,1,0,0,2,0,dejonpa01
16,OF,Tommy Pham,36,23,104,101,9,23,3,1,2,8,1,0,3,27,0.228,0.25,0.337,0.587,64,34,1,0,0,0,0,phamth01
17,1B,Yuli Gurriel,40,18,65,54,7,13,3,0,0,6,1,0,9,15,0.241,0.338,0.296,0.635,82,16,1,0,0,2,0,gourryu01
18,DH,Robbie Grossman#,34,16,38,32,2,4,0,0,0,2,0,0,5,13,0.125,0.263,0.125,0.388,15,4,1,1,0,0,0,grossro01
19,OF,Drew Waters#,25,7,19,16,2,3,1,0,0,1,0,0,2,6,0.188,0.316,0.25,0.566,63,4,0,1,0,0,0,waterdr01
20,3B,CJ Alexander*,27,4,8,8,0,1,0,0,0,0,0,0,0,3,0.125,0.125,0.125,0.25,-29,1,0,0,0,0,0,alexacj01
21,RF,Tyler Gentry,25,3,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,gentrty01
22,P,Sam Long*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,longsa01
23,P,Seth Lugo,34,0,0,,,,,,,,,,,,,,,,,,,,,,,lugose01
24,P,Kris Bubic*,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,bubickr01
25,P,Tyler Duffey,33,0,0,,,,,,,,,,,,,,,,,,,,,,,duffety01
26,P,Brady Singer,27,0,0,,,,,,,,,,,,,,,,,,,,,,,singebr01
