Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,Name-additional
Bobby Witt Jr.,24,3,Amateur Draft,2.000,,7 yrs/$148.78M (24-30) & 31-37 player/team option,$3.11M,$8.11M,$14.11M,$20.11M,$31.1M,$36.1M,$36.1M,$0 [FA-*],$0 [FA-*],$0 [FA-*],$0 [FA-*],$0 [FA-*],$0 [FA-*],$0 [FA-*],wittbo02
Salvador Perez,34,13,Amateur Free Agent,12.050,Beverly Hills Spo...,4 yrs/$82M (22-25) & 26 team option,$20M,$22M,$2M [FA-*],FA,,,,,,,,,,,perezsa02
Seth Lugo,34,9,Free Agency,7.082,Ballengee Group,2 yrs/$30M (24-25) & 26 player option,$15M,$15M,$0 [FA-*],FA,,,,,,,,,,,lugose01
Michael Wacha,32,12,Free Agency,10.062,CAA Sports,1 yr/$16M (24) & 25 player option,$16M,$0 [FA-*],FA,,,,,,,,,,,,wachami01
Hunter Renfroe,32,9,Free Agency,6.165,,1 yr/$6.5M (24) & 25 player option,$5.5M,$1M [FA-*],FA,,,,,,,,,,,,renfrhu01
Will Smith,34,12,Free Agency,10.155,CAA Sports,1 yr/$5M (24),$5M,FA,,,,,,,,,,,,,smithwi04
Brady Singer,27,5,Amateur Draft,3.156,Excel Sports Mana...,1 yr/$4.85M (24),$4.85M,Arb,Arb,FA,,,,,,,,,,,singebr01
Michael Lorenzen,32,10,Traded,8.159,CAA Sports,1 yr/$4.5M (24),$4.5M,FA,,,,,,,,,,,,,lorenmi01
Adam Frazier,32,9,Free Agency,7.075,Bo McKinnis,1 yr/$4.5M (24) & 25 mutual option,$2M,$2.5M [FA-*],FA,,,,,,,,,,,,fraziad01
Chris Stratton,33,9,Free Agency,6.100,Bo McKinnis,1 yr/$4M (24) & 25 player option,$3.5M,$500k [FA-*],FA,,,,,,,,,,,,stratch01
Hunter Harvey,29,6,Traded,4.047,Beverly Hills Spo...,1 yr/$2.35M (24),$2.35M,Arb,FA,,,,,,,,,,,,harvehu01
Kris Bubic,26,5,Amateur Draft,3.135,Apex Baseball,1 yr/$2.35M (24),$2.35M,Arb,Arb,FA,,,,,,,,,,,bubickr01
Garrett Hampson,29,7,Free Agency,5.010,TWC Sports,1 yr/$2M (24),$2M,FA,,,,,,,,,,,,,hampsga01
Jake Brentz,29,2,Free Agency,3.000,The Bledsoe Agenc...,2 yrs/$1.9M (24-25),$850k,$1.05M,Arb,FA,,,,,,,,,,,brentja01
Kyle Wright,28,6,,3.062,CAA Sports,1 yr/$1.8M (24),$1.8M,Arb,Arb,FA,,,,,,,,,,,wrighky01
Paul DeJong,30,8,Traded,6.057,C.L. Rocks Corpor...,1 yr/$1.75M (24),$1.75M,FA,,,,,,,,,,,,,dejonpa01
John Schreiber,30,6,Traded,3.027,,1 yr/$1.18M (24),$1.18M,Arb,Arb,FA,,,,,,,,,,,schrejo01
Josh Taylor,31,4,Traded,4.121,Beverly Hills Spo...,1 yr/$1.1M (24),$1.1M,Arb,FA,,,,,,,,,,,,taylojo02
Carlos Hernández,27,5,Amateur Free Agent,2.145,Warner Sports Man...,1 yr/$1.01M (24),$1.01M,Arb,Arb,Arb,FA,,,,,,,,,,hernaca04
