Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
CJ Alexander,27,3,3,2,25,4,1,3,0,0,1,-2,-86,-1,-48,0,1.44,1,,,,,,,,3B-DH,alexacj01
Dan Altavilla,31,5,1,0,3.2,2,1,1,0,0,1,,,0,0,0,4.91,0.4,,,1,0,0,0.22,0,P,altavda01
Nick Anderson,33,37,0,0,35.2,4,1,3,0,0,1,,,1,6,0,1.01,0.11,,,1,1,0.5,0.22,0,P,anderni01
Dairon Blanco,31,67,34,21,332.1,83,79,1,3,0,0.964,-2,-8,-2,-7,0,2.17,0.98,,,,,,,,LF-RF-CF-DH,blancda02
Jonathan Bowlan,27,1,1,0,2.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,bowlajo01
Kris Bubic,26,27,0,0,30.1,5,1,3,1,0,0.8,,,0,0,0,1.19,0.15,,,0,2,1,0.22,1,P,bubickr01
Steven Cruz,25,5,0,0,5.2,3,2,1,0,0,1,,,0,0,0,4.76,0.6,,,0,0,,,0,P,cruzst01
Paul DeJong,30,31,28,22,240.2,74,24,49,1,6,0.986,4,19,3,15,0,2.73,2.15,,,,,,,,3B-SS-DH,dejonpa01
Tyler Duffey,33,9,0,0,9,1,1,0,0,0,1,,,0,0,0,1,0.11,,,0,0,,,0,P,duffety01
Lucas Erceg,29,23,0,0,25,3,0,2,1,0,0.667,,,-1,-8,0,0.72,0.09,,,0,0,,,0,P,erceglu01
Freddy Fermin,29,91,72,71,663,674,634,35,5,2,0.993,12,22,16,29,5,9.08,5.92,4,10,21,17,0.45,0.22,1,C-DH,fermifr01
Adam Frazier,32,81,58,32,503,188,95,90,3,14,0.984,3,8,5,12,2,3.31,1.75,,,,,,,,2B-RF-LF-3B-1B-DH,fraziad01
Maikel Garcia,24,156,142,125,1270,398,112,272,14,29,0.965,-8,-7,-1,-1,1,2.72,2.31,,,,,,,,3B-2B-SS-RF,garcima01
Tyler Gentry,25,3,2,0,14,1,1,0,0,0,1,0,8,0,0,0,0.64,0.33,,,,,,,,RF,gentrty01
Yuli Gurriel,40,12,12,9,101,82,76,6,0,4,1,1,7,2,24,0,7.31,4.82,,,,,,,,1B-DH,gourryu01
Robbie Grossman,34,2,1,1,10.1,3,3,0,0,0,1,1,74,0,0,0,2.61,0.25,,,,,,,,RF-LF-DH,grossro01
Garrett Hampson,29,112,59,28,567.1,191,148,40,3,11,0.984,8,17,9,19,2,2.98,1.45,,,0,0,,,0,CF-2B-LF-RF-1B-SS-3B-P,hampsga01
Hunter Harvey,29,6,0,0,5.2,1,1,0,0,0,1,,,-1,-35,0,1.59,0.17,,,3,0,0,0.22,0,P,harvehu01
Carlos Hernández,27,27,0,0,30,2,1,1,0,0,1,,,-2,-13,0,0.6,0.07,,,8,1,0.11,0.22,0,P,hernaca04
Kyle Isbel,27,136,119,100,1046.1,298,293,1,4,1,0.987,-8,-9,5,6,-3,2.53,2.16,,,,,,,,CF,isbelky01
Will Klein,24,5,0,0,5.2,2,0,2,0,0,1,,,0,0,0,3.18,0.4,,,0,1,1,0.22,1,P,kleinwi01
