Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Seth Lugo,34,16,9,.640,3.00,33,33,0,1,0,0,206.2,177,75,69,16,48,1,181,9,0,4,836,141,3.25,1.089,7.7,0.7,2.1,7.9,3.77,lugose01
2,SP,Cole Ragans*,26,11,9,.550,3.14,32,32,0,1,0,0,186.1,146,71,65,15,67,1,223,6,0,11,762,135,3.00,1.143,7.1,0.7,3.2,10.8,3.33,raganco01
3,SP,Brady Singer,27,9,13,.409,3.71,32,32,0,0,0,0,179.2,175,77,74,22,54,0,170,10,0,2,762,114,3.94,1.275,8.8,1.1,2.7,8.5,3.15,singebr01
4,SP,Michael Wacha,32,13,8,.619,3.35,29,29,0,0,0,0,166.2,154,65,62,17,45,1,145,5,0,3,685,126,3.65,1.194,8.3,0.9,2.4,7.8,3.22,wachami01
5,SP,Alec Marsh,26,9,9,.500,4.53,26,25,1,0,0,0,129.0,123,70,65,19,39,1,123,11,1,3,548,93,4.34,1.256,8.6,1.3,2.7,8.6,3.15,marshal01
6,CL,James McArthur,27,5,7,.417,4.92,57,0,38,0,0,18,56.2,68,36,31,8,14,2,49,3,0,1,247,86,4.17,1.447,10.8,1.3,2.2,7.8,3.50,mcartja01
7,RP,Chris Stratton,33,4,3,.571,5.55,57,0,21,0,0,4,58.1,53,38,36,5,33,1,44,3,0,1,257,76,4.62,1.474,8.2,0.8,5.1,6.8,1.33,stratch01
8,RP,Angel Zerpa*,24,2,0,1.000,3.86,60,0,3,0,0,0,53.2,59,24,23,6,19,2,49,2,0,3,239,110,3.97,1.453,9.9,1.0,3.2,8.2,2.58,zerpaan01
9,RP,John Schreiber,30,4,3,.571,3.66,59,0,5,0,0,2,51.2,48,23,21,1,20,1,46,4,0,1,224,116,3.03,1.316,8.4,0.2,3.5,8.0,2.30,schrejo01
10,RP,Will Smith*,34,0,4,.000,6.53,45,0,13,0,0,1,41.1,45,31,30,7,15,2,29,3,0,0,186,65,5.27,1.452,9.8,1.5,3.3,6.3,1.93,smithwi04
11,,Daniel Lynch IV*,27,2,0,1.000,3.32,16,3,3,0,0,1,43.1,29,17,16,6,14,0,39,4,0,0,174,128,4.41,0.992,6.0,1.2,2.9,8.1,2.79,lynchda02
12,,Sam Long*,28,3,3,.500,3.16,43,0,5,0,0,1,42.2,34,17,15,5,17,1,44,1,1,3,176,135,3.89,1.195,7.2,1.1,3.6,9.3,2.59,longsa01
13,,Nick Anderson,33,3,1,.750,4.04,37,0,19,0,0,1,35.2,35,17,16,6,15,1,29,1,0,1,153,106,5.07,1.402,8.8,1.5,3.8,7.3,1.93,anderni01
14,,Kris Bubic*,26,1,1,.500,2.67,27,0,7,0,0,1,30.1,26,12,9,2,5,3,39,0,0,1,121,160,1.95,1.022,7.7,0.6,1.5,11.6,7.80,bubickr01
15,,Carlos Hernández,27,0,1,.000,3.30,27,0,10,0,0,0,30.0,24,14,11,1,16,0,27,1,0,1,129,129,3.50,1.333,7.2,0.3,4.8,8.1,1.69,hernaca04
16,,Michael Lorenzen,32,2,0,1.000,1.57,7,6,0,0,0,0,28.2,19,6,5,2,12,0,22,1,0,0,117,272,3.90,1.081,6.0,0.6,3.8,6.9,1.83,lorenmi01
17,,Lucas Erceg,29,0,3,.000,2.88,23,0,12,0,0,11,25.0,18,9,8,0,3,0,31,1,1,1,97,149,1.17,0.840,6.5,0.0,1.1,11.2,10.33,erceglu01
18,,Matt Sauer,25,0,0,,7.71,14,0,8,0,0,0,16.1,23,14,14,3,11,0,9,1,0,1,84,56,6.66,2.082,12.7,1.7,6.1,5.0,0.82,sauerma01
19,,Tyler Duffey,33,1,0,1.000,5.00,9,0,0,0,0,0,9.0,7,5,5,0,8,0,10,1,0,0,42,88,3.94,1.667,7.0,0.0,8.0,10.0,1.25,duffety01
20,,Hunter Harvey,29,0,0,,6.35,6,0,1,0,0,1,5.2,8,4,4,1,4,1,5,1,0,0,29,71,6.34,2.118,12.7,1.6,6.4,7.9,1.25,harvehu01
21,,Will Klein,24,1,0,1.000,6.35,5,0,2,0,0,0,5.2,10,4,4,0,2,0,6,0,0,0,27,71,2.11,2.118,15.9,0.0,3.2,9.5,3.00,kleinwi01
22,,Steven Cruz,25,0,0,,0.00,5,0,3,0,0,0,5.2,1,0,0,0,0,0,4,0,0,1,18,,1.76,0.176,1.6,0.0,0.0,6.4,,cruzst01
23,,Jordan Lyles,33,0,0,,0.00,5,0,3,0,0,0,5.0,2,0,0,0,2,0,3,0,0,0,19,,3.17,0.800,3.6,0.0,3.6,5.4,1.50,lylesjo01
24,,Dan Altavilla,31,0,1,.000,14.73,5,1,0,0,0,0,3.2,5,6,6,1,3,0,5,1,0,0,21,32,7.26,2.182,12.3,2.5,7.4,12.3,1.67,altavda01
25,,Colin Selby,26,0,0,,6.00,2,0,1,0,0,0,3.0,2,3,2,0,2,0,0,0,0,1,13,79,5.17,1.333,6.0,0.0,6.0,0.0,0.00,selbyco01
26,,Jonathan Bowlan,27,0,1,.000,13.50,1,1,0,0,0,0,2.2,6,4,4,3,3,0,3,0,0,0,17,36,18.92,3.375,20.3,10.1,10.1,10.1,1.00,bowlajo01
27,,Anthony Veneziano*,26,0,0,,4.50,2,0,1,0,0,0,2.0,4,2,1,0,1,0,2,0,0,0,11,111,2.67,2.500,18.0,0.0,4.5,9.0,2.00,venezan01
28,,Nick Pratto*,25,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,1,4,,1.17,1.000,9.0,0.0,0.0,9.0,,prattni01
29,,Garrett Hampson,29,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,0,0,4,,6.17,0.000,0.0,0.0,0.0,0.0,,hampsga01
30,,Nick Loftin,25,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,,3.17,1.000,9.0,0.0,0.0,0.0,,loftini01
31,,Walter Pennington*,26,0,0,,0.00,1,0,1,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,,0.17,0.000,0.0,0.0,0.0,13.5,,penniwa01
,,Team Totals,29.1,86,76,.531,3.76,162,162,160,2,0,41,1428.0,1303,644,596,146,472,18,1339,70,3,40,6007,113,3.76,1.243,8.2,0.9,3.0,8.4,2.84,-9999
,,Rank in 15 AL teams,,5,10,,6,,,,2,8,8,11,7,4,5,1,6,,12,,,,,,,,,,,,,-9999
