Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
CJ Alexander*,27,4,8,-1,0,0,-1,0,-2,-0.3,0,-2,-0.2,.437,.498,-0.1,-0.1,-1,,Traded,/5DH,alexacj01
Dairon Blanco,31,88,132,-2,4,0,-2,-3,-4,-0.4,5,1,0.1,.496,.498,0.3,-0.5,3,$743750,Traded,H798D,blancda02
Kris Bubic*,26,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2350000,Amateur Draft,1,bubickr01
Paul DeJong,30,37,119,0,-1,0,3,1,2,0.3,4,7,0.7,.507,.502,0.3,0.4,3,,Traded,5/HD6,dejonpa01
Freddy Fermin,29,111,368,-3,0,-1,16,5,17,1.8,13,29,3.0,.516,.511,1.3,2.2,13,$744500,Free Agency,2D/H,fermifr01
Adam Frazier*,32,104,294,-12,1,1,5,-1,-6,-0.7,10,4,0.3,.494,.496,-0.2,0.4,-1,$2000000,Free Agency,4H9D7/53,fraziad01
Maikel Garcia,24,157,626,-22,8,2,-1,5,-8,-0.9,21,13,1.2,.494,.494,1.3,0.4,14,$751250,Free Agency,*54H/69,garcima01
Tyler Gentry,25,3,5,-1,0,0,0,0,-1,-0.2,0,-1,-0.1,.451,.499,-0.1,0.0,-1,,Amateur Draft,/9H,gentrty01
Robbie Grossman#,34,16,38,-4,0,0,0,-1,-5,-0.5,1,-4,-0.4,.467,.497,-0.4,-0.1,-4,,Waivers,D/H79,grossro01
Yuli Gurriel,40,18,65,-2,0,0,2,-1,-1,-0.1,2,2,0.1,.496,.500,-0.1,0.1,0,,Traded,3/DH,gourryu01
Garrett Hampson,29,113,231,-11,-2,1,9,0,-4,-0.4,8,4,0.4,.497,.498,-0.6,1.0,-5,$2000000,Free Agency,8H74/36951,hampsga01
Hunter Harvey,29,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,/1,harvehu01
Kyle Isbel*,27,136,426,-8,2,2,5,3,4,0.4,15,19,1.8,.503,.503,1.3,0.9,13,$758250,Amateur Draft,*8H,isbelky01
Nick Loftin,25,56,171,-8,1,0,4,0,-4,-0.4,6,2,0.2,.493,.498,-0.3,0.5,-2,$741900,Amateur Draft,45H/3D71,loftini01
Michael Massey*,26,100,356,3,0,-1,0,1,4,0.4,12,16,1.6,.504,.502,1.6,0.2,16,$757000,Amateur Draft,4HD,massemi02
James McArthur,27,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$745750,,1,mcartja01
MJ Melendez*,25,135,451,-9,-4,2,-7,-5,-22,-2.4,15,-7,-0.9,.482,.485,-0.1,-1.2,0,$754750,Amateur Draft,*7H/D93,melenmj01
Vinnie Pasquantino*,26,131,554,5,-2,0,-3,-7,-7,-0.7,19,12,1.1,.494,.495,1.4,-1.1,15,$752750,Amateur Draft,3D/H,pasquvi01
Salvador Perez,34,158,652,12,-4,-2,-5,2,3,0.4,22,26,2.5,.502,.502,3.1,-0.3,31,$20000000,Amateur Free Agent,23D/H,perezsa02
Tommy Pham,36,23,104,-4,-1,0,4,-1,-2,-0.2,3,2,0.1,.491,.499,-0.3,0.3,-3,,Waivers,7/9D,phamth01
Hunter Renfroe,32,120,424,-3,-2,-1,-4,-4,-13,-1.4,14,1,0.0,.488,.491,0.4,-0.8,5,$5500000,Free Agency,*9/HD3,renfrhu01
Nelson Velázquez,25,64,230,-6,0,-1,-1,-4,-12,-1.3,8,-4,-0.5,.480,.492,-0.4,-0.6,-3,$747000,Traded,D97/H,velazne01
Drew Waters#,25,7,19,-1,0,0,0,0,-1,-0.1,1,0,0.0,.489,.500,0.0,0.0,0,$740000,Traded,/97H,waterdr01
Bobby Witt Jr.,24,161,709,56,-1,3,2,10,70,7.2,23,93,9.4,.544,.544,9.2,1.2,91,$3111111,Amateur Draft,*6/D,wittbo02
Team Total,27.9,1746,5982,-22,0,3,26,0,7,0.7,203,210,20.2,.500,.502,17.5,2.8,184,$43198011,,,-9999
