Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,KCR,W4-1,9.0,5,1,1,0,1,8,1,0,1.00,32,119,83,0,0,0,0,31,2,0,0,0,0,0,1,3,Laz Diaz,P.López (99-72-W) B.Stewart (99-H) G.Jax (99-Sv)
2,2,Mar 30,@,KCR,W5-1,9.0,5,1,1,0,3,11,0,0,1.00,34,141,97,1,1,0,1,31,2,0,1,0,0,0,0,5,Tripp Gibson,J.Ryan (99-62) S.Okert (99) J.Alcalá (99) G.Jax (1-W) B.Stewart (1)
3,3,Mar 31,@,KCR,L0-11,8.0,14,11,10,1,3,7,5,0,4.15,41,153,98,2,2,0,0,38,2,1,0,0,0,1,0,5,Mike Estabrook,B.Ober (99-4-L) K.Funderburk (99) D.Duarte (99) C.Sands (99) J.Jackson (99)
4,4,Apr 2,@,MIL,L2-3,8.0,7,3,3,0,5,8,1,1,3.97,36,152,87,0,0,3,1,30,1,0,0,0,0,0,0,3,Clint Vondrak,L.Varland (99-40-L) J.Alcalá (2) J.Jackson (1)
5,5,Apr 3,@,MIL,W7-3,9.0,7,3,3,0,3,9,2,0,3.77,35,162,101,0,0,0,0,31,0,0,0,0,1,0,2,5,Mark Wegner,C.Paddack (99-42) D.Duarte (2-W) B.Stewart (3-H) G.Jax (3-H) S.Okert (3)
6,6,Apr 4,,CLE,L2-4,9.0,7,4,3,1,3,7,0,2,3.63,39,156,95,2,1,0,0,33,1,0,0,0,1,1,0,3,Ryan Additon,P.López (6-44-L) K.Funderburk (3) C.Sands (3)
7,7,Apr 6,,CLE,L1-3,9.0,7,3,3,0,0,11,1,1,3.54,34,135,102,0,0,0,1,33,1,0,0,0,0,0,0,3,Brennan Miller,J.Ryan (6-57-L) J.Alcalá (3) J.Jackson (3)
8,8,Apr 8,,LAD,L2-4,9.0,10,4,4,0,3,12,2,0,3.60,39,140,90,0,0,1,0,35,2,0,0,0,1,0,0,5,John Tumpane,B.Ober (7-62) S.Okert (4-BSv) J.Jackson (1-L) G.Jax (4) K.Funderburk (3)
9,9,Apr 9,,LAD,L3-6,9.0,9,6,6,0,6,14,2,0,3.87,41,168,103,0,0,0,0,35,1,0,0,0,0,0,1,4,Nick Mahrley,L.Varland (6-32-L) C.Sands (4) B.Stewart (5) J.Alcalá (2)
10,10,Apr 10,,LAD,W3-2,9.0,9,2,2,0,3,11,1,0,3.68,37,148,92,3,0,0,1,34,2,0,0,0,0,0,0,6,Marvin Hudson,C.Paddack (6-47) K.Funderburk (1-W) J.Alcalá (0-H) B.Stewart (0-H) G.Jax (1-H) S.Okert (1-Sv)
11,11,Apr 12,@,DET,L2-8,8.0,10,8,8,0,6,15,1,1,4.12,41,180,107,3,1,0,0,34,2,0,0,0,0,1,0,5,Adam Beck,P.López (7-34-L) K.Funderburk (1) M.Tonkin (7) J.Jackson (3) W.Castro (99)
12,12,Apr 13(1),@,DET,W11-5,12.0,8,5,1,4,3,17,1,0,3.75,48,171,120,0,0,0,0,44,1,0,1,0,0,1,1,6,CB Bucknor,J.Ryan (6-63) S.Okert (2) G.Jax (2) B.Stewart (2) J.Alcalá (2-W) J.Jackson (0)
13,13,Apr 13(2),@,DET,W4-1,9.0,4,1,1,0,1,10,0,0,3.54,32,125,83,2,0,1,0,30,1,0,0,0,1,0,0,3,Brock Ballou,S.Woods Richardson (99-68-W) K.Funderburk (0-H) C.Sands (3-Sv)
