Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Pablo López,28,15,10,.600,4.08,32,32,0,0,0,0,185.1,180,90,84,26,41,0,198,8,0,3,772,102,3.65,1.192,8.7,1.3,2.0,9.6,4.83,lopezpa01
2,SP,Bailey Ober,28,12,9,.571,3.98,31,31,0,1,0,0,178.2,136,81,79,27,43,0,191,6,0,1,709,104,3.82,1.002,6.9,1.4,2.2,9.6,4.44,oberba01
3,SP,Joe Ryan,28,7,7,.500,3.60,23,23,0,0,0,0,135.0,110,59,54,19,23,0,147,5,1,2,538,115,3.44,0.985,7.3,1.3,1.5,9.8,6.39,ryanjo04
4,SP,Simeon Woods Richardson,23,5,5,.500,4.17,28,28,0,0,0,0,133.2,125,63,62,16,48,0,117,3,0,3,569,99,4.12,1.294,8.4,1.1,3.2,7.9,2.44,woodssi01
5,SP,Chris Paddack,28,5,3,.625,4.99,17,17,0,0,0,0,88.1,102,50,49,14,21,0,79,1,0,3,384,83,4.19,1.392,10.4,1.4,2.1,8.0,3.76,paddach01
6,SP,David Festa,24,2,6,.250,4.90,14,13,0,0,0,0,64.1,62,36,35,9,23,0,77,2,1,2,277,85,3.76,1.321,8.7,1.3,3.2,10.8,3.35,festada01
7,CL,Jhoan Durán,26,6,9,.400,3.64,58,0,37,0,0,23,54.1,48,30,22,4,15,2,66,6,1,1,228,114,2.85,1.160,8.0,0.7,2.5,10.9,4.40,duranjh01
8,RP,Cole Sands,26,9,1,.900,3.28,62,0,11,0,0,4,71.1,59,30,26,6,12,0,85,6,1,3,292,127,2.63,0.995,7.4,0.8,1.5,10.7,7.08,sandsco01
9,RP,Griffin Jax,29,5,5,.500,2.03,72,0,16,0,0,10,71.0,47,19,16,4,15,1,95,2,0,4,276,205,1.94,0.873,6.0,0.5,1.9,12.0,6.33,jaxgr01
10,RP,Jorge Alcalá,28,4,3,.571,3.24,54,0,5,0,0,0,58.1,40,23,21,8,20,1,58,3,0,4,235,129,4.14,1.029,6.2,1.2,3.1,8.9,2.90,alcaljo01
11,RP,Caleb Thielbar*,37,2,4,.333,5.32,59,0,18,0,0,3,47.1,50,33,28,6,24,2,53,0,0,2,216,78,4.10,1.563,9.5,1.1,4.6,10.1,2.21,thielca01
12,,Louie Varland,26,0,6,.000,7.61,16,7,1,0,0,0,49.2,68,44,42,12,16,1,49,4,0,0,238,55,5.54,1.691,12.3,2.2,2.9,8.9,3.06,varlalo01
13,,Zebby Matthews,24,1,4,.200,6.69,9,9,0,0,0,0,37.2,51,31,28,11,11,0,43,2,0,1,177,63,5.72,1.646,12.2,2.6,2.6,10.3,3.91,matthze01
14,,Steven Okert*,32,3,2,.600,5.09,44,1,8,0,0,1,35.1,37,22,20,6,16,3,33,3,0,2,160,82,5.12,1.500,9.4,1.5,4.1,8.4,2.06,okertst01
15,,Kody Funderburk*,27,1,0,1.000,6.49,27,0,6,0,0,1,34.2,41,26,25,4,15,0,32,5,1,4,161,64,4.55,1.615,10.6,1.0,3.9,8.3,2.13,fundeko01
16,,Jay Jackson,36,1,2,.333,7.52,20,0,10,0,0,0,26.1,28,24,22,7,9,0,29,0,0,0,114,56,5.45,1.405,9.6,2.4,3.1,9.9,3.22,jacksja01
17,,Josh Staumont,30,1,0,1.000,3.70,25,0,12,0,0,0,24.1,17,12,10,0,14,0,18,1,0,1,102,114,3.54,1.274,6.3,0.0,5.2,6.7,1.29,staumjo01
18,,Scott Blewett,28,1,1,.500,1.77,12,0,4,0,0,0,20.1,17,5,4,2,8,2,18,1,0,0,85,238,4.00,1.230,7.5,0.9,3.5,8.0,2.25,blewesc01
19,,Ronny Henriquez,24,1,1,.500,3.26,16,1,6,0,0,0,19.1,20,8,7,2,5,1,15,2,0,1,82,130,4.05,1.293,9.3,0.9,2.3,7.0,3.00,henriro01
20,,Michael Tonkin,34,0,0,,3.86,13,0,4,0,0,0,16.1,18,7,7,0,7,0,22,2,0,0,73,110,2.13,1.531,9.9,0.0,3.9,12.1,3.14,tonkimi01
21,,Brock Stewart,32,0,0,,5.17,16,0,1,0,0,0,15.2,15,9,9,2,8,0,20,0,0,0,67,82,3.81,1.468,8.6,1.1,4.6,11.5,2.50,stewabr01
22,,Trevor Richards,31,0,1,.000,4.15,10,0,3,0,0,1,13.0,8,6,6,0,11,0,13,2,0,7,59,103,4.17,1.462,5.5,0.0,7.6,9.0,1.18,richatr01
23,,Diego Castillo,30,0,0,,2.70,7,0,3,0,0,0,10.0,8,3,3,0,8,0,6,0,0,1,43,159,4.37,1.600,7.2,0.0,7.2,5.4,0.75,castidi01
24,,Randy Dobnak,29,0,0,,5.59,5,0,3,0,0,0,9.2,11,6,6,1,5,1,7,0,0,1,45,77,4.62,1.655,10.2,0.9,4.7,6.5,1.40,dobnara01
25,,Josh Winder,27,0,0,,3.00,4,0,2,0,0,0,9.0,7,4,3,0,1,0,10,2,0,0,38,144,1.94,0.889,7.0,0.0,1.0,10.0,10.00,windejo01
26,,Matt Bowman,33,0,0,,2.35,5,0,1,0,0,0,7.2,2,2,2,1,4,0,6,2,0,0,31,185,5.65,0.783,2.3,1.2,4.7,7.0,1.50,bowmama01
27,,Kyle Farmer,33,0,0,,6.75,3,0,3,0,0,0,4.0,7,3,3,0,1,0,0,0,0,0,19,67,3.92,2.000,15.8,0.0,2.3,0.0,0.00,farmeky01
28,,Caleb Boushley,30,0,0,,4.50,2,0,1,0,0,0,4.0,6,2,2,0,2,0,1,0,0,0,20,101,4.17,2.000,13.5,0.0,4.5,2.3,0.50,boushca01
29,,Daniel Duarte,27,1,0,1.000,2.25,2,0,0,0,0,0,4.0,2,1,1,1,1,0,3,0,0,0,15,201,5.67,0.750,4.5,2.3,2.3,6.8,3.00,duartda01
30,,Cole Irvin*,30,0,1,.000,12.27,4,0,1,0,0,0,3.2,6,5,5,1,4,0,2,1,0,1,22,37,9.71,2.727,14.7,2.5,9.8,4.9,0.50,irvinco01
31,,Brent Headrick*,26,0,0,,3.00,1,0,0,0,0,0,3.0,2,1,1,1,2,0,5,0,0,0,13,155,6.17,1.333,6.0,3.0,6.0,15.0,2.50,headrbr01
32,,Justin Topa,33,0,0,,0.00,3,0,2,0,0,0,2.1,1,0,0,0,0,0,2,0,0,0,8,,1.45,0.429,3.9,0.0,0.0,7.7,,topaju01
33,,Matt Wallner,26,0,0,,0.00,1,0,1,0,0,0,1.1,2,0,0,0,0,0,0,0,0,0,6,,3.17,1.500,13.5,0.0,0.0,0.0,,wallnma01
34,,Willi Castro,27,0,0,,0.00,2,0,2,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,4,,3.17,0.000,0.0,0.0,0.0,0.0,,castrwi01
,,Team Totals,27.8,82,80,.506,4.26,162,162,161,1,0,43,1440.1,1333,735,682,190,433,14,1500,69,5,47,6078,98,3.84,1.226,8.3,1.2,2.7,9.4,3.46,-9999
,,Rank in 15 AL teams,,8,8,,10,,,,4,13,6,6,12,9,11,10,3,,1,,,,,,,,,,,,,-9999
