Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Jorge Alcalá,28,58.1,54,0,23,3.55,4.44,-0.06,-0.30,0.38,102.8,4.71,7,0.8,1.36,0.0,1.4,13,.514,.505,$790000,Traded,alcaljo01
Scott Blewett,28,20.1,12,0,5,2.21,4.11,-0.06,-0.28,0.83,105.7,5.00,6,0.7,.82,-0.1,0.8,8,.557,.504,,Free Agency,blewesc01
Caleb Boushley,30,4.0,2,0,2,4.50,4.60,-0.09,-0.31,0.00,100.0,4.39,0,0.0,.14,0.0,0.0,0,.496,.500,$740000,Free Agency,boushca01
Matt Bowman,33,7.2,5,0,2,2.35,4.61,-0.06,-0.31,0.00,98.8,4.30,2,0.2,.97,0.0,0.2,2,.535,.501,,Free Agency,bowmama01
Diego Castillo,30,10.0,7,0,3,2.70,4.70,-0.06,-0.32,0.00,102.9,4.58,2,0.2,.19,-0.1,0.2,3,.532,.501,,Free Agency,castidi01
Willi Castro,27,1.1,2,0,0,0.00,4.49,-0.07,-0.30,0.00,102.0,4.34,1,0.1,.00,0.0,0.0,1,.535,.500,$3300000,Free Agency,castrwi01
Randy Dobnak,29,9.2,5,0,6,5.59,4.94,-0.08,-0.33,0.00,99.9,4.67,-1,-0.1,.28,0.0,0.0,0,.479,.499,$2250000,Free Agency,dobnara01
Daniel Duarte,27,4.0,2,0,1,2.25,4.42,-0.06,-0.30,0.00,106.3,4.45,1,0.1,.43,0.0,0.1,1,.553,.501,$740000,Waivers,duartda01
Jhoan Durán,26,54.1,58,0,30,4.97,4.35,-0.06,-0.29,0.51,102.4,4.74,-2,-0.2,1.88,-0.2,0.2,4,.497,.499,$747200,Traded,duranjh01
Kyle Farmer,33,4.0,3,0,3,6.75,4.57,-0.10,-0.31,0.00,106.0,4.63,-1,-0.1,.00,0.0,0.0,-1,.467,.499,$6300000,Traded,farmeky01
