Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Addison Barger,24,63,55,36,485.1,138,82,49,7,7,0.949,-5,-13,3,7,0,2.43,1.75,,,,,,,,3B-RF-LF-DH,bargead01
Chris Bassitt,35,31,31,0,171,29,12,16,1,3,0.966,,,-1,-1,0,1.47,0.9,,,14,9,0.39,0.22,1,P,bassich01
José Berríos,30,32,32,1,192.1,32,12,18,2,1,0.938,,,2,2,0,1.4,0.94,,,12,5,0.29,0.22,2,P,berrijo01
Steward Berroa,25,21,9,8,107,28,27,1,0,0,1,3,37,3,34,0,2.36,1.22,,,,,,,,RF-LF-CF-DH,berrost01
Bo Bichette,26,81,81,72,684.1,242,76,159,7,35,0.971,-4,-7,-3,-5,0,3.09,2.9,,,,,,,,SS,bichebo01
Cavan Biggio,29,38,34,23,303.2,128,70,56,2,12,0.984,1,4,2,8,0,3.73,2.63,,,,,,,,2B-RF-3B-1B-DH,biggica01
Ryan Burr,30,34,4,0,32.2,4,2,1,1,0,0.75,,,0,0,0,0.83,0.09,,,2,0,0.00,0.22,0,P,burrry01
Génesis Cabrera,27,69,0,0,62.2,6,3,3,0,0,1,,,-2,-6,0,0.86,0.09,,,14,2,0.13,0.22,1,P,cabrege01
Jonatan Clase,22,6,6,6,52,12,12,0,0,0,1,0,-10,-2,-46,0,2.08,2,,,,,,,,CF,clasejo01
Ernie Clement,28,134,109,97,999.1,370,117,240,13,39,0.965,10,12,15,18,1,3.22,2.46,,,0,0,,,0,3B-SS-2B-LF-P-DH,clemeer01
José Cuas,30,4,0,0,3,1,0,1,0,0,1,,,0,0,0,3,0.25,,,0,0,,,0,P,cuasjo01
Brett de Geus,26,2,0,0,2.1,1,0,0,1,0,0,,,0,0,0,0,0,,,0,0,,,0,P,degeubr01
Luis De Los Santos,26,12,8,5,74.1,31,12,17,2,0,0.935,1,14,1,16,0,3.51,2.07,,,,,,,,3B-1B-LF,deloslu03
Brandon Eisert,26,3,0,0,6.2,1,1,0,0,0,1,,,0,0,0,1.35,0.33,,,0,1,1.00,0.22,0,P,eiserbr01
Paolo Espino,37,3,1,0,8.2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.22,0,P,espinpa01
Bowden Francis,28,27,13,0,103.2,11,4,7,0,0,1,,,3,6,1,0.95,0.41,,,1,1,0.50,0.22,0,P,francbo01
Luis Frías,26,4,0,0,3.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,friaslu01
Yimi García,33,29,0,0,30,0,0,0,0,0,,,,-1,-7,,0,0,,,4,0,0.00,0.22,0,P,garciyi01
Kevin Gausman,33,31,31,2,181,17,7,9,1,0,0.941,,,-2,-2,0,0.8,0.52,,,20,4,0.17,0.22,2,P,gausmke01
Chad Green,33,53,0,0,53.1,5,2,3,0,0,1,,,0,0,0,0.84,0.09,,,6,2,0.25,0.22,0,P,greench03
Vladimir Guerrero Jr.,25,129,129,118,1126.1,987,885,90,12,93,0.988,-6,-6,-1,-1,2,7.79,6.02,,,,,,,,1B-3B-DH,guerrvl02
Tyler Heineman,33,6,4,4,37,39,37,2,0,1,1,1,40,1,32,0,9.49,6.5,0,1,0,1,1.00,0.22,1,C-P,heinety01
Spencer Horwitz,26,73,69,49,588.2,370,271,96,3,40,0.992,-6,-13,-6,-12,-2,5.61,3.74,,,,,,,,1B-2B-DH,horwisp01
Danny Jansen,29,54,50,49,443.1,443,424,16,3,0,0.993,0,-1,-6,-16,3,8.93,7.46,1,9,44,7,0.14,0.22,1,C-DH,janseda01
Leo Jimenez,23,61,55,47,490.1,204,78,122,4,29,0.98,0,0,2,5,0,3.67,3.08,,,,,,,,SS-2B-DH,jimenle01
