Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Chris Bassitt,35,171.0,31,31,91,4.79,4.50,0.68,0.20,0.00,99.3,4.00,-16,-1.6,,-0.1,-0.1,1,.448,.490,$22000000,Free Agency,bassich01
José Berríos,30,192.1,32,32,79,3.70,4.45,0.67,0.20,0.00,100.0,3.98,5,0.5,,-0.1,2.2,24,.517,.503,$17714286,Traded,berrijo01
Ryan Burr,30,32.2,34,4,16,4.41,4.61,0.56,-0.26,0.00,99.4,3.76,-3,-0.3,.68,0.0,0.0,1,.492,.498,,Purchased,burrry01
Génesis Cabrera*,27,62.2,69,0,31,4.45,4.48,0.70,-0.30,0.26,99.6,3.73,-5,-0.6,1.18,-0.2,-0.1,1,.492,.497,$1512500,Traded,cabrege01
Ernie Clement,28,1.0,1,0,1,9.00,3.78,1.14,-0.25,0.00,100.0,2.39,-1,-0.1,.00,0.0,0.0,-1,.427,.500,$757700,Free Agency,clemeer01
José Cuas,30,3.0,4,0,3,9.00,5.59,0.70,-0.38,0.00,95.3,4.31,-2,-0.2,.56,0.0,-0.1,-1,.460,.499,,Waivers,cuasjo01
Brett de Geus,26,2.1,2,0,4,15.43,3.63,0.78,-0.24,0.00,100.0,2.61,-3,-0.3,.52,0.1,-0.2,-3,.348,.498,,Waivers,degeubr01
Brandon Eisert*,26,6.2,3,0,3,4.05,4.61,0.69,-0.31,0.00,93.5,3.38,-1,-0.1,.54,0.0,0.0,0,.482,.500,,Amateur Draft,eiserbr01
Paolo Espino,37,8.2,3,1,8,8.31,4.97,0.92,-0.08,0.00,94.0,3.74,-4,-0.4,.37,0.1,-0.3,-4,.362,.497,,Free Agency,espinpa01
Bowden Francis,28,103.2,27,13,41,3.56,4.73,0.64,0.08,0.05,99.5,4.20,7,0.7,.68,-0.1,1.6,17,.528,.505,$748000,Traded,francbo01
Luis Frías,26,3.1,4,0,8,21.60,4.92,0.97,-0.33,0.00,98.5,3.57,-7,-0.6,.32,0.2,-0.4,-6,.347,.496,,Waivers,friaslu01
Yimi García,33,30.0,29,0,9,2.70,4.69,0.48,-0.31,0.00,99.0,3.85,4,0.4,1.39,0.0,0.7,7,.514,.502,$6000000,Free Agency,garciyi01
Kevin Gausman,33,181.0,31,31,86,4.28,4.47,0.68,0.20,0.00,100.0,3.99,-7,-0.7,,-0.1,0.9,11,.478,.496,$22000000,Free Agency,gausmke01
Chad Green,33,53.1,53,0,20,3.38,4.67,0.64,-0.31,0.10,99.5,3.80,2,0.2,1.54,0.0,0.7,7,.505,.502,$10500000,Free Agency,greench03
Tyler Heineman,33,1.0,1,0,0,0.00,3.63,0.95,-0.24,0.00,100.0,2.43,0,0.0,.00,0.0,0.0,0,.529,.500,,Waivers,heinety01
Yusei Kikuchi*,33,115.2,22,22,63,4.90,4.73,0.66,0.21,0.00,99.2,4.24,-9,-0.9,,-0.1,0.1,2,.458,.494,$10000000,Free Agency,kikucyu01
Isiah Kiner-Falefa,29,2.0,2,0,1,4.50,5.56,0.81,-0.37,0.00,98.2,4.30,0,0.0,.00,0.0,0.0,0,.497,.500,$7500000,Free Agency,kineris01
Brendon Little*,27,45.2,49,0,21,4.14,4.63,0.69,-0.31,0.12,99.8,3.74,-2,-0.2,.95,-0.1,0.1,2,.495,.499,$740000,Purchased,littlbr02
Easton Lucas*,27,4.2,2,0,6,11.57,3.78,0.80,-0.25,0.00,100.0,2.73,-5,-0.4,.70,0.1,-0.3,-4,.302,.498,,Waivers,lucasea01
Alek Manoah,26,24.1,5,5,16,5.92,4.13,0.61,0.19,0.00,99.3,3.67,-6,-0.6,,0.0,-0.4,-4,.382,.496,$782500,Amateur Draft,manoaal01
Tim Mayza*,32,24.2,35,0,24,8.76,4.60,0.87,-0.31,0.68,100.3,4.12,-13,-1.3,1.18,-0.2,-1.3,-10,.462,.492,$3590000,Amateur Draft,mayzati01
Tommy Nance,33,22.0,20,0,12,4.91,4.24,0.67,-0.28,0.25,100.7,3.57,-3,-0.4,.91,0.0,-0.2,-1,.482,.498,,Purchased,nanceto01
Wes Parsons,31,5.0,2,0,6,10.80,4.24,0.88,-0.28,0.00,97.2,2.99,-4,-0.4,.10,0.2,-0.2,-4,.310,.498,,Free Agency,parsowe01
Nate Pearson,27,40.0,41,0,26,5.85,4.50,0.64,-0.30,0.28,99.3,3.81,-9,-1.0,.99,-0.1,-0.7,-5,.477,.494,$800000,Amateur Draft,pearsna01
Zach Pop,27,48.1,58,0,36,6.70,4.59,0.74,-0.31,0.23,98.3,3.72,-16,-1.7,1.03,-0.1,-1.3,-12,.471,.490,$765500,Traded,popza01
Trevor Richards,31,52.1,45,2,30,5.16,4.59,0.63,-0.27,0.00,99.3,3.66,-9,-0.9,.85,0.0,-0.5,-4,.479,.494,$2150000,Traded,richatr01
Nick Robertson,25,1.0,1,0,0,0.00,3.63,0.67,-0.24,0.00,100.0,2.72,0,0.0,.00,0.0,0.0,0,.532,.500,,Waivers,roberni01
Yariel Rodríguez,27,86.2,21,21,46,4.78,4.41,0.63,0.20,0.00,100.1,3.98,-8,-0.8,,-0.1,-0.1,0,.460,.495,$3600000,Free Agency,rodriya01
Yerry Rodríguez,26,4.2,4,0,9,17.36,5.56,0.94,-0.37,0.00,91.6,3.89,-7,-0.6,.31,0.2,-0.4,-7,.341,.496,,Traded,rodriye01
