Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
David Bañuelos,27,1,1,0,0,0,0,0,0,0.0,0,0,,.473,.500,,0.0,0,,Free Agency,/H,banueda01
Mike Baumann,28,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1,baumami01
Danny Coulombe*,34,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2300000,Purchased,1,couloda01
Colton Cowser*,24,153,561,12,-1,1,3,-3,11,1.2,19,30,3.1,.508,.507,2.7,-0.1,27,$742800,Amateur Draft,*789H/D,cowseco01
Seranthony Domínguez,29,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1,dominse01
Austin Hays,28,63,175,2,0,0,-4,-2,-4,-0.4,6,3,0.2,.494,.498,0.7,-0.6,7,$6300000,Amateur Draft,7H/D9,haysau01
Jonathan Heasley,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Traded,/1,heasljo01
Gunnar Henderson*,23,159,719,46,3,2,5,10,66,6.9,23,89,9.1,.543,.542,8.5,1.5,84,$756200,Amateur Draft,*6/D,hendegu01
Jackson Holliday*,20,60,208,-7,1,1,-3,2,-6,-0.6,7,1,0.1,.489,.496,0.4,-0.1,4,$740000,Amateur Draft,4/H6D,hollija01
Eloy Jiménez,27,33,100,-2,-1,0,0,-2,-5,-0.5,3,-2,-0.2,.483,.497,-0.2,-0.2,-2,,Traded,D/H,jimenel02
Daniel Johnson*,28,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.471,.500,0.0,0.0,0,,Free Agency,/H9,johnsda07
Tony Kemp*,32,5,10,-2,0,0,0,0,-2,-0.2,0,-1,-0.2,.462,.499,-0.2,0.0,-1,$1000000,Free Agency,/4H7,kempto01
Craig Kimbrel,36,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$12000000,Free Agency,1,kimbrcr01
Heston Kjerstad*,25,39,114,3,0,0,-1,-2,0,0.0,4,4,0.4,.501,.500,0.5,-0.3,5,$740000,Amateur Draft,D7H/9,kjershe01
Jorge Mateo,29,68,208,-3,3,1,0,2,2,0.2,7,9,0.9,.503,.501,0.9,0.2,9,$2700000,Waivers,4/H68D,mateojo01
Nick Maton*,27,5,5,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.473,.499,-0.1,0.0,-1,,Purchased,/5H4D,matonni01
Coby Mayo,22,17,46,-6,0,0,-2,0,-8,-0.8,2,-6,-0.7,.452,.495,-0.5,-0.2,-4,,Amateur Draft,5/H3,mayoco01
James McCann,34,65,233,-2,0,0,-3,5,0,0.0,8,8,0.8,.500,.500,1.1,0.2,11,$12150000,Traded,2/1,mccanja02
Ryan McKenna,27,9,9,2,0,0,-1,0,1,0.1,0,1,0.1,.510,.501,0.2,-0.1,2,,Amateur Draft,/H987,mckenry01
Ryan Mountcastle,27,124,507,8,-1,-1,8,-6,8,0.9,17,25,2.6,.507,.505,1.7,0.2,17,$4137500,Amateur Draft,*3H/D,mountry01
Cedric Mullins*,29,147,499,4,3,3,-5,4,8,0.9,17,25,2.6,.506,.505,3.1,-0.1,30,$6325000,Amateur Draft,*8H/D,mullice01
