Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Jason Adam,32,47.0,47,0,17,3.26,4.41,0.04,-0.30,0.24,101.9,4.39,6,0.6,1.65,0.1,1.2,10,.513,.504,$2700000,Free Agency,adamja01
Tyler Alexander*,29,107.2,23,9,61,5.10,4.62,0.05,0.15,0.00,98.9,4.67,-6,-0.6,1.16,-0.1,0.3,5,.474,.496,$1950000,Waivers,alexaty01
Shawn Armstrong,33,46.2,38,7,30,5.79,4.48,0.05,-0.26,0.00,100.9,4.21,-8,-0.9,1.01,-0.1,-0.5,-4,.477,.495,$2050000,Free Agency,armstsh01
Shane Baz,25,79.1,14,14,28,3.18,4.59,0.04,0.21,0.00,98.2,4.67,13,1.4,,-0.1,2.1,20,.603,.509,$743600,Traded,bazsh01
Hunter Bigge,26,14.0,15,1,4,2.57,4.46,0.04,-0.30,0.00,99.1,4.08,2,0.2,.82,-0.1,0.3,4,.516,.502,,Traded,biggehu01
Taj Bradley,23,138.0,25,25,68,4.43,4.63,0.04,0.21,0.00,98.8,4.74,4,0.4,,-0.1,1.6,17,.517,.503,$743300,Amateur Draft,bradlta01
Aaron Civale,29,87.0,17,17,51,5.28,4.46,0.05,0.20,0.00,100.1,4.62,-7,-0.7,,-0.1,0.1,2,.460,.496,$4900000,Traded,civalaa01
Garrett Cleavinger*,30,60.0,68,0,29,4.35,4.61,0.04,-0.31,0.56,99.3,4.79,3,0.3,1.51,-0.1,0.8,8,.504,.502,$746900,Traded,cleavga01
Chris Devenski,33,26.2,19,0,25,8.44,4.72,0.05,-0.32,0.00,100.0,4.35,-12,-1.2,.61,0.2,-0.8,-10,.436,.492,$1000000,Free Agency,devench02
Zach Eflin,30,110.0,19,19,55,4.50,4.23,0.05,0.19,0.00,102.2,4.47,-1,-0.1,,-0.1,0.9,10,.495,.499,$11000000,Free Agency,eflinza01
Pete Fairbanks,30,45.1,46,0,20,3.97,4.55,0.04,-0.31,0.37,101.1,4.62,3,0.3,1.88,0.1,0.8,7,.507,.502,$3666667,Traded,fairbpe01
Kevin Kelly,26,70.2,68,0,25,3.18,4.60,0.04,-0.31,0.16,99.3,4.37,9,1.0,1.39,0.0,1.7,16,.514,.506,$740000,Purchased,kellyke02
Joel Kuhnel,29,8.0,5,0,1,1.13,4.48,0.05,-0.30,0.00,95.4,3.95,2,0.3,.34,-0.1,0.2,3,.554,.502,,Waivers,kuhnejo01
Zack Littell,28,156.1,29,29,68,3.91,4.54,0.05,0.21,0.00,99.9,4.69,13,1.4,,-0.1,2.8,28,.548,.509,$1850000,Waivers,litteza01
Jacob Lopez*,26,10.1,4,1,7,6.10,5.42,0.04,-0.07,0.54,95.0,5.55,-1,-0.1,.48,0.0,0.0,0,.482,.500,$740000,Traded,lopezja04
Richard Lovelady*,28,28.2,28,0,13,4.08,4.79,0.05,-0.32,0.39,97.0,4.66,2,0.2,1.17,0.0,0.4,4,.507,.501,$740000,Traded,lovelri01
Phil Maton,31,35.1,40,0,19,4.84,4.50,0.04,-0.30,0.47,101.2,4.69,-1,-0.1,1.23,-0.1,0.2,3,.498,.499,$6250000,Free Agency,matonph01
Mason Montgomery*,24,9.2,9,0,2,1.86,4.52,0.02,-0.30,0.00,100.9,4.23,2,0.3,.97,0.0,0.3,3,.530,.502,,Amateur Draft,montgma01
Ryan Pepiot,26,130.0,26,26,58,4.02,4.54,0.04,0.21,0.00,99.8,4.70,9,1.0,,-0.1,2.1,22,.539,.506,$744900,Traded,pepiory01
Colin Poche*,30,37.1,43,0,16,3.86,4.58,0.04,-0.31,0.00,101.0,4.27,2,0.2,1.34,0.0,0.5,5,.504,.501,$2375000,Traded,pocheco01
Erasmo Ramírez,34,20.2,13,0,12,5.23,4.27,0.04,-0.29,0.00,99.2,3.91,-3,-0.3,.99,0.0,-0.2,-1,.475,.498,,Free Agency,ramirer02
Drew Rasmussen,28,28.2,16,4,10,3.14,4.80,0.04,-0.28,0.00,97.2,4.35,4,0.4,.91,-0.1,0.6,6,.525,.502,$1862500,Traded,rasmudr01
Manuel Rodríguez,27,37.2,40,0,13,3.11,4.56,0.04,-0.31,0.45,98.8,4.60,6,0.7,1.45,0.1,1.1,10,.516,.504,$740000,Traded,rodrima01
Ben Rortvedt,26,2.0,1,0,1,4.50,5.31,0.06,-0.36,0.00,98.0,4.79,0,0.0,.00,0.0,0.0,0,.506,.500,$755400,Traded,rortvbe01
Jeffrey Springs*,31,33.0,7,7,12,3.27,4.74,0.04,0.22,0.00,96.5,4.74,5,0.6,,0.0,0.9,8,.584,.504,$5250000,Traded,sprinje01
Justin Sterner,27,4.0,2,0,2,4.50,4.59,0.05,-0.31,0.00,102.8,4.35,0,0.0,.33,0.0,0.0,0,.496,.500,$740000,Traded,sternju01
Cole Sulser,34,11.2,6,2,0,0.00,4.68,0.04,-0.22,0.00,99.3,4.38,6,0.6,.67,-0.1,0.6,7,.607,.504,,Purchased,sulseco01
Edwin Uceta,26,41.2,30,0,8,1.73,4.62,0.03,-0.31,0.13,97.5,4.30,12,1.3,1.48,0.2,1.9,16,.543,.508,$740000,Free Agency,ucetaed01
