xName,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Wilyer Abreu,25,130,110,70,960.1,238,222,9,7,2,0.971,15,19,16,20,2,2.16,1.75,,,,,,,,RF-LF-CF-DH,abreuwi02
Chase Anderson,36,27,1,0,52,5,4,1,0,0,1,,,-1,-4,0,0.87,0.19,,,5,1,0.17,0.22,0,P,anderch01
Brayan Bello,25,30,30,0,162.1,38,20,16,2,1,0.947,,,0,0,0,2,1.2,,,12,2,0.14,0.22,1,P,bellobr01
Brennan Bernardino,32,57,3,0,51,13,5,6,2,0,0.846,,,2,8,0,1.94,0.19,,,3,1,0.25,0.22,2,P,bernabr01
Cam Booser,32,43,0,0,42.2,7,3,3,1,0,0.857,,,1,5,0,1.27,0.14,,,1,1,0.50,0.22,0,P,booseca01
Isaiah Campbell,26,8,0,0,6.2,3,1,2,0,0,1,,,1,30,0,4.05,0.38,,,0,0,,,0,P,campbis01
Triston Casas,24,62,57,51,512,505,450,50,5,36,0.99,-1,-3,-1,-2,1,8.79,8.06,,,,,,,,1B-DH,casastr01
Garrett Cooper,33,12,9,4,75,64,55,8,1,6,0.984,1,18,-2,-32,-1,7.56,3,,,,,,,,1B-DH,coopega03
Kutter Crawford,28,33,33,0,183.2,26,18,8,0,1,1,,,1,1,0,1.27,0.79,,,7,3,0.30,0.22,0,P,crawfku01
Cooper Criswell,27,26,18,0,99.1,12,8,4,0,1,1,,,0,0,0,1.09,0.46,,,2,1,0.33,0.22,0,P,criswco01
Bobby Dalbec,29,35,23,17,213.1,127,101,26,0,9,1,5,27,1,6,0,5.36,3.34,,,,,,,,1B-3B-RF-DH,dalbebo01
Rafael Devers,27,130,130,116,1138.1,299,102,185,12,19,0.96,-2,-2,-9,-9,1,2.27,2.08,,,,,,,,3B-DH,deverra01
Jarren Duran,27,160,160,125,1421.1,374,356,12,6,2,0.984,3,2,23,19,3,2.33,1.96,,,,,,,,CF-LF,duranja01
Richard Fitts,24,4,4,0,20.2,5,1,4,0,1,1,,,1,10,0,2.18,1.25,,,0,0,,,1,P,fittsri01
Luis García,37,15,0,0,15.1,2,0,2,0,0,1,,,0,0,0,1.17,0.13,,,2,0,0.00,0.22,0,P,garcilu03
Mickey Gasper,28,8,3,3,32,16,5,11,0,0,1,1,27,1,38,0,4.5,1.45,,,,,,,,2B-1B-DH,gaspemi01
Romy Gonzalez,27,85,40,17,407.2,216,133,78,5,18,0.977,-4,-13,0,0,0,4.66,2.13,,,,,,,,2B-1B-SS-3B-RF-CF-LF-DH,gonzaro01
Vaughn Grissom,23,30,28,26,245,123,35,85,3,16,0.976,3,15,1,5,0,4.41,3.87,,,,,,,,2B-DH,grissva01
Luis Guerrero,23,9,0,0,10,1,1,0,0,0,1,,,0,0,0,0.9,0.11,,,0,1,1.00,0.22,0,P,guerrlu01
David Hamilton,26,94,78,55,699.2,330,115,205,10,40,0.97,0,1,4,7,-2,4.12,3.17,,,,,,,,SS-2B,hamilda03
Tyler Heineman,33,1,1,0,2,3,2,1,0,0,1,1,300,1,600,0,13.5,1.5,0,0,0,1,1.00,0.22,0,C-DH,heinety01
