Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Jon Berti,34,25,74,1,1,0,2,0,4,0.4,3,6,0.6,.516,.502,0.4,0.3,4,,Traded,5/H4D7,bertijo01
Oswaldo Cabrera#,25,108,326,-4,1,0,3,2,2,0.2,11,13,1.3,.502,.501,1.0,0.5,10,$783000,Free Agency,5H34/6791,cabreos01
Jazz Chisholm Jr.*,26,46,191,6,2,1,-2,1,8,0.9,7,15,1.5,.519,.505,1.7,-0.1,17,,Traded,5/8,chishja01
J.D. Davis,31,7,22,-2,0,0,0,0,-3,-0.3,1,-2,-0.2,.455,.498,-0.2,0.0,-2,,Traded,/3DH,davisjd01
Jasson Domínguez#,21,18,67,-1,0,1,-2,0,-3,-0.3,2,0,-0.1,.485,.498,0.2,-0.3,2,$745800,Free Agency,7/8HD,dominja01
Duke Ellis*,26,3,1,0,0,0,0,0,1,0.1,0,1,0.1,.529,.501,0.1,0.0,1,,Waivers,/H7,ellisdu01
Trent Grisham*,27,76,209,-1,-2,-1,0,1,-3,-0.3,7,4,0.4,.496,.498,0.4,0.1,4,$5500000,Traded,8H/D,grishtr01
Jahmai Jones,26,33,47,-1,0,0,0,-1,-2,-0.2,2,0,0.0,.495,.499,0.0,-0.1,0,$741200,Waivers,H/D9745,jonesja08
Aaron Judge,32,158,704,95,2,-3,-8,0,86,8.6,23,109,10.8,.554,.553,11.7,-0.9,116,$40000000,Free Agency,*8D/97,judgeaa01
DJ LeMahieu,35,67,228,-13,-1,-2,-5,-1,-22,-2.3,8,-14,-1.6,.465,.486,-1.0,-0.6,-9,$15000000,Free Agency,35/H,lemahdj01
Carlos Narváez,25,6,15,-1,0,0,1,0,1,0.1,1,1,0.1,.511,.500,0.0,0.1,0,,Free Agency,/2H,narvaca01
Oswald Peraza,24,4,11,0,0,0,0,0,0,0.0,0,1,0.1,.505,.500,0.1,0.0,1,$766600,Free Agency,/5,perazos02
Ben Rice*,25,50,178,-5,-1,0,-1,-2,-10,-1.0,6,-4,-0.4,.479,.494,-0.3,-0.3,-3,,Amateur Draft,3/H2,ricebe01
Anthony Rizzo*,34,92,375,-5,-1,-1,2,-4,-10,-1.0,13,3,0.2,.489,.493,0.0,-0.3,1,$17000000,Free Agency,3/H,rizzoan01
Kevin Smith,27,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,,Free Agency,/HD,smithke05
Juan Soto*,25,157,713,64,-4,1,0,-5,56,5.8,23,78,7.9,.536,.535,7.9,-0.5,78,$31000000,Traded,*9/7DH,sotoju01
Giancarlo Stanton,34,114,459,6,-1,-3,0,-9,-8,-0.8,16,8,0.7,.493,.495,0.7,-1.0,8,$32000000,Traded,*D/H,stantmi03
Gleyber Torres,27,154,665,2,-2,2,-11,5,-4,-0.4,22,19,1.8,.498,.498,3.0,-0.6,30,$14200000,Traded,*4/H,torregl01
Taylor Trammell*,26,5,2,1,0,0,-1,0,-1,-0.1,0,-1,-0.1,.483,.499,0.0,-0.1,0,,Waivers,/H79D,trammta01
Jose Trevino,31,73,234,-5,0,-2,1,4,-2,-0.2,8,6,0.6,.498,.499,0.5,0.6,5,$2730000,Traded,2/H1,trevijo01
Alex Verdugo*,28,149,621,-13,-1,0,7,-5,-12,-1.3,21,9,0.8,.491,.492,0.1,0.2,2,$8700000,Traded,*79/8,verdual01
Anthony Volpe,23,160,689,-13,5,2,6,10,11,1.2,23,34,3.4,.507,.507,2.8,1.7,28,$810100,Amateur Draft,*6/H,volpean01
Austin Wells*,24,115,414,2,-2,0,4,7,11,1.2,14,25,2.5,.510,.507,2.1,1.2,21,$750000,Amateur Draft,*2H/D,wellsau01
Team Total,28,1622,6245,115,-6,-6,-4,2,101,10.3,209,311,30.4,.506,.507,30.8,-0.2,315,$170726700,,,-9999
