Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,Name-additional
Mike Trout,32,14,Amateur Draft,12.070,Landis Baseball G...,12 yrs/$426.5M (19-30),$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,troutmi01
Anthony Rendon,34,12,Free Agency,10.130,Boras Corporation,7 yrs/$245M (20-26),$38.6M,$38.6M,$38.6M,FA,,,,rendoan01
Tyler Anderson,34,9,Free Agency,8.065,GSE Worldwide,3 yrs/$39M (23-25),$13M,$13M,FA,,,,,anderty01
Robert Stephenson,31,8,,6.049,Apex Baseball,3 yrs/$33M (24-26) & 27 team option,$11M,$11M,$11M,$0 [FA-*],FA,,,stephro01
Evan White,28,2,,3.144,True Gravity Base...,6 yrs/$24M (20-25) & 26-28 team option,$7M,$8M,$2M [Arb-*],$0 [FA-*],$0 [FA-*],FA,,whiteev01
Brandon Drury,31,10,Free Agency,7.001,Wasserman,2 yrs/$17M (23-24),$8.5M,FA,,,,,,drurybr01
Matt Moore,35,13,Free Agency,11.000,Apex Baseball,1 yr/$9M (24),$9M,FA,,,,,,moorema02
Patrick Sandoval,27,6,Traded,3.149,Wasserman,1 yr/$5.03M (24),$5.03M,Arb,Arb,FA,,,,sandopa02
Taylor Ward,30,7,Amateur Draft,3.164,Wasserman,1 yr/$4.8M (24),$4.8M,Arb,Arb,FA,,,,wardta01
Luis Rengifo,27,6,Traded,4.043,MVP Sports Group,1 yr/$4.4M (24),$4.4M,Arb,FA,,,,,rengilu01
Griffin Canning,28,5,Amateur Draft,4.075,Wasserman,1 yr/$2.6M (24),$2.6M,Arb,FA,,,,,cannigr01
Adam Cimber,33,7,Free Agency,5.156,Shahpar Sports,1 yr/$1.65M (24),$1.65M,FA,,,,,,cimbead01
Brock Burke,27,4,Waivers,3.065,Apex Baseball,1 yr/$1.04M (24),$1.03M,Arb,Arb,FA,,,,burkebr01
Kevin Pillar,35,12,Free Agency,9.072,All Bases Covered,1 yr/$1M (24),$1M,FA,,,,,,pillake01
José Suarez,26,6,Amateur Free Agent,3.084,The MAS+ Agency,1 yr/$925k (24),$925k,Arb,Arb,FA,,,,suarejo01
José Quijada,28,6,Waivers,3.046,,1 yr/$840k (24),$840k,Arb,Arb,FA,,,,quijajo01
Jo Adell,25,5,Amateur Draft,2.085,Boras Corporation,1 yr/$770k (24),$770k,Arb,Arb,Arb,FA,,,adelljo01
Reid Detmers,24,4,Amateur Draft,2.064,,1 yr/$770k (24),$770k,Arb,Arb,Arb,FA,,,detmere01
Matt Thaiss,29,6,Amateur Draft,2.038,Pro Agents Inc.,1 yr/$770k (24),$770k,Arb,Arb,Arb,FA,,,thaisma01
Mickey Moniak,26,5,Traded,2.027,Wasserman,1 yr/$770k (24),$770k,Arb,Arb,Arb,FA,,,moniami01
José Soriano,25,2,Rule 5 returned,1.121,Jose Soriano,1 yr/$760k (24),$760k,Pre-Arb,Arb,Arb,Arb,FA,,soriajo02
Logan O'Hoppe,24,3,Traded,1.008,,1 yr/$760k (24),$760k,Pre-Arb,Arb,Arb,Arb,FA,,ohopplo01
Roansy Contreras,24,4,Purchased,1.039,Rep 1 Baseball,1 yr/$755k (24),$755k,Pre-Arb,Arb,Arb,Arb,FA,,contrro01
Zach Neto,23,2,Amateur Draft,0.170,,1 yr/$750k (24),$750k,Pre-Arb,Arb,Arb,Arb,Arb,FA,netoza01
Chase Silseth,24,3,Amateur Draft,0.153,,1 yr/$750k (24),$750k,Pre-Arb,Arb,Arb,Arb,Arb,FA,silsech01
Sam Bachman,24,1st,Amateur Draft,0.129,,1 yr/$750k (24),$750k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,bachmsa01
Michael Stefanic,28,3,Free Agency,0.093,,1 yr/$750k (24),$750k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,stefami01
Guillo Zuñiga,25,2,Purchased,0.045,,1 yr/$750k (24),$750k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,zuniggu01
Nolan Schanuel,22,2,Amateur Draft,0.045,Wasserman,1 yr/$750k (24),$750k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,schanno01
Andrew Wantz,28,4,Amateur Draft,1.148,NPG Sports,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,wantzan01
José Marte,28,4,Free Agency,1.109,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,martejo01
Davis Daniel,27,2,Amateur Draft,0.168,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,Arb,FA,danieda01
Ben Joyce,23,2,Amateur Draft,0.127,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,joycebe01
Kenny Rosenberg,28,3,Waivers,0.071,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,rosenke01
Jordyn Adams,24,2,Amateur Draft,0.043,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,adamsjo03
