Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos Summary,Name-additional
Jordyn Adams,24,11,9,9,85,24,23,0,1,0,0.958,-1,-18,-2,-28,0,2.44,2.09,,,,,,,,RF-CF-LF,adamsjo03
Jo Adell,25,123,117,113,1035.2,241,234,3,4,0,0.983,7,8,6,7,1,2.06,1.85,,,,,,,,RF-CF-DH,adelljo01
Ehire Adrianza,34,8,6,6,60,14,2,12,0,2,1,1,20,1,20,0,2.1,1.75,,,,,,,,3B-2B,adriaeh01
Sam Aldegheri,22,3,3,0,13,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0,0.22,0,P,aldegsa01
Tyler Anderson,34,31,31,0,179.1,25,15,9,1,1,0.96,,,-1,-1,0,1.2,0.77,,,15,3,0.17,0.22,0,P,anderty01
Mike Baumann,28,10,0,0,9.1,2,2,0,0,0,1,,,-1,-21,0,1.93,0.2,,,0,1,1,0.22,0,P,baumami01
Brock Burke,27,21,1,0,20.1,3,2,1,0,0,1,,,0,0,0,1.33,0.14,,,1,0,0,0.22,0,P,burkebr01
Willie Calhoun,29,5,4,3,33,34,30,4,0,3,1,0,-7,0,0,0,9.27,0.52,,,,,,,,1B-LF-DH,calhowi01
Gustavo Campero,26,13,12,11,108.1,28,26,1,1,0,0.964,-1,-12,-2,-22,-1,2.24,2.08,,,,,,,,RF-LF,campegu01
Griffin Canning,28,32,31,0,171.2,32,12,20,0,0,1,,,5,6,0,1.68,1,,,6,3,0.33,0.22,3,P,cannigr01
Adam Cimber,33,28,0,0,24.1,4,0,4,0,1,1,,,1,8,0,1.48,0.14,,,2,2,0.5,0.22,1,P,cimbead01
José Cisnero,35,15,0,0,15.2,2,1,0,1,0,0.5,,,-1,-13,0,0.57,0.07,,,1,0,0,0.22,0,P,cisnejo01
