Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Jordyn Adams,24,11,38,-1,1,0,-2,0,-3,-0.3,1,-2,-0.2,.473,.498,0.1,-0.2,1,$740000,Amateur Draft,/987H,adamsjo03
Jo Adell,25,130,451,-5,-2,-1,6,-4,-6,-0.6,15,9,0.9,.495,.496,0.2,0.2,3,$770000,Amateur Draft,*9H/D8,adelljo01
Ehire Adrianza#,34,8,28,-1,0,0,1,0,0,0.0,1,1,0.1,.499,.500,0.0,0.1,0,,Free Agency,/54H,adriaeh01
Willie Calhoun*,29,68,254,-2,-2,0,0,-6,-10,-1.0,9,-1,-0.2,.485,.494,-0.2,-0.6,-1,$817204,Free Agency,D/H37,calhowi01
Gustavo Campero#,26,13,48,-1,1,0,-2,0,-2,-0.2,2,-1,-0.1,.482,.499,0.1,-0.3,1,,Waivers,9/7H,campegu01
Brandon Drury,31,97,360,-25,1,-1,-4,0,-30,-3.2,12,-18,-2.0,.467,.480,-1.6,-0.4,-14,$8500000,Free Agency,45D3/H,drurybr01
Niko Goodrum#,32,4,15,-2,0,0,-3,0,-5,-0.5,1,-4,-0.5,.378,.497,-0.2,-0.3,-1,,Waivers,/53,goodrni01
Luis Guillorme*,29,50,117,-3,0,0,0,1,-3,-0.3,4,1,0.1,.495,.498,0.1,0.1,1,,Traded,45/H61D,guilllu01
Aaron Hicks#,34,18,63,-6,1,0,-2,-1,-8,-0.9,2,-6,-0.7,.452,.495,-0.5,-0.3,-4,,Free Agency,/9DH871,hicksaa01
Keston Hiura,27,10,27,-4,-1,0,-1,0,-6,-0.7,1,-5,-0.6,.433,.496,-0.5,-0.1,-4,,Free Agency,/4DH,hiurake01
Niko Kavadas*,25,30,106,-3,0,0,0,-2,-5,-0.6,4,-2,-0.2,.481,.496,-0.2,-0.2,-2,,Traded,D/3H,kavadni01
Charles Leblanc,28,11,28,1,0,0,-1,0,1,0.1,1,2,0.1,.505,.500,0.3,-0.1,2,,Free Agency,/543D,leblach01
Jack López,31,27,71,-1,-1,0,-1,1,-2,-0.2,2,0,0.0,.491,.499,0.1,0.0,1,,Free Agency,4/6H9,lopezja03
Mickey Moniak*,26,124,418,-10,-2,1,-4,2,-14,-1.5,14,0,-0.1,.488,.491,0.4,-0.2,4,$770000,Traded,*89H/D7,moniami01
Zach Neto,23,155,602,8,2,0,11,9,30,3.2,21,50,5.1,.520,.519,4.0,2.1,39,$750000,Amateur Draft,*6/H,netoza01
Logan O'Hoppe,24,136,522,1,-2,0,1,9,9,1.0,18,27,2.7,.507,.506,2.6,1.0,26,$760000,Traded,*2/HD,ohopplo01
Kyren Paris,22,21,59,-4,-1,0,0,1,-5,-0.5,2,-3,-0.3,.476,.497,-0.3,0.1,-3,$740000,Amateur Draft,4/H6D,parisky01
Kevin Pillar,35,83,282,-4,2,-1,-2,-1,-6,-0.6,10,4,0.3,.492,.496,0.5,-0.3,6,,Free Agency,8H79/D,pillake01
José Quijada*,28,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$840000,Waivers,1,quijajo01
Anthony Rendon,34,57,238,-7,2,0,2,1,-2,-0.2,8,6,0.6,.496,.499,0.4,0.3,4,$38571428,Free Agency,5/D,rendoan01
Luis Rengifo#,27,78,304,5,4,1,-4,2,8,0.9,10,19,1.9,.511,.505,2.3,-0.2,23,$4400000,Traded,54/HD96,rengilu01
Miguel Sanó,31,28,95,-3,0,0,1,-1,-4,-0.4,3,-1,-0.1,.485,.497,-0.2,0.0,-2,$875000,Free Agency,5/D3H1,sanomi01
Nolan Schanuel*,22,147,607,2,-1,-2,1,-7,-7,-0.7,21,14,1.3,.495,.495,1.2,-0.6,13,$750000,Amateur Draft,*3/HD,schanno01
Michael Stefanic,28,40,124,-6,0,0,-1,1,-6,-0.6,4,-1,-0.2,.485,.496,-0.1,0.0,0,$750000,Free Agency,4/HD51,stefami01
Bryce Teodosio,25,5,12,-2,0,0,-1,0,-3,-0.3,0,-2,-0.2,.447,.498,-0.1,-0.1,-1,,Free Agency,/8DH,teodobr01
Matt Thaiss*,29,57,186,-3,0,0,0,3,-1,0.0,6,6,0.6,.499,.500,0.6,0.3,6,$770000,Amateur Draft,2/DH,thaisma01
Mike Trout,32,29,126,5,1,1,-1,0,6,0.7,4,10,1.1,.522,.504,1.2,-0.1,11,$37116667,Amateur Draft,8/D,troutmi01
Cole Tucker#,27,24,57,-3,0,0,-3,-1,-7,-0.7,2,-5,-0.5,.471,.496,-0.2,-0.4,-2,,Free Agency,/5D7H1,tuckeco01
Eric Wagaman,26,18,74,-1,0,0,3,0,2,0.2,3,4,0.4,.511,.501,0.1,0.4,1,,Rule 5 Draft,5/7H,wagamer01
Taylor Ward,30,156,663,8,-1,-1,0,-6,1,0.1,23,24,2.3,.501,.501,2.3,-0.6,24,$4800000,Amateur Draft,*7D,wardta01
Guillo Zuñiga,25,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$750000,Purchased,1,zuniggu01
Team Total,27.3,1637,5975,-69,2,-6,-6,2,-76,-7.9,204,128,11.7,.495,.499,12.2,-0.3,134,$103470299,,,-9999
