Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,Name-additional
Jose Altuve,34,14,Amateur Free Agent,12.072,Boras Corporation,7 yrs/$163.5M (18-24)5 yrs/$125M (25-29),$29M,$33M,$33M,$33M,$13M,$13M,altuvjo01
Yordan Alvarez,27,6,Traded,4.113,MVP Sports Group,6 yrs/$115M (23-28),$10.83M,$15.83M,$26.83M,$26.83M,$26.83M,FA,alvaryo01
Alex Bregman,30,9,Amateur Draft,7.070,Boras Corporation,5 yrs/$100M (20-24),$30.5M,FA,,,,,bregmal01
Josh Hader,30,8,Free Agency,6.115,CAA Sports,5 yrs/$95M (24-28),$19M,$19M,$19M,$19M,$19M,FA,haderjo01
Justin Verlander,41,19,Traded,18.002,ISE Baseball,2 yrs/$86.67M (23-24) & 25 vesting option,$43.3M,$0 [FA-*],FA,,,,verlaju01
Lance McCullers Jr.,30,7,Amateur Draft,8.140,Boras Corporation,5 yrs/$85M (22-26),$17.7M,$17.7M,$17.7M,FA,,,mcculla02
Rafael Montero,33,10,Free Agency,7.138,GSE Worldwide,3 yrs/$34.5M (23-25),$11.5M,$11.5M,FA,,,,montera01
Cristian Javier,27,5,Amateur Free Agent,4.000,MVP Sports Group,5 yrs/$64M (23-27),$7.4M,$10.4M,$21.4M,$21.4M,FA,,javiecr01
Yusei Kikuchi,33,6,Traded,5.000,Boras Corporation,3 yrs/$36M (22-24),$10M,FA,,,,,kikucyu01
Ryan Pressly,35,12,Traded,10.039,Ballengee Group,2 yrs/$30M (23-24) & 25 mutual option,$14M,$2M [FA-*],FA,,,,pressry01
Kendall Graveman,33,9,Traded,8.078,Sports One Athlet...,3 yrs/$24M (22-24),$8M,FA,,,,,graveke01
Omar Narváez,32,9,,7.089,ISE Baseball,2 yrs/$15M (23-24),$7M,FA,,,,,narvaom01
Framber Valdez,30,7,Amateur Free Agent,4.163,Octagon,1 yr/$12.1M (24),$12.1M,Arb,FA,,,,valdefr01
Victor Caratini,30,8,Free Agency,6.051,MDR Sports Manage...,2 yrs/$12M (24-25),$6M,$6M,FA,,,,caratvi01
Kyle Tucker,27,7,Amateur Draft,4.079,Excel Sports Mana...,1 yr/$12M (24),$12M,Arb,FA,,,,tuckeky01
Jason Heyward,34,15,Free Agency,14.000,Excel Sports Mana...,1 yr/$9M (24),$9M,FA,,,,,heywaja01
Héctor Neris,35,11,Free Agency,8.068,Octagon,1 yr/$9M (24) & 25 team option,$9M,$0 [FA-*],FA,,,,nerishe01
José Urquidy,29,5,Amateur Free Agent,4.049,Full Circle Sport...,1 yr/$3.75M (24),$3.75M,Arb,FA,,,,urquijo01
Mauricio Dubón,29,6,Traded,3.162,ALIGND Sports Age...,1 yr/$3.5M (24),$3.5M,Arb,Arb,FA,,,dubonma01
Chas McCormick,29,4,Amateur Draft,3.000,,1 yr/$2.85M (24),$2.85M,Arb,Arb,FA,,,mccorch01
