Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Bryan Abreu,27,78,0,0,78.1,8,5,3,0,0,1,,,-2,-5,0,0.92,0.1,,,13,3,0.19,0.22,2,P,abreubr01
José Abreu,37,35,31,28,275.1,276,254,19,3,24,0.989,-3,-13,-2,-9,-1,8.92,7.8,,,,,,,,1B,abreujo02
Jose Altuve,34,147,146,130,1262,475,158,312,5,85,0.989,3,3,-13,-12,2,3.35,3.09,,,,,,,,2B-DH,altuvjo01
Yordan Alvarez,27,53,53,23,421,75,71,3,1,0,0.987,-2,-5,-5,-14,0,1.58,0.5,,,,,,,,LF-DH,alvaryo01
Jacob Amaya,25,1,0,0,2,4,2,2,0,1,1,0,132,0,0,0,18,4,,,,,,,,2B,amayaja01
Spencer Arrighetti,24,29,28,0,145,13,5,8,0,0,1,,,-2,-3,0,0.81,0.45,,,16,5,0.24,0.22,1,P,arrigsp01
Brandon Bielak,28,10,0,0,17.1,2,0,2,0,0,1,,,0,0,0,1.04,0.2,,,0,0,,,0,P,bielabr01
Ronel Blanco,30,30,29,1,167.1,32,19,10,3,1,0.906,,,1,1,0,1.56,0.97,,,7,3,0.3,0.22,1,P,blancro01
Jake Bloss,23,3,3,0,11.2,2,2,0,0,0,1,,,-2,-34,0,1.54,0.67,,,5,0,0,0.22,0,P,blossja01
Alex Bregman,30,142,142,132,1234.2,355,103,242,10,23,0.972,12,12,6,6,2,2.51,2.38,,,,,,,,3B-DH,bregmal01
Hunter Brown,25,31,30,0,170,32,19,12,1,0,0.969,,,-4,-5,0,1.64,1,,,20,9,0.31,0.22,0,P,brownhu01
Trey Cabbage,27,39,21,16,208.1,32,31,1,0,0,1,-2,-13,2,12,2,1.38,0.76,,,,,,,,RF-LF-DH,cabbatr01
Victor Caratini,30,69,63,59,556,587,557,27,3,10,0.995,0,0,3,6,1,9.45,8.11,0,17,50,12,0.19,0.22,0,C-1B-DH,caratvi01
Dylan Coleman,27,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,colemdy01
Luis Contreras,28,5,0,0,6,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,contrlu01
Zach Dezenzo,24,15,12,10,109,86,82,3,1,9,0.988,-3,-30,-2,-22,0,7.02,4.25,,,,,,,,1B-3B-DH,dezenza01
Aledmys Díaz,33,2,1,1,9,8,6,2,0,2,1,0,25,0,0,0,8,4,,,,,,,,1B-2B,diazal02
Miguel Díaz,29,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,diazmi02
Yainer Diaz,25,112,110,106,982,1037,991,41,5,13,0.995,0,0,-7,-9,1,9.46,6.88,1,29,81,24,0.23,0.22,0,C-1B-DH,diazya02
Shawn Dubin,28,31,2,0,45.1,6,5,1,0,0,1,,,0,0,0,1.19,0.19,,,2,0,0,0.22,0,P,dubinsh01
Mauricio Dubón,29,133,107,72,984.1,363,270,85,8,19,0.978,12,15,6,7,-3,3.25,2.23,,,,,,,,LF-CF-2B-1B-RF-3B-SS,dubonma01
Caleb Ferguson,27,20,0,0,21,4,2,2,0,0,1,,,0,0,0,1.71,0.2,,,0,0,,,0,P,ferguca01
J.P. France,29,5,5,0,25.1,1,1,0,0,0,1,,,0,0,0,0.36,0.2,,,1,1,0.5,0.22,0,P,francjp01
Ben Gamel,32,20,18,9,155,32,32,0,0,0,1,2,14,-1,-8,0,1.86,1.23,,,,,,,,RF-LF,gamelbe01
Josh Hader,30,71,0,0,71,9,3,6,0,0,1,,,2,6,0,1.14,0.13,,,5,1,0.17,0.22,1,P,haderjo01
Blair Henley,27,1,1,0,0.1,0,0,0,0,0,,,,0,0,0,0,0,,,0,0,,,0,P,henlebl01
Nick Hernandez,29,5,0,0,8,1,1,0,0,0,1,,,0,0,0,1.13,0.2,,,1,1,0.5,0.22,0,P,hernani01
Jason Heyward,34,24,14,11,145,34,32,1,1,0,0.971,2,18,2,17,0,2.05,1.27,,,,,,,,RF-LF-CF,heywaja01
Cooper Hummel,29,4,1,0,10,3,3,0,0,0,1,1,60,0,0,0,2.7,0.6,,,,,,,,LF-DH,hummeco01
Cristian Javier,27,7,7,0,34.2,3,1,2,0,0,1,,,0,0,0,0.78,0.43,,,5,1,0.17,0.22,1,P,javiecr01
Grae Kessinger,26,18,4,3,59,30,17,12,1,4,0.967,0,6,0,0,0,4.42,1.38,,,0,0,,,0,3B-2B-SS-1B-P-DH,kessigr01
Yusei Kikuchi,33,10,10,0,60,4,2,2,0,0,1,,,-1,-3,0,0.6,0.4,,,6,1,0.14,0.22,0,P,kikucyu01
Bryan King,27,28,0,0,26.1,5,3,2,0,0,1,,,0,0,0,1.71,0.18,,,0,0,,,0,P,kingbr02
Joel Kuhnel,29,1,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0,0.22,0,P,kuhnejo01
Pedro León,26,6,6,6,54.2,7,7,0,0,0,1,-2,-44,0,0,0,1.15,1.17,,,,,,,,RF,leonpe01
Joey Loperfido,25,35,31,18,275.1,64,63,1,0,0,1,6,25,2,9,0,2.09,1.45,,,,,,,,LF-RF-CF-1B-DH,loperjo01
Seth Martinez,29,44,0,0,52.2,10,5,5,0,0,1,,,1,4,0,1.71,0.23,,,4,1,0.2,0.22,0,P,martise01
Chas McCormick,29,93,72,46,646,162,160,1,1,0,0.994,4,7,-2,-4,-1,2.24,1.49,,,,,,,,LF-RF-CF,mccorch01
Jake Meyers,28,145,126,120,1145,352,349,2,1,0,0.997,15,15,6,6,-1,2.76,2.4,,,,,,,,CF-LF-DH,meyerja02
Rafael Montero,33,41,0,0,38.1,5,1,3,1,0,0.8,,,-2,-10,0,0.94,0.1,,,8,2,0.2,0.22,0,P,montera01
Parker Mushinski,28,10,0,0,11,2,1,0,1,0,0.5,,,-2,-36,0,0.82,0.1,,,2,0,0,0.22,0,P,mushipa01
