Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,NYY,L4-5,40,38,4,13,1,0,1,4,2,0,7,0,0,0,0,1,0,0,.342,.375,.447,.822,9,11,L,N.Cortés(44)
2,2,Mar 29,,NYY,L1-7,39,33,1,7,1,0,0,1,6,0,6,0,0,0,0,0,3,0,.282,.354,.352,.707,11,9,L,C.Rodón(50)
3,3,Mar 30,,NYY,L3-5,35,31,3,4,2,0,0,2,2,0,6,2,0,0,1,1,0,0,.235,.316,.304,.620,5,9,R,M.Stroman(60)
4,4,Mar 31,,NYY,L3-4,39,37,3,12,2,0,1,3,2,0,8,0,0,0,0,1,0,1,.259,.327,.345,.672,9,12,R,C.Schmidt(47)
5,5,Apr 1,,TOR,W10-0,38,35,10,12,2,0,5,10,3,0,8,0,0,0,0,1,0,0,.276,.340,.443,.783,4,11,R,B.Francis(26)
6,6,Apr 2,,TOR,L1-2,34,29,1,8,2,0,1,1,4,0,4,0,0,0,0,2,0,2,.276,.344,.443,.787,6,10,R,J.Berríos(55)
7,7,Apr 3,,TOR,W8-0,42,38,8,15,2,0,4,8,4,0,7,0,0,0,0,1,0,0,.295,.361,.494,.855,10,11,R,C.Bassitt(29)
8,8,Apr 5,@,TEX,L2-10,32,31,2,3,0,0,1,2,1,0,5,0,0,0,1,0,0,0,.272,.336,.460,.795,3,12,L,C.Bradford(75)
9,9,Apr 6,@,TEX,L2-7,39,35,2,8,2,0,0,0,4,0,7,0,0,0,1,0,0,0,.267,.332,.440,.772,10,10,R,J.Gray(47)
10,10,Apr 7,@,TEX,W3-1,35,31,3,4,0,0,1,3,4,0,10,0,0,0,0,0,1,0,.254,.323,.420,.743,5,10,R,D.Dunning(58)
11,11,Apr 8,@,TEX,W10-5,41,37,10,11,2,0,2,10,3,0,8,1,0,0,0,1,0,0,.259,.327,.429,.756,4,10,L,A.Heaney(28)
12,12,Apr 9,@,KCR,L3-4,45,44,3,13,2,0,0,3,1,0,10,0,0,0,0,0,1,0,.263,.325,.420,.745,13,12,L,C.Ragans(39)
13,13,Apr 10,@,KCR,L2-11,39,35,2,9,4,0,0,2,3,0,4,0,0,1,0,1,0,0,.262,.324,.416,.740,10,12,R,S.Lugo(50)
14,14,Apr 11,@,KCR,L3-13,43,38,3,11,3,0,1,3,5,0,6,0,0,0,1,1,0,0,.264,.328,.419,.746,13,10,R,B.Singer(55)
15,15,Apr 12,,TEX,L8-12,43,37,8,11,2,0,2,8,4,0,8,2,0,0,0,1,0,0,.267,.333,.425,.758,8,9,R,D.Dunning(46)
16,16,Apr 13,,TEX,W9-2,46,37,9,14,5,0,0,9,7,2,2,1,0,1,0,0,0,0,.274,.343,.431,.774,13,11,L,A.Heaney(42)
17,17,Apr 14,,TEX,W8-5,38,33,8,10,4,0,2,8,5,0,4,0,0,0,0,0,1,0,.275,.346,.441,.787,6,10,R,N.Eovaldi(37)
18,18,Apr 15,,ATL,L1-6,36,32,1,7,0,0,0,1,4,0,7,0,0,0,0,1,2,1,.273,.344,.429,.774,8,9,R,D.Vines(53)
