Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
José Abreu,37,35,120,-14,-1,-1,-2,-2,-19,-2.1,4,-15,-1.7,.441,.487,-1.5,-0.4,-13,$19500000,Free Agency,3/H,abreujo02
Jose Altuve,34,153,682,20,2,-1,-13,5,12,1.3,22,34,3.4,.508,.508,4.8,-0.9,47,$29000000,Amateur Free Agent,*4/DH,altuvjo01
Yordan Alvarez*,27,147,635,48,-1,-1,-5,-10,32,3.3,21,53,5.4,.522,.520,5.9,-1.6,58,$10833333,Traded,D7,alvaryo01
Jacob Amaya,25,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.473,.500,0.0,0.0,0,$740000,Traded,/4,amayaja01
Alex Bregman,30,145,634,12,-2,0,6,4,20,2.1,21,41,4.1,.514,.513,3.5,1.0,35,$30500000,Amateur Draft,*5/D,bregmal01
Trey Cabbage*,27,45,91,-4,0,0,2,-2,-4,-0.4,3,-1,-0.1,.491,.498,-0.3,0.0,-3,$740000,Traded,9H7/D,cabbatr01
Victor Caratini#,30,87,274,4,-4,-1,1,3,4,0.4,9,13,1.3,.505,.503,1.2,0.5,12,$6000000,Free Agency,2H3/D,caratvi01
Zach Dezenzo,24,19,65,0,0,0,-2,-1,-4,-0.4,2,-1,-0.2,.480,.498,0.0,-0.3,1,,Amateur Draft,3/5DH,dezenza01
Aledmys Díaz,33,2,4,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.442,.499,-0.1,0.0,-1,,Free Agency,/34H,diazal02
Yainer Diaz,25,148,619,14,-4,-1,-2,4,11,1.2,21,32,3.2,.508,.507,3.5,0.2,34,$768900,Traded,2D3/H,diazya02
Mauricio Dubón,29,137,428,-7,0,0,6,-2,-3,-0.3,15,11,1.1,.498,.498,0.4,0.4,5,$3500000,Traded,7483H95/6,dubonma01
Ben Gamel*,32,20,69,1,0,0,-2,-1,-1,-0.1,2,1,0.1,.493,.499,0.3,-0.3,3,,Waivers,9/7H,gamelbe01
Josh Hader*,30,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$19000000,Free Agency,1,haderjo01
Jason Heyward*,34,24,61,0,0,0,2,-1,1,0.1,2,3,0.3,.506,.501,0.1,0.1,1,,Free Agency,9/7H8,heywaja01
Cooper Hummel#,29,6,8,-1,0,0,0,0,-2,-0.2,0,-1,-0.1,.473,.499,-0.1,0.0,-1,$740000,Waivers,/H7D,hummeco01
Grae Kessinger,26,22,25,-4,0,0,0,0,-4,-0.4,1,-3,-0.4,.480,.497,-0.4,0.0,-3,$742100,Amateur Draft,/H54D631,kessigr01
Bryan King,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Waivers,1,kingbr02
Pedro León,26,7,21,-3,0,0,0,0,-4,-0.4,1,-3,-0.3,.445,.498,-0.3,0.0,-3,,Free Agency,/9H,leonpe01
Joey Loperfido*,25,38,118,-2,0,0,2,-1,-1,-0.1,4,3,0.3,.498,.499,0.1,0.1,1,$740000,Amateur Draft,79/H83D,loperjo01
Chas McCormick,29,94,267,-9,-1,1,-2,-3,-14,-1.5,9,-5,-0.6,.484,.491,-0.4,-0.6,-3,$2850000,Amateur Draft,798/H,mccorch01
Jake Meyers,28,148,513,-10,1,-2,6,4,-1,0.0,18,17,1.7,.500,.500,1.0,1.0,11,$767300,Amateur Draft,*8H/D7,meyerja02
Jeremy Peña,26,157,650,-1,3,2,4,9,18,2.0,22,40,4.1,.512,.512,3.7,1.4,36,$783500,Amateur Draft,*6,penaje02
Ryan Pressly,35,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$14000000,Traded,1,pressry01
César Salazar*,28,12,32,1,0,0,-1,1,1,0.1,1,2,0.2,.504,.500,0.3,-0.1,3,$740000,Amateur Draft,2/DH,salazce01
Jon Singleton*,32,119,405,2,-1,2,-8,-6,-10,-1.1,14,4,0.3,.491,.493,1.1,-1.5,11,$850000,Free Agency,3HD,singljo02
Kyle Tucker*,27,78,339,30,1,0,7,-3,35,3.6,11,46,4.7,.546,.522,4.0,0.4,39,$12000000,Amateur Draft,9/DH,tuckeky01
Shay Whitcomb,25,20,46,-1,0,0,-4,0,-5,-0.6,2,-4,-0.4,.472,.497,0.0,-0.4,0,,Amateur Draft,5/H4,whitcsh01
Team Total,28.8,1670,6107,75,-5,-3,-5,-1,61,6.4,206,267,26.3,.504,.505,26.7,-0.7,271,$154795133,,,-9999
