Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Bryan Abreu,27,78.1,78,0,27,3.10,4.38,0.06,-0.29,0.14,97.8,4.07,8,0.9,1.47,0.0,1.7,16,.511,.505,$1750000,Amateur Free Agent,abreubr01
Spencer Arrighetti,24,145.0,29,28,80,4.97,4.46,0.07,0.19,0.00,97.2,4.45,-9,-0.9,.48,-0.1,0.3,5,.468,.494,$740000,Amateur Draft,arrigsp01
Brandon Bielak,28,17.1,10,0,11,5.71,4.62,0.10,-0.31,0.00,99.8,4.19,-3,-0.3,.13,0.1,0.0,-1,.469,.498,,Amateur Draft,bielabr01
Ronel Blanco,30,167.1,30,29,56,3.01,4.49,0.07,0.20,0.00,97.4,4.49,27,3.0,.15,-0.1,4.5,43,.601,.519,$749800,Hs,blancro01
Jake Bloss,23,11.2,3,3,9,6.94,4.47,0.09,0.20,0.00,96.0,4.40,-3,-0.3,,0.0,-0.2,-2,.393,.498,,Amateur Draft,blossja01
Hunter Brown,25,170.0,31,30,71,3.76,4.35,0.08,0.20,0.00,97.5,4.36,10,1.1,.07,-0.1,2.6,27,.537,.507,$774500,Amateur Draft,brownhu01
Dylan Coleman,27,1.0,1,0,0,0.00,4.23,0.05,-0.29,0.00,96.0,3.74,0,0.0,.02,0.0,0.0,1,.545,.500,$740000,Traded,colemdy01
Luis Contreras,28,6.0,5,0,6,9.00,4.77,0.08,-0.32,0.93,100.4,5.32,-2,-0.3,.27,0.1,-0.1,-2,.450,.498,,Free Agency,contrlu01
Miguel Díaz,29,1.0,1,0,0,0.00,4.60,0.09,-0.31,0.00,96.0,4.03,0,0.0,.00,0.0,0.0,1,.549,.500,,Waivers,diazmi02
Shawn Dubin,28,45.1,31,2,25,4.96,4.68,0.08,-0.24,0.12,95.9,4.29,-4,-0.4,.93,-0.1,0.0,1,.488,.498,$741600,Amateur Draft,dubinsh01
Caleb Ferguson*,27,21.0,20,0,10,4.29,4.48,0.07,-0.30,0.26,99.4,4.35,0,0.0,.68,0.0,0.2,2,.500,.500,,Traded,ferguca01
J.P. France,29,25.1,5,5,21,7.46,4.71,0.09,0.21,0.00,95.2,4.60,-8,-0.7,,0.0,-0.5,-6,.350,.495,$767600,Amateur Draft,francjp01
Josh Hader*,30,71.0,71,0,33,4.18,4.42,0.06,-0.30,0.39,96.9,4.32,1,0.1,1.56,-0.1,0.6,8,.501,.500,$19000000,Free Agency,haderjo01
Blair Henley,27,0.1,1,1,5,135.00,4.59,0.43,0.22,0.00,96.0,4.21,-5,-0.3,,0.0,-0.3,-5,.173,.498,$740000,Amateur Draft,henlebl01
Nick Hernandez,29,8.0,5,0,7,7.88,4.90,0.08,-0.33,0.00,96.0,4.31,-3,-0.3,.07,0.1,-0.1,-2,.436,.498,$740000,Purchased,hernani01
Cristian Javier,27,34.2,7,7,16,4.15,4.35,0.08,0.18,0.00,98.9,4.39,1,0.1,,0.0,0.4,4,.511,.500,$7400000,Amateur Free Agent,javiecr01
Grae Kessinger,26,1.0,1,0,0,0.00,4.28,0.09,-0.29,0.00,110.0,4.29,0,0.1,.00,0.0,0.0,1,.552,.500,$742100,Amateur Draft,kessigr01
Yusei Kikuchi*,33,60.0,10,10,22,3.30,4.44,0.07,0.20,0.00,96.6,4.41,7,0.8,,0.0,1.3,13,.580,.505,,Traded,kikucyu01
Bryan King*,27,26.1,28,0,7,2.39,4.50,0.07,-0.30,0.00,97.3,4.02,5,0.5,.64,-0.1,0.6,7,.518,.503,,Waivers,kingbr02
Joel Kuhnel,29,2.0,1,0,4,18.00,4.60,0.13,-0.31,0.00,96.0,4.00,-3,-0.2,.18,0.1,-0.1,-3,.252,.498,,Free Agency,kuhnejo01
Seth Martinez,29,52.2,44,0,24,4.10,4.56,0.09,-0.31,0.21,96.4,4.22,0,0.0,.74,-0.1,0.4,5,.501,.500,$753600,Rule 5 Draft,martise01
Rafael Montero,33,38.1,41,0,21,4.93,4.51,0.09,-0.30,0.14,96.9,4.13,-4,-0.4,1.01,-0.1,-0.1,0,.491,.498,$11500000,Free Agency,montera01
Parker Mushinski*,28,11.0,10,0,10,8.18,4.34,0.10,-0.29,0.00,99.4,3.93,-5,-0.5,.53,0.1,-0.3,-4,.447,.497,$747400,Amateur Draft,mushipa01
Héctor Neris,35,15.1,16,0,11,6.46,4.52,0.08,-0.30,0.73,97.8,4.76,-3,-0.3,1.36,-0.1,-0.3,-1,.481,.498,,Free Agency,nerishe01
Kaleb Ort,32,24.2,22,0,7,2.55,4.17,0.07,-0.28,0.00,99.5,3.80,3,0.4,.81,-0.1,0.5,6,.516,.502,$740000,Waivers,ortka01
Ryan Pressly,35,56.2,59,0,25,3.97,4.40,0.08,-0.30,0.00,97.4,3.92,-1,-0.1,1.44,-0.1,0.4,5,.499,.500,$14000000,Traded,pressry01
Tayler Scott,32,68.2,62,1,21,2.75,4.48,0.07,-0.28,0.24,97.1,4.25,11,1.2,.93,-0.2,1.7,18,.519,.507,$790000,Free Agency,scottta02
Alex Speas,26,2.0,1,0,1,4.50,4.31,0.07,-0.29,0.00,96.0,3.79,0,0.0,.11,0.0,0.0,0,.483,.500,$740000,Waivers,speasal01
Wander Suero,32,0.0,1,0,1,,,,,,110.0,,0,0.0,2.56,0.0,0.0,0,.500,.500,,Free Agency,suerowa01
Framber Valdez*,30,176.1,28,28,60,3.06,4.50,0.07,0.20,0.00,96.1,4.45,26,3.0,,-0.1,4.5,43,.607,.518,$12100000,Amateur Free Agent,valdefr01
Justin Verlander,41,90.1,17,17,56,5.58,4.46,0.09,0.20,0.00,98.5,4.50,-11,-1.1,,-0.1,-0.3,-3,.434,.493,$43333333,Traded,verlaju01
Forrest Whitley,26,3.1,3,0,2,5.40,4.00,0.09,-0.27,0.00,108.0,3.93,-1,-0.1,.12,0.0,0.0,0,.481,.500,$740000,Amateur Draft,whitlfo01
Team Total,29.5,1432.0,672,161,649,4.08,4.46,0.08,0.01,0.07,97.3,4.35,36,4.9,1.08,-1.2,17.3,174,.507,.503,$120329933,,-9999
