Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,Name-additional
Ross Stripling,34,9,Traded,7.115,Beverly Hills Spo...,2 yrs/$25M (23-24),$15M,FA,,stripro01
Alex Wood,33,12,Free Agency,10.123,ACES,1 yr/$8.5M (24),$8.5M,FA,,woodal02
Seth Brown,31,6,Amateur Draft,3.104,Ball Players Agen...,1 yr/$2.6M (24),$2.6M,Arb,Arb,brownse01
Scott Alexander,34,10,Free Agency,6.080,Apex Baseball,1 yr/$2.25M (24),$2.25M,FA,,alexasc02
Miguel Andujar,29,8,Waivers,4.053,The MAS+ Agency,1 yr/$1.7M (24),$1.7M,Arb,FA,andujmi01
Trevor Gott,31,8,,5.057,Sports One Athlet...,1 yr/$1.5M (24),$1.5M,FA,,gotttr01
Abraham Toro,27,6,Traded,3.011,Republik Sports,1 yr/$1.28M (24),$1.27M,Arb,Arb,toroab01
T.J. McFarland,35,12,Purchased,8.050,Octagon,1 yr/$850k (24),$850k,FA,,mcfartj01
Austin Adams,33,8,Purchased,4.150,Full Circle Sport...,1 yr/$800k (24),$800k,Arb,FA,adamsau02
Brent Rooker,29,5,Waivers,2.059,The Bledsoe Agenc...,1 yr/$750k (24),$750k,Arb,Arb,rookebr01
Dany Jiménez,30,4,Free Agency,2.031,PNY Sports,1 yr/$750k (24),$750k,Arb,Arb,jimenda01
Michael Kelly,31,3,Hd,0.112,,1 yr/$750k (24),$750k,Pre-Arb,Pre-Arb,kellymi03
Osvaldo Bido,28,2,Free Agency,0.079,,1 yr/$750k (24),$750k,Pre-Arb,Pre-Arb,bidoos01
Nick Allen,25,3,Amateur Draft,1.094,,1 yr/$745k (24),$745k,Pre-Arb,Arb,allenni02
JP Sears,28,3,Traded,1.081,,1 yr/$745k (24),$745k,Pre-Arb,Arb,searsjp01
JJ Bleday,26,3,Traded,1.055,,1 yr/$745k (24),$745k,Pre-Arb,Arb,bledajj01
Shea Langeliers,26,3,Traded,1.051,,1 yr/$745k (24),$745k,Pre-Arb,Arb,langesh01
Ken Waldichuk,26,2,Traded,1.035,,1 yr/$745k (24),$745k,Pre-Arb,Arb,waldike01
Esteury Ruiz,25,3,Traded,1.029,,1 yr/$745k (24),$745k,Pre-Arb,Arb,ruizes01
Ryan Noda,28,2,Waivers,1.000,,1 yr/$745k (24),$745k,Pre-Arb,Arb,nodary01
Mason Miller,25,2,Amateur Draft,0.166,,1 yr/$740k (24),$740k,Pre-Arb,Arb,millema03
Kyle Muller,26,4,Traded,0.149,ISE Baseball,1 yr/$740k (24),$740k,Pre-Arb,Arb,mulleky01
Luis Medina,25,2,Traded,0.146,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,medinlu02
Zack Gelof,24,2,Amateur Draft,0.080,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,gelofza01
Tyler Soderstrom,22,2,Amateur Draft,0.080,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,soderty01
Hogan Harris,27,2,Amateur Draft,0.070,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,harriho03
Janson Junk,28,4,Waivers,0.052,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,junkja01
Lawrence Butler,23,2,Amateur Draft,0.052,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,butlela01
Tristan Gray,28,2,Waivers,0.016,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,graytr01
Joe Boyle,24,2,Traded,0.015,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,boylejo01
Joey Estes,22,2,Traded,0.012,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,estesjo01
Austin Pruitt,34,7,Free Agency,5.034,,,Arb (~$1.2M),,,pruitau01
Carlos Pérez,33,5,Free Agency,3.167,TLA Worldwide,,Arb (~$1.2M),,Arb,perezca02
Brandon Bielak,28,5,Purchased,2.110,Jack Toffey,,,,Arb,bielabr01
Zach Jackson,29,2,Rule 5 Draft,2.000,,,,,Arb,jacksza02
Tyler Nevin,27,4,Waivers,1.040,,,,,Arb,nevinty01
Seth Elledge,28,2,,0.163,ISE Baseball,,,,Arb,elledse01
Jordan Diaz,23,2,Free Agency,0.146,,,,,,diazjo03
Francisco Pérez,26,3,Free Agency,0.106,,,,,,perezfr01
,,,,,,,,,,-9999
,Michael Kelly suspended,Michael Kelly suspended,Michael Kelly suspended,Michael Kelly suspended,Michael Kelly suspended,Michael Kelly suspended,-$475.81k,,,-9999
,Jace Peterson traded to/from Arizona Diamondbacks,Jace Peterson traded to/from Arizona Diamondbacks,Jace Peterson traded to/from Arizona Diamondbacks,Jace Peterson traded to/from Arizona Diamondbacks,Jace Peterson traded to/from Arizona Diamondbacks,Jace Peterson traded to/from Arizona Diamondbacks,$3M,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*31,,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$53.4M,,,-9999
,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,,,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,,,-9999
,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-6-0,0-0-18-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),†$2.4M,$34M,$102M,-9999
,,,,,,,,,,-9999
