Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,CLE,L0-8,9.0,11,8,8,0,3,7,0,3,8.00,42,168,101,1,0,0,1,35,4,1,0,0,1,0,1,4,Marvin Hudson,A.Wood (99-24-L) K.Muller (99) T.McFarland (99) M.Kelly (99)
2,2,Mar 29,,CLE,L4-6,9.0,9,6,5,1,6,9,1,0,6.50,40,160,96,0,0,2,2,34,4,0,0,0,0,1,0,3,Hunter Wendelstedt,R.Stripling (99-39-L) M.Spence (99) A.Adams (99)
3,3,Mar 30,,CLE,L3-12,9.0,15,12,10,2,5,6,1,2,7.67,50,189,123,1,0,6,0,41,4,1,0,0,2,1,0,6,John Tumpane,J.Sears (99-28-L) D.Jiménez (99) T.McFarland (1) M.Kelly (1) L.Erceg (99) M.Miller (99)
4,4,Mar 31,,CLE,W4-3,9.0,7,3,1,2,2,5,0,1,6.00,38,127,80,1,1,0,0,35,0,1,0,0,0,1,0,4,Nick Mahrley,P.Blackburn (99-73) L.Erceg (0-H) A.Adams (1-BSv) D.Jiménez (0-W)
5,5,Apr 1,,BOS,L0-9,9.0,9,9,8,1,7,11,0,0,6.40,44,175,107,1,0,3,0,35,2,0,1,0,2,1,0,3,Alan Porter,J.Boyle (99-12-L) K.Muller (3) M.Kelly (1)
6,6,Apr 2,,BOS,L4-5,11.0,12,5,4,1,4,15,0,2,5.79,48,178,117,2,1,1,0,42,3,0,1,0,0,0,2,7,Ryan Blakney,A.Wood (4-48) A.Adams (1-H) T.McFarland (2-H) L.Erceg (1-BSv) D.Jiménez (1) M.Miller (2) M.Spence (3-L)
7,7,Apr 3,,BOS,L0-1,9.0,10,1,1,0,1,5,0,0,5.12,34,111,78,0,0,0,0,32,1,0,1,0,1,0,3,3,Nate Tomlinson,R.Stripling (4-60-L) T.McFarland (0) M.Kelly (1)
8,8,Apr 5,@,DET,L4-5,8.0,8,5,5,0,4,4,2,1,5.18,35,128,89,3,0,0,0,30,4,0,1,0,0,0,2,5,Tripp Gibson,J.Sears (5-41) A.Adams (2) D.Jiménez (2) T.McFarland (1) L.Erceg (2-L)
9,9,Apr 6,@,DET,W4-0,9.0,5,0,0,0,1,9,0,0,4.61,34,136,89,0,0,1,0,33,2,0,0,0,0,1,0,3,Charlie Ramos,P.Blackburn (5-70-W) A.Adams (0-H) M.Miller (3)
10,10,Apr 7,@,DET,W7-1,9.0,7,1,1,0,3,7,1,1,4.25,37,152,85,0,0,0,0,33,1,0,0,0,0,0,1,4,Chad Fairchild,J.Boyle (5-66-W) K.Muller (5) L.Erceg (1) M.Kelly (3)
