Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,JP Sears*,28,11,13,.458,4.38,32,32,0,0,0,0,180.2,172,93,88,28,49,0,137,14,1,0,758,90,4.71,1.223,8.6,1.4,2.4,6.8,2.80,searsjp01
2,SP,Mitch Spence,26,8,10,.444,4.58,35,24,2,0,0,0,151.1,165,79,77,20,44,0,126,6,1,8,651,86,4.21,1.381,9.8,1.2,2.6,7.5,2.86,spencmi01
3,SP,Joey Estes,22,7,9,.438,5.01,25,24,0,1,1,0,127.2,130,73,71,23,27,1,92,10,0,3,543,79,4.94,1.230,9.2,1.6,1.9,6.5,3.41,estesjo01
4,SP,Ross Stripling,34,2,11,.154,6.01,22,14,3,0,0,0,85.1,109,65,57,7,22,2,49,1,1,2,381,66,3.89,1.535,11.5,0.7,2.3,5.2,2.23,stripro01
5,CL,Mason Miller,25,2,2,.500,2.49,55,0,44,0,0,28,65.0,36,23,18,6,21,3,104,1,0,2,249,159,2.18,0.877,5.0,0.8,2.9,14.4,4.95,millema03
6,RP,T.J. McFarland*,35,2,4,.333,3.81,79,0,12,0,0,0,56.2,53,28,24,4,17,5,39,4,0,0,235,104,3.82,1.235,8.4,0.6,2.7,6.2,2.29,mcfartj01
7,RP,Tyler Ferguson,30,4,2,.667,3.68,48,0,15,0,0,2,51.1,32,23,21,4,24,2,62,2,1,1,207,108,3.28,1.091,5.6,0.7,4.2,10.9,2.58,ferguty01
8,RP,Austin Adams,33,1,2,.333,3.92,56,0,6,0,0,0,41.1,38,20,18,4,23,2,53,13,0,6,191,101,4.47,1.476,8.3,0.9,5.0,11.5,2.30,adamsau02
9,RP,Scott Alexander*,34,1,3,.250,2.56,45,0,9,0,0,0,38.2,31,14,11,3,15,7,31,2,0,2,160,155,3.89,1.190,7.2,0.7,3.5,7.2,2.07,alexasc02
10,,Hogan Harris*,27,4,4,.500,2.86,21,9,4,0,0,0,72.1,65,29,23,7,33,0,61,3,1,3,305,138,4.23,1.355,8.1,0.9,4.1,7.6,1.85,harriho03
11,,Osvaldo Bido,28,5,3,.625,3.41,16,9,3,0,0,0,63.1,43,25,24,3,26,1,63,7,0,3,259,116,3.36,1.089,6.1,0.4,3.7,9.0,2.42,bidoos01
12,,Paul Blackburn,30,4,2,.667,4.41,9,9,0,0,0,0,51.0,45,25,25,8,14,0,38,1,0,0,208,90,4.60,1.157,7.9,1.4,2.5,6.7,2.71,blackpa01
13,,Kyle Muller*,26,0,1,.000,4.01,21,0,9,0,0,0,49.1,48,25,22,6,10,3,36,1,0,1,202,99,3.96,1.176,8.8,1.1,1.8,6.6,3.60,mulleky01
14,,Joe Boyle,24,3,6,.333,6.42,13,10,0,0,0,0,47.2,42,35,34,4,40,0,56,4,1,7,226,62,4.68,1.720,7.9,0.8,7.6,10.6,1.40,boylejo01
15,,Luis Medina,25,2,4,.333,5.18,8,8,0,0,0,0,40.0,43,24,23,4,20,1,32,1,0,5,180,77,4.44,1.575,9.7,0.9,4.5,7.2,1.60,medinlu02
16,,Alex Wood*,33,1,3,.250,5.26,9,9,0,0,0,0,39.1,51,27,23,6,19,1,33,5,1,0,186,76,5.30,1.780,11.7,1.4,4.3,7.6,1.74,woodal02
17,,Lucas Erceg,29,2,3,.400,3.68,38,0,4,0,0,3,36.2,31,17,15,3,13,2,41,5,0,4,156,108,3.47,1.200,7.6,0.7,3.2,10.1,3.15,erceglu01
18,,Michel Otañez,26,1,0,1.000,3.44,36,0,6,0,0,1,34.0,27,15,13,2,20,0,55,3,0,6,151,116,2.73,1.382,7.1,0.5,5.3,14.6,2.75,otanemi01
19,,J.T. Ginn,25,1,1,.500,4.24,8,6,1,0,0,0,34.0,36,16,16,4,9,1,29,2,0,0,142,94,3.96,1.324,9.5,1.1,2.4,7.7,3.22,ginnjt01
20,,Michael Kelly,31,3,2,.600,2.59,28,0,13,0,0,0,31.1,27,11,9,2,10,1,22,3,0,1,128,154,3.84,1.181,7.8,0.6,2.9,6.3,2.20,kellymi03
21,,Aaron Brooks,34,0,2,.000,5.06,5,4,1,0,0,0,26.2,33,19,15,4,8,0,12,1,0,0,119,79,5.23,1.538,11.1,1.4,2.7,4.1,1.50,brookaa01
22,,Dany Jiménez,30,1,3,.250,4.91,25,0,9,0,0,1,25.2,21,18,14,6,19,0,25,1,0,0,117,81,6.60,1.558,7.4,2.1,6.7,8.8,1.32,jimenda01
23,,Brady Basso*,26,1,1,.500,4.03,7,4,2,0,0,0,22.1,23,10,10,3,5,0,19,0,0,1,93,99,3.88,1.254,9.3,1.2,2.0,7.7,3.80,bassobr01
24,,Grant Holman,24,1,1,.500,4.02,18,0,5,0,0,0,15.2,17,8,7,1,9,1,16,1,0,1,73,100,3.87,1.660,9.8,0.6,5.2,9.2,1.78,holmagr01
25,,Brandon Bielak,28,1,0,1.000,4.38,6,0,4,0,0,0,12.1,17,6,6,2,6,0,5,0,0,0,57,93,5.92,1.865,12.4,1.5,4.4,3.6,0.83,bielabr01
26,,Sean Newcomb*,31,1,0,1.000,6.30,7,0,3,0,0,0,10.0,9,7,7,2,8,1,7,1,0,0,45,65,7.07,1.700,8.1,1.8,7.2,6.3,0.88,newcose01
27,,Jack O'Loughlin*,24,0,0,,4.66,4,0,1,0,0,0,9.2,13,5,5,1,5,0,6,0,0,1,47,88,4.82,1.862,12.1,0.9,4.7,5.6,1.20,olougja01
28,,Vinny Nittoli,33,0,1,.000,2.25,7,0,1,0,0,0,8.0,8,2,2,1,2,0,5,0,0,0,32,184,4.29,1.250,9.0,1.1,2.3,5.6,2.50,nittovi01
29,,Gerardo Reyes,31,0,0,,4.50,3,0,2,0,0,0,4.0,4,3,2,0,3,0,2,0,0,1,18,96,4.42,1.750,9.0,0.0,6.8,4.5,0.67,reyesge01
30,,Easton Lucas*,27,0,0,,14.73,3,0,2,0,0,0,3.2,8,7,6,0,3,0,6,0,0,0,23,30,2.35,3.000,19.6,0.0,7.4,14.7,2.00,lucasea01
31,,Will Klein,24,0,0,,27.00,3,0,0,0,0,0,1.2,2,5,5,0,4,0,1,0,0,1,11,18,9.17,3.600,10.8,0.0,21.6,5.4,0.25,kleinwi01
32,,Janson Junk,28,0,0,,inf,1,0,0,0,0,0,0.0,6,7,7,1,2,0,0,0,0,1,8,2,,,,,,,0.00,junkja01
,,Team Totals,28.1,69,93,.426,4.37,162,162,161,1,1,35,1436.2,1385,764,698,169,530,34,1263,92,7,60,6161,91,4.22,1.333,8.7,1.1,3.3,7.9,2.38,-9999
,,Rank in 15 AL teams,,13,3,,13,,,,4,4,12,7,14,13,13,3,10,,14,,,,,,,,,,,,,-9999
