Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Austin Adams,33,41.1,56,0,20,4.35,4.50,-0.32,-0.30,0.27,98.6,4.72,1,0.2,1.33,-0.1,0.5,5,.503,.501,$800000,Purchased,adamsau02
Scott Alexander*,34,38.2,45,0,14,3.26,4.61,-0.37,-0.31,0.43,97.1,4.96,7,0.8,1.47,0.1,1.2,11,.517,.505,$2250000,Free Agency,alexasc02
Brady Basso*,26,22.1,7,4,10,4.03,4.19,-0.40,0.12,0.00,97.9,4.61,1,0.1,.50,0.0,0.3,3,.520,.501,$740000,Amateur Draft,bassobr01
Osvaldo Bido,28,63.1,16,9,25,3.55,4.71,-0.33,0.11,0.00,99.0,5.09,11,1.2,.60,-0.1,1.7,17,.573,.507,$750000,Free Agency,bidoos01
Brandon Bielak,28,12.1,6,0,6,4.38,4.49,-0.48,-0.30,0.00,98.2,4.58,0,0.0,.28,0.0,0.1,1,.504,.500,,Purchased,bielabr01
Paul Blackburn,30,51.0,9,9,25,4.41,4.50,-0.39,0.20,0.00,96.2,4.90,2,0.3,,0.0,0.7,7,.530,.502,$3450000,Traded,blackpa01
Joe Boyle,24,47.2,13,10,35,6.61,4.51,-0.34,0.14,0.00,97.0,4.84,-10,-1.0,.59,0.0,-0.5,-5,.427,.494,$740000,Traded,boylejo01
Aaron Brooks,34,26.2,5,4,19,6.41,4.38,-0.47,0.11,0.00,98.6,4.88,-5,-0.5,.41,0.0,-0.2,-2,.409,.497,,Free Agency,brookaa01
Lucas Erceg,29,36.2,38,0,17,4.17,4.48,-0.34,-0.30,0.15,99.0,4.63,2,0.2,1.28,-0.1,0.5,5,.505,.501,$750000,Purchased,erceglu01
Joey Estes,22,127.2,25,24,73,5.15,4.48,-0.42,0.19,0.00,96.3,4.90,-4,-0.4,1.57,-0.1,0.7,8,.483,.497,$740000,Traded,estesjo01
Tyler Ferguson,30,51.1,48,0,23,4.03,4.50,-0.30,-0.30,0.22,97.2,4.58,3,0.3,1.05,-0.1,0.7,8,.506,.502,$740000,Free Agency,ferguty01
J.T. Ginn,25,34.0,8,6,16,4.24,4.33,-0.39,0.14,0.00,99.5,4.83,2,0.2,.51,0.0,0.5,5,.528,.501,,Traded,ginnjt01
Hogan Harris*,27,72.1,21,9,29,3.61,4.70,-0.37,0.06,0.15,96.8,5.11,12,1.3,.85,-0.1,1.9,19,.562,.508,$740000,Amateur Draft,harriho03
