k,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Cal Raleigh#,27,153,628,546,73,120,16,0,34,100,6,1,70,176,.220,.312,.436,.748,119,238,7,6,0,6,4,raleica01
2,1B,Ty France,29,88,340,300,28,67,14,0,8,31,0,1,28,83,.223,.312,.350,.662,97,105,11,11,0,1,0,francty01
3,2B,Jorge Polanco#,30,118,469,417,43,89,11,0,16,45,4,2,46,137,.213,.296,.355,.651,93,148,16,4,0,2,3,polanjo01
4,SS,J.P. Crawford*,29,105,451,392,55,79,16,2,9,37,5,0,52,102,.202,.304,.321,.625,86,126,4,6,0,1,0,crawfjp01
5,3B,Josh Rojas*,30,142,476,422,48,95,19,2,8,31,10,4,46,108,.225,.304,.336,.641,91,142,6,3,1,2,1,rojasjo01
6,LF,Randy Arozarena,29,54,239,199,32,46,14,0,5,23,4,3,28,68,.231,.356,.377,.733,118,75,4,11,0,1,0,arozara01
7,CF,Julio Rodríguez,23,143,613,567,76,155,17,0,20,68,24,5,38,156,.273,.325,.409,.734,116,232,10,6,0,2,1,rodriju01
8,RF,Mitch Haniger,33,121,423,380,42,79,12,0,12,44,0,0,40,126,.208,.286,.334,.620,84,127,10,2,0,1,0,hanigmi01
9,DH,Mitch Garver,33,114,430,367,37,63,17,0,15,51,0,0,53,133,.172,.286,.341,.627,85,125,9,7,0,3,0,garvemi01
10,UT,Luke Raley*,29,137,455,404,58,98,19,2,22,58,11,2,27,135,.243,.320,.463,.783,129,187,2,20,2,2,0,raleylu01
11,UT,Dylan Moore,31,135,441,368,53,74,23,4,10,42,32,6,53,123,.201,.320,.367,.687,104,135,8,14,1,5,1,mooredy01
12,OF,Víctor Robles,27,77,262,229,41,75,20,0,4,26,30,1,16,44,.328,.393,.467,.860,155,107,2,10,5,2,0,roblevi01
13,1B,Justin Turner,39,48,190,159,22,42,7,0,5,24,0,0,20,35,.264,.363,.403,.766,128,64,1,7,0,4,2,turneju01
14,RF,Dominic Canzone*,26,67,188,168,20,33,7,0,8,17,1,0,18,53,.196,.271,.381,.652,91,64,5,0,0,2,2,canzodo01
15,3B,Luis Urías,27,41,109,94,11,18,7,0,4,16,0,0,9,34,.191,.303,.394,.696,105,37,2,6,0,0,0,uriaslu01
16,SS,Leo Rivas#,26,43,86,73,10,17,1,1,0,8,3,0,10,24,.233,.333,.274,.607,84,20,1,1,2,0,0,rivasle01
