Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,Name-additional
Julio Rodríguez,23,3,Free Agency,2.000,,7 yrs/$119.3M (23-29) & 30-34 player option,$12.19M,$20.19M,$20.19M,$20.19M,$20.19M,$20.19M,$0 [FA-*],$0 [FA-*],$0 [FA-*],$0 [FA-*],$0 [FA-*],rodriju01
Luis Castillo,31,8,Traded,6.101,Republik Sports,5 yrs/$108M (23-27) & 28 vesting option,$24.15M,$24.15M,$24.15M,$24.15M,$0 [FA-*],FA,,,,,,castilu02
J.P. Crawford,29,8,Traded,5.163,Wasserman,5 yrs/$51M (22-26),$11M,$11M,$12M,FA,,,,,,,,crawfjp01
Jorge Polanco,30,11,Traded,7.024,Octagon,6 yrs/$36M (19-24) & 25 team option,$10.5M,$750k [FA-*],FA,,,,,,,,,polanjo01
Mitch Haniger,33,8,Traded,7.048,Apex Baseball,2 yrs/$28M (23-24) & 25 player option,$20M,$0 [FA-*],FA,,,,,,,,,hanigmi01
Mitch Garver,33,8,Free Agency,6.045,ISE Baseball,2 yrs/$24M (24-25) & 26 mutual option,$10.5M,$12.5M,$1M [FA-*],FA,,,,,,,,garvemi01
Yimi García,33,10,Traded,8.149,Nova Sports Agenc...,3 yrs/$16M (22-24),$6M,FA,,,,,,,,,,garciyi01
Justin Turner,39,16,Traded,13.045,Vayner Sports,1 yr/$13M (24),$13M,FA,,,,,,,,,,turneju01
Víctor Robles,27,8,Free Agency,5.033,Republik Sports,1 yr/$2.65M (24)2 yrs/$9.75M (25-26) & 27 team option,$2.65M,$4.12M,$5.12M,$500k [FA-*],FA,,,,,,,roblevi01
Dylan Moore,31,6,Free Agency,5.000,Rep 1 Baseball,3 yrs/$8.88M (23-25),$3.13M,$3.66M,FA,,,,,,,,,mooredy01
Randy Arozarena,29,6,Traded,3.129,Boras Corporation,1 yr/$8.1M (24),$8.1M,Arb,Arb,FA,,,,,,,,arozara01
Andrés Muñoz,25,5,Traded,4.080,Hector Fanyett,4 yrs/$7.5M (22-25) & 26-28 team option,$2.19M,$2.69M,$0 [FA-*],$0 [FA-*],$0 [FA-*],FA,,,,,,munozan01
Luis Urías,27,7,Traded,4.098,Wasserman,1 yr/$5M (24),$5M,Arb,FA,,,,,,,,,uriaslu01
Logan Gilbert,27,4,Amateur Draft,2.144,Wasserman,1 yr/$4.05M (24),$4.05M,Arb,Arb,Arb,FA,,,,,,,gilbelo01
Josh Rojas,30,6,Traded,3.126,MVP Sports Group,1 yr/$3.1M (24),$3.1M,Arb,Arb,FA,,,,,,,,rojasjo01
Dominic Canzone,26,2,Traded,0.087,,1 yr/$744k (24),$743.7k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,canzodo01
Cody Bolton,26,2,Purchased,0.076,,1 yr/$741k (24),$741.1k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,boltoco01
Carlos Vargas,24,1st,,0.140,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,vargaca01
Jhonathan Díaz,27,4,Free Agency,0.079,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,diazjh01
Cade Marlowe,27,2,Amateur Draft,0.074,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,marloca01
Samad Taylor,25,2,Traded,0.067,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,taylosa04
JT Chargois,33,7,Traded,4.101,,1 yr/$1.29M (24),$1.28M,Arb,FA,,,,,,,,,chargjt01
Austin Voth,32,7,Free Agency,4.115,Wasserman,1 yr/$1.25M (24),$1.25M,Arb,FA,,,,,,,,,vothau01
Jonathan Hernández,27,5,Waivers,3.131,,1 yr/$1.25M (24),$1.25M,Arb,Arb,FA,,,,,,,,hernajo02
Trent Thornton,30,6,Traded,3.148,Wasserman,1 yr/$1.2M (24),$1.2M,Arb,Arb,FA,,,,,,,,thorntr01
Chris Devenski,33,9,,7.020,ALIGND Sports Age...,1 yr/$1.1M (24) & 25 team option,$1M,$100k [FA-*],FA,,,,,,,,,devench02
Sam Haggerty,30,6,Waivers,3.044,Beverly Hills Spo...,1 yr/$900k (24),$900k,Arb,Arb,FA,,,,,,,,haggesa01
Eduard Bazardo,28,4,Traded,0.168,Warner Sports Man...,1 yr/$871k (24),$870.6k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,,bazared01
Josh Fleming,28,5,,2.144,Republik Sports,1 yr/$850k (24),$850k,Arb,Arb,Arb,FA,,,,,,,flemijo01
George Kirby,26,3,Amateur Draft,1.151,,1 yr/$799k (24),$798.6k,Arb,Arb,Arb,Arb,FA,,,,,,kirbyge01
