Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,BOS,L4-6,9.0,11,6,6,0,2,7,2,0,6.00,40,154,101,0,0,3,1,38,2,1,0,0,0,0,0,4,Larry Vanover,L.Castillo (99-42-L) T.Saucedo (99) C.Bolton (99) A.Voth (99)
2,2,Mar 29,,BOS,W1-0,9.0,4,0,0,0,3,13,0,0,3.00,34,141,90,3,0,1,0,31,0,0,0,0,0,0,0,4,David Rackley,G.Kirby (99-76-W) G.Speier (99-H) R.Stanek (99-H) A.Muñoz (99-Sv)
3,3,Mar 30,,BOS,W4-3,10.0,7,3,2,1,3,13,0,0,2.57,39,143,97,1,1,0,1,36,2,0,1,0,0,0,0,5,Quinn Wolcott,L.Gilbert (99-72) G.Speier (0) A.Voth (1) T.Thornton (99) T.Saucedo (1-W)
4,4,Mar 31,,BOS,L1-5,9.0,10,5,5,0,3,8,2,0,3.16,38,153,96,0,0,0,1,35,0,0,0,0,0,0,0,4,Chris Segal,B.Miller (99-43-L) C.Bolton (2) C.Snider (99) T.Thornton (0)
5,5,Apr 1,,CLE,W5-4,9.0,6,4,4,0,1,5,2,2,3.33,36,121,83,0,0,0,0,32,0,0,0,0,1,0,0,5,Mark Ripperger,E.Hancock (99-48-W) T.Saucedo (1-H) G.Speier (1-H) A.Muñoz (2-H) R.Stanek (2-Sv)
6,6,Apr 2,,CLE,L2-5,9.0,12,5,5,0,1,11,1,0,3.60,39,137,102,4,1,0,0,37,2,0,1,0,1,0,1,4,Adam Hamari,L.Castillo (4-39-L) T.Saucedo (0) C.Bolton (1) C.Snider (1)
7,7,Apr 3,,CLE,L0-8,9.0,11,8,8,0,1,4,0,1,4.22,41,121,89,1,0,1,0,37,3,0,0,0,2,0,1,4,Vic Carapazza,G.Kirby (4-11-L) A.Voth (3) T.Thornton (2) J.Rojas (99)
8,8,Apr 5,@,MIL,L5-6,8.1,8,6,6,0,6,9,3,0,4.48,38,160,94,1,0,2,1,32,1,0,0,0,0,0,0,4,Derek Thomas,L.Gilbert (5-49) C.Bolton (2) R.Stanek (3) A.Muñoz (3-L)
9,9,Apr 6,@,MIL,W5-3,9.0,5,3,3,0,4,8,1,0,4.32,36,118,73,3,1,0,0,31,1,0,0,0,1,0,0,5,Andy Fletcher,B.Miller (5-77-W) A.Voth (2) G.Speier (4-H) T.Thornton (2-H) A.Muñoz (0-Sv)
10,10,Apr 7,@,MIL,L4-12,8.0,14,12,12,0,4,11,3,0,5.14,41,168,99,3,2,3,0,37,1,1,0,0,0,0,0,5,Mike Muchlinski,E.Hancock (5-11-L) C.Snider (4) T.Saucedo (4) T.Thornton (0) J.Rojas (3)
