Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Logan Gilbert,27,9,12,.429,3.23,33,33,0,1,0,0,208.2,148,83,75,26,37,1,220,4,0,11,803,113,3.27,0.887,6.4,1.1,1.6,9.5,5.95,gilbelo01
2,SP,George Kirby,26,14,11,.560,3.53,33,33,0,0,0,0,191.0,181,82,75,22,23,0,179,7,1,5,778,104,3.26,1.068,8.5,1.0,1.1,8.4,7.78,kirbyge01
3,SP,Bryce Miller,25,12,8,.600,2.94,31,31,0,0,0,0,180.1,131,62,59,21,45,1,171,3,0,2,704,125,3.58,0.976,6.5,1.0,2.2,8.5,3.80,millebr04
4,SP,Luis Castillo,31,11,12,.478,3.64,30,30,0,0,0,0,175.1,158,73,71,25,47,2,175,5,0,0,719,101,3.91,1.169,8.1,1.3,2.4,9.0,3.72,castilu02
5,SP,Bryan Woo,24,9,3,.750,2.89,22,22,0,0,0,0,121.1,96,41,39,14,13,0,101,3,0,0,472,127,3.40,0.898,7.1,1.0,1.0,7.5,7.77,woobr01
6,SP,Emerson Hancock,25,4,4,.500,4.75,12,12,0,0,0,0,60.2,62,37,32,12,19,0,39,6,0,0,266,78,5.69,1.335,9.2,1.8,2.8,5.8,2.05,hancoem01
7,CL,Andrés Muñoz,25,3,7,.300,2.12,60,0,41,0,0,22,59.1,31,16,14,6,26,3,77,3,1,3,232,173,3.35,0.961,4.7,0.9,3.9,11.7,2.96,munozan01
8,RP,Trent Thornton,30,4,3,.571,3.61,71,0,16,0,0,1,72.1,63,32,29,8,19,1,77,5,0,4,294,102,3.47,1.134,7.8,1.0,2.4,9.6,4.05,thorntr01
9,RP,Austin Voth,32,2,5,.286,3.69,68,0,17,0,0,0,61.0,46,31,25,9,18,0,61,3,0,0,248,100,4.12,1.049,6.8,1.3,2.7,9.0,3.39,vothau01
10,RP,Ryne Stanek,32,6,3,.667,4.38,46,0,12,0,0,7,39.0,35,21,19,5,17,2,44,2,0,1,172,84,4.04,1.333,8.1,1.2,3.9,10.2,2.59,stanery01
11,RP,Tayler Saucedo*,31,2,0,1.000,3.49,53,0,11,0,0,3,38.2,35,15,15,3,18,3,38,2,0,1,166,106,3.76,1.371,8.1,0.7,4.2,8.8,2.11,sauceta01
12,,Collin Snider,28,3,4,.429,1.94,42,0,9,0,0,0,41.2,36,14,9,5,13,2,47,0,0,1,169,190,3.41,1.176,7.8,1.1,2.8,10.2,3.62,snideco01
