Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Mike Baumann,28,16.1,18,0,11,6.06,4.17,0.33,-0.28,0.34,93.0,3.62,-5,-0.5,1.16,-0.1,-0.4,-3,.474,.497,$748900,Traded,baumami01
Eduard Bazardo,28,27.2,23,0,15,4.88,4.41,0.28,-0.30,0.20,94.3,3.80,-3,-0.4,.32,0.1,0.0,-1,.484,.498,$870600,Traded,bazared01
Cody Bolton,26,18.2,17,0,11,5.30,4.55,0.35,-0.31,0.00,90.9,3.54,-4,-0.4,.43,0.1,-0.1,-2,.477,.498,$741100,Purchased,boltoco01
Matt Bowman,33,0.2,1,0,1,13.50,3.13,0.55,-0.22,0.00,82.0,1.94,-1,-0.1,.54,0.0,-0.1,-1,.416,.499,,,bowmama01
Luis Castillo,31,175.1,30,30,73,3.75,4.41,0.32,0.20,0.00,91.6,3.93,3,0.3,,-0.1,1.8,20,.509,.502,$24150000,Traded,castilu02
JT Chargois,33,19.2,21,0,6,2.75,4.65,0.29,-0.31,0.00,90.1,3.65,2,0.2,.78,-0.1,0.3,4,.510,.501,,Traded,chargjt01
Brett de Geus,26,3.1,4,0,1,2.70,4.36,0.35,-0.29,0.00,104.0,3.87,0,0.0,.32,0.0,0.1,1,.511,.500,$740000,Free Agency,degeubr01
Jhonathan Díaz*,27,9.2,5,1,6,5.59,4.00,0.43,-0.02,0.58,83.5,3.45,-2,-0.2,.69,0.0,-0.1,-1,.452,.499,$740000,Free Agency,diazjh01
Yimi García,33,9.0,10,0,6,6.00,4.38,0.35,-0.29,0.00,93.2,3.48,-3,-0.3,1.17,0.0,-0.2,-2,.473,.498,,Traded,garciyi01
Logan Gilbert,27,208.2,33,33,83,3.58,4.48,0.30,0.20,0.00,91.7,4.01,9,1.0,,-0.1,2.8,29,.530,.506,$4050000,Amateur Draft,gilbelo01
Emerson Hancock,25,60.2,12,12,37,5.49,4.42,0.39,0.20,0.00,89.9,3.81,-12,-1.1,,0.0,-0.6,-6,.406,.493,$741300,Amateur Draft,hancoem01
Jonathan Hernández,27,2.1,3,0,3,11.57,4.67,0.30,-0.31,0.00,82.0,3.33,-2,-0.2,.23,0.1,-0.1,-2,.429,.499,,Waivers,hernajo02
George Kirby,26,191.0,33,33,82,3.86,4.43,0.34,0.20,0.00,93.8,4.02,2,0.3,,-0.1,1.9,21,.508,.502,$798600,Amateur Draft,kirbyge01
Bryce Miller,25,180.1,31,31,62,3.09,4.48,0.31,0.20,0.00,90.9,3.97,17,1.8,,-0.1,3.4,34,.560,.511,$752600,Amateur Draft,millebr04
Tyson Miller,28,11.2,9,0,5,3.86,4.40,0.31,-0.30,0.00,96.5,3.66,0,0.0,.48,0.0,0.1,1,.496,.500,,Free Agency,millety01
Andrés Muñoz,25,59.1,60,0,16,2.43,4.57,0.25,-0.31,0.19,91.7,3.85,9,1.0,2.12,0.4,2.0,15,.516,.506,$2187500,Traded,munozan01
Leo Rivas,26,2.0,2,0,1,4.50,4.54,0.53,-0.31,0.00,90.9,3.37,0,0.0,.00,0.0,0.0,0,.486,.500,$740000,Free Agency,rivasle01
Josh Rojas,30,2.0,2,0,2,9.00,4.57,0.35,-0.31,0.00,94.5,3.70,-1,-0.1,.00,0.1,0.0,-1,.440,.499,$3100000,Traded,rojasjo01
Gregory Santos,24,7.1,8,0,4,4.91,4.18,0.36,-0.28,0.00,92.4,3.27,-1,-0.1,1.10,0.0,-0.1,-1,.482,.499,$750000,Traded,santogr01
Tayler Saucedo*,31,38.2,53,0,15,3.49,4.53,0.32,-0.30,0.00,93.6,3.65,0,0.1,1.20,-0.1,0.4,4,.501,.500,$753100,Waivers,sauceta01
Kirby Snead*,29,10.1,11,0,5,4.35,4.55,0.38,-0.31,0.00,91.7,3.54,-1,-0.1,.21,0.0,0.0,0,.491,.499,,Free Agency,sneadki01
Collin Snider,28,41.2,42,0,14,3.02,4.55,0.30,-0.30,0.66,90.5,4.16,5,0.5,1.29,0.0,0.9,9,.513,.503,$747300,Waivers,snideco01
Gabe Speier*,29,23.2,29,0,15,5.70,4.42,0.27,-0.30,0.00,91.8,3.54,-6,-0.6,1.21,-0.1,-0.5,-4,.479,.496,$753300,Waivers,speiega01
Ryne Stanek,32,39.0,46,0,21,4.85,4.37,0.32,-0.29,0.28,91.7,3.70,-5,-0.5,1.63,-0.3,-0.4,-1,.488,.497,$4000000,Free Agency,stanery01
Troy Taylor,22,19.1,21,0,8,3.72,4.50,0.29,-0.30,0.00,90.6,3.54,-1,-0.1,.74,0.0,0.1,1,.498,.500,,Amateur Draft,taylotr01
Trent Thornton,30,72.1,71,0,32,3.98,4.43,0.31,-0.30,0.15,92.8,3.69,-3,-0.3,1.06,-0.2,0.3,4,.496,.498,$1200000,Traded,thorntr01
Austin Voth,32,61.0,68,0,31,4.57,4.43,0.32,-0.30,0.28,90.5,3.71,-6,-0.6,1.01,-0.1,-0.2,0,.491,.496,$1250000,Free Agency,vothau01
Bryan Woo,24,121.1,22,22,41,3.04,4.50,0.34,0.20,0.00,91.3,3.99,12,1.3,,-0.1,2.4,24,.561,.508,$749000,Amateur Draft,woobr01
Team Total,27.4,1433.0,685,162,607,3.81,4.45,0.32,0.03,0.07,91.8,3.88,4,0.8,1.14,-0.9,13.5,142,.501,.501,$50563300,,-9999
