k,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Jonah Heim#,29,131,491,459,45,101,12,1,13,59,1,1,26,90,.220,.267,.336,.602,72,154,13,4,0,2,0,heimjo01
2,1B,Nathaniel Lowe*,28,140,565,486,62,129,16,1,16,69,2,0,71,125,.265,.361,.401,.762,120,195,9,4,0,4,1,lowena01
3,2B,Marcus Semien,33,159,718,650,101,154,27,2,23,74,8,3,64,105,.237,.308,.391,.699,100,254,9,3,0,1,2,semiema01
4,SS,Corey Seager*,30,123,533,475,68,132,21,0,30,74,1,1,53,96,.278,.353,.512,.864,145,243,8,3,0,2,11,seageco01
5,3B,Josh Smith*,26,149,592,523,67,135,30,1,13,62,11,2,46,121,.258,.337,.394,.731,110,206,6,18,2,3,1,smithjo11
6,LF,Wyatt Langford,22,134,557,499,74,126,25,4,16,74,19,3,51,115,.253,.325,.415,.740,111,207,6,4,0,3,3,langfwy01
7,CF,Leody Taveras#,25,151,529,480,59,110,17,3,12,44,23,6,42,112,.229,.289,.352,.641,84,169,8,0,3,4,0,taverle01
8,RF,Adolis García,31,154,637,580,68,130,27,0,25,85,11,5,45,177,.224,.284,.400,.684,94,232,12,6,0,6,2,garciad02
9,DH,Robbie Grossman#,34,46,122,105,13,25,4,0,3,10,1,0,16,25,.238,.336,.362,.698,101,38,5,0,0,1,0,grossro01
10,3B,Ezequiel Duran,25,92,285,268,26,66,11,0,3,20,1,2,14,63,.246,.288,.321,.609,75,86,6,2,0,1,0,duranez01
11,DH,Travis Jankowski*,33,104,207,190,19,38,5,0,1,12,11,1,12,44,.200,.266,.242,.508,48,46,3,5,0,0,0,jankotr01
12,3B,Josh Jung,26,46,188,178,19,47,5,1,7,16,4,0,8,48,.264,.298,.421,.719,104,75,1,1,0,1,0,jungjo01
13,LF,Evan Carter*,21,45,162,144,23,27,6,2,5,15,2,0,15,43,.188,.272,.361,.633,80,52,1,2,0,1,0,carteev01
14,C,Carson Kelly,29,31,110,102,11,24,5,0,2,8,0,0,8,15,.235,.291,.343,.634,82,35,3,0,0,0,0,kellyca02
15,C,Andrew Knizner,29,35,93,90,5,15,1,0,1,9,0,0,1,22,.167,.183,.211,.394,13,19,2,1,0,1,0,kniznan01
16,1B,Jared Walsh*,30,17,60,53,9,12,2,0,1,7,0,0,7,21,.226,.317,.321,.637,85,17,2,0,0,0,0,walshja01
17,3B,Davis Wendzel,27,27,49,47,2,6,2,0,1,2,0,0,1,12,.128,.163,.234,.397,13,11,1,1,0,0,0,wendzda01
18,OF,Derek Hill,28,16,45,43,5,11,0,0,3,5,2,1,2,14,.256,.289,.465,.754,112,20,1,0,0,0,0,hillde01
19,DH,Justin Foscue,25,15,44,42,3,2,1,0,0,1,0,0,2,18,.048,.091,.071,.162,-52,3,0,0,0,0,0,foscuju01
20,IF,Jonathan Ornelas,24,18,40,37,1,8,2,0,0,3,0,0,2,13,.216,.256,.270,.527,52,10,0,0,1,0,0,orneljo01
21,3B,Matt Duffy,33,4,10,7,2,2,0,0,0,0,0,0,2,1,.286,.500,.286,.786,135,2,0,1,0,0,0,duffyma01
22,DH,Dustin Harris*,24,2,7,6,1,2,1,0,1,3,0,0,1,2,.333,.429,1.000,1.429,294,6,0,0,0,0,0,harridu01
23,OF,Sandro Fabian,26,3,5,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,fabiasa01
24,C,Sam Huff,26,3,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-19,0,0,0,0,0,0,huffsa01
25,P,Brock Burke*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,burkebr01
26,P,Chase Anderson,36,0,0,,,,,,,,,,,,,,,,,,,,,,,anderch01
27,P,Daniel Robert*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,roberda11
28,P,Andrew Chafin,34,0,0,,,,,,,,,,,,,,,,,,,,,,,chafian01
29,P,Nathan Eovaldi,34,0,0,,,,,,,,,,,,,,,,,,,,,,,eovalna01
30,P,Max Scherzer,39,0,0,,,,,,,,,,,,,,,,,,,,,,,scherma01
31,P,Jesús Tinoco,29,0,0,,,,,,,,,,,,,,,,,,,,,,,tinocje01
32,P,Michael Lorenzen,32,0,0,,,,,,,,,,,,,,,,,,,,,,,lorenmi01
33,P,Jack Leiter,24,0,0,,,,,,,,,,,,,,,,,,,,,,,leiteja01
34,P,Andrew Heaney*,33,0,0,,,,,,,,,,,,,,,,,,,,,,,heanean01
35,P,Jon Gray,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,grayjo02
36,P,Gerson Garabito,28,0,0,,,,,,,,,,,,,,,,,,,,,,,garabge01
37,P,Owen White,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,whiteow01
38,P,Kumar Rocker,24,0,0,,,,,,,,,,,,,,,,,,,,,,,rockeku01
39,P,Jonathan Hernández,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,hernajo02
40,P,Kirby Yates*,37,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,yateski01
41,P,Grant Anderson,27,0,0,,,,,,,,,,,,,,,,,,,,,,,andergr01
42,P,Cody Bradford*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,bradfco01
43,P,Austin Pruitt,34,0,0,,,,,,,,,,,,,,,,,,,,,,,pruitau01
44,P,Marc Church,23,0,0,,,,,,,,,,,,,,,,,,,,,,,churcma01
45,P,Dane Dunning,29,0,0,,,,,,,,,,,,,,,,,,,,,,,dunnida01
46,P,Cole Winn,24,0,0,,,,,,,,,,,,,,,,,,,,,,,winnco01
