Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,CHC,W4-3,10.0,6,3,3,0,5,8,0,1,2.70,40,169,102,0,0,0,0,33,3,1,1,0,1,0,2,5,Chad Fairchild,N.Eovaldi (99-58) J.Sborz (99) K.Yates (99) J.Leclerc (99) D.Robertson (99-W)
2,2,Mar 30,,CHC,W11-2,9.0,5,2,2,0,2,8,1,0,2.37,31,124,76,0,0,0,0,29,0,0,0,0,0,0,3,5,Carlos Torres,C.Bradford (99-58-W) J.Sborz (1-H) D.Robertson (1-H) K.Yates (1-H) B.Burke (99)
3,3,Mar 31,,CHC,L5-9,9.0,12,9,9,0,9,6,1,1,4.50,49,184,101,5,3,0,0,39,2,0,1,0,0,0,0,5,Nestor Ceja,J.Gray (99-26) J.Ureña (99) Y.Rodríguez (99) J.Leclerc (2-L) J.Latz (99)
4,4,Apr 1,@,TBR,W9-3,9.0,5,3,3,0,5,12,2,2,4.14,37,132,82,1,0,1,1,30,2,0,0,0,0,0,1,3,Roberto Ortiz,D.Dunning (99-58-W) D.Robertson (1-H) B.Burke (1)
5,5,Apr 2,@,TBR,L2-5,8.0,7,5,1,4,1,9,1,2,3.60,34,145,94,2,2,1,0,31,0,0,0,0,0,1,0,3,Alfonso Márquez,A.Heaney (99-55-L) Y.Rodríguez (1) J.Latz (1)
6,6,Apr 3,@,TBR,W4-1,9.0,8,1,1,0,1,9,0,1,3.17,35,137,99,0,0,1,0,33,1,0,0,0,0,0,2,3,Lance Barrett,N.Eovaldi (5-76-W) D.Robertson (1-H) J.Leclerc (2)
7,7,Apr 5,,HOU,W10-2,9.0,3,2,2,0,1,5,1,0,3.00,32,115,81,1,1,0,0,31,0,0,0,0,0,1,0,3,Chris Segal,C.Bradford (5-75-W) Y.Rodríguez (2) J.Latz (2)
8,8,Apr 6,,HOU,W7-2,9.0,8,2,0,2,4,7,0,0,2.62,39,159,100,1,0,0,0,35,2,0,0,0,0,1,0,7,Larry Vanover,J.Gray (5-47) B.Burke (4) J.Ureña (5) K.Yates (6-W) D.Robertson (2-H) J.Sborz (6-H) J.Leclerc (2-Sv)
9,9,Apr 7,,HOU,L1-3,9.0,4,3,3,0,4,10,1,0,2.67,35,140,87,1,0,1,0,31,0,0,0,0,0,0,0,4,Scott Barry,D.Dunning (5-58-L) G.Anderson (99) J.Latz (1) Y.Rodríguez (1)
10,10,Apr 8,,HOU,L5-10,9.0,11,10,10,0,3,8,2,1,3.40,41,160,105,4,2,0,0,37,2,0,0,0,0,0,1,4,Adrian Johnson,A.Heaney (5-28-L) B.Burke (1) G.Anderson (0) J.Ureña (1)
