Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Evan Carter*,21,45,162,-4,0,2,4,-2,1,0.1,6,6,0.6,.502,.500,0.2,0.2,2,$745000,Amateur Draft,7/9HD8,carteev01
Matt Duffy,33,4,10,1,0,0,1,0,2,0.2,0,2,0.2,.547,.501,0.1,0.1,1,,Free Agency,/5H,duffyma01
Ezequiel Duran,25,92,285,-8,-1,-1,3,-1,-8,-0.8,10,2,0.1,.491,.495,-0.2,0.2,-1,$754500,Traded,573DH/6498,duranez01
Sandro Fabian,26,3,5,-1,0,0,0,0,-1,-0.2,0,-1,-0.1,.450,.499,-0.1,0.0,-1,,Free Agency,/79,fabiasa01
Justin Foscue,25,15,44,-8,0,0,1,-1,-8,-0.9,2,-6,-0.7,.443,.495,-0.8,0.0,-7,$740000,Amateur Draft,D/4H3,foscuju01
Adolis García,31,154,637,-4,-2,0,-5,-6,-17,-1.8,22,5,0.4,.488,.489,0.9,-1.2,10,$4750000,Purchased,*9D/H,garciad02
Jon Gray,32,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$13000000,Free Agency,1,grayjo02
Robbie Grossman#,34,46,122,1,-1,0,1,-3,-2,-0.2,4,2,0.2,.495,.499,0.1,-0.2,1,,Traded,DH7/9,grossro01
Dustin Harris*,24,2,7,1,0,0,0,0,1,0.1,0,2,0.2,.567,.501,0.2,0.0,2,,Traded,/D,harridu01
Jonah Heim#,29,131,491,-16,-1,-1,6,8,-5,-0.5,17,12,1.1,.496,.497,0.5,1.4,6,$3050000,Traded,*2DH,heimjo01
Jonathan Hernández,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1245000,Amateur Free Agent,1,hernajo02
Derek Hill,28,16,45,2,-1,0,-2,0,-2,-0.2,2,0,0.0,.491,.499,0.2,-0.3,2,,Free Agency,/9H8D7,hillde01
Sam Huff,26,3,4,0,0,0,0,0,0,0.0,0,0,0.0,.490,.500,0.0,0.0,0,$740000,Amateur Draft,/2H,huffsa01
Travis Jankowski*,33,104,207,-11,2,1,8,-4,-4,-0.4,7,3,0.3,.496,.497,-0.6,0.4,-5,$1700000,Free Agency,9HD78,jankotr01
Josh Jung,26,46,188,1,1,1,-3,1,0,0.0,6,6,0.6,.500,.500,0.9,-0.3,9,$756000,Amateur Draft,5/D,jungjo01
Carson Kelly,29,31,110,-2,0,0,-4,1,-6,-0.6,4,-2,-0.2,.481,.496,0.2,-0.3,2,,Traded,2/DH,kellyca02
Andrew Knizner,29,35,93,-10,0,0,-3,2,-11,-1.2,3,-8,-0.9,.466,.493,-0.6,-0.1,-5,$1825000,Free Agency,2/1D,kniznan01
Wyatt Langford,22,134,557,6,3,1,14,-5,19,2.1,19,38,3.9,.515,.513,2.4,0.9,24,$740000,Amateur Draft,*7D8,langfwy01
Jacob Latz,28,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$741000,Amateur Draft,1,latzja01
José Leclerc,30,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$6250000,Amateur Free Agent,1,leclejo01
Nathaniel Lowe*,28,140,565,14,-1,0,1,-7,8,0.9,19,27,2.7,.506,.505,2.6,-0.6,26,$7500000,Traded,*3/HD,lowena01
Jonathan Ornelas,24,18,40,-2,0,0,1,1,-1,-0.1,1,0,0.0,.493,.499,-0.1,0.2,-1,$740000,Amateur Draft,/564H8,orneljo01
David Robertson,39,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$10000000,Free Agency,1,roberda08
Yerry Rodríguez,26,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$743000,Free Agency,1,rodriye01
Corey Seager*,30,123,533,23,-3,0,4,6,31,3.2,18,49,5.0,.526,.520,4.5,1.1,45,$35000000,Free Agency,*6D/H,seageco01
Marcus Semien,33,159,718,0,1,1,10,6,18,1.9,23,41,4.1,.512,.512,3.1,1.7,31,$26000000,Free Agency,*4,semiema01
Josh Smith*,26,149,592,8,0,1,-1,4,12,1.3,20,32,3.2,.508,.508,3.3,0.3,33,$749500,Traded,56DH/749,smithjo11
Leody Taveras#,25,151,529,-9,2,1,-10,4,-12,-1.3,18,6,0.5,.491,.492,1.5,-0.6,16,$2550000,Amateur Free Agent,*8/HD,taverle01
José Ureña,32,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1750000,Free Agency,1,urenajo01
Jared Walsh*,30,17,60,-1,0,0,-1,-1,-3,-0.4,2,-1,-0.2,.479,.498,-0.1,-0.2,0,$1250000,Free Agency,3/H,walshja01
Davis Wendzel,27,27,49,-5,0,0,3,0,-2,-0.3,2,-1,-0.1,.491,.498,-0.4,0.3,-4,$740000,Amateur Draft,5/HD43,wendzda01
Owen White,24,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Amateur Draft,/1,whiteow01
Kirby Yates*,37,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$4500000,Free Agency,1,yateski01
Team Total,28.1,1657,6053,-26,0,5,28,1,9,1.1,205,214,20.8,.500,.502,17.8,3.1,185,$129299000,,,-9999
