Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Willy Adames,28,161,161,151,1406.1,547,204,323,20,66,0.963,-8,-7,-16,-14,1,3.37,3.27,,,,,,,,SS,adamewi01
Aaron Ashby,26,14,2,0,28.1,1,1,0,0,0,1,,,-2,-14,0,0.32,0.07,,,5,0,0.00,0.20,0,P,ashbyaa01
Jake Bauers,28,89,69,49,628.1,484,441,38,5,42,0.99,-1,-3,-2,-1,0,6.86,4.17,,,0,0,,,0,1B-LF-RF-P-DH,bauerja01
Tyler Black,23,6,6,2,42,44,42,2,0,5,1,0,3,1,29,0,9.43,2.75,,,,,,,,1B-DH,blackty01
Bradley Blalock,23,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,1,0,0.00,0.20,0,P,blalobr01
JB Bukauskas,27,6,0,0,6,1,0,1,0,0,1,,,0,0,0,1.5,0.17,,,1,0,0.00,0.20,0,P,bukaujb01
Vinny Capra,27,3,2,2,23,8,1,7,0,0,1,1,37,0,0,0,3.13,2.67,,,,,,,,3B-SS,capravi01
Jackson Chourio,20,146,135,112,1207,290,286,4,0,0,1,13,13,12,12,-2,2.16,1.86,,,,,,,,LF-RF-DH,chourja01
Aaron Civale,29,14,14,0,74,16,8,8,0,0,1,,,1,3,0,1.95,1.14,,,1,1,0.50,0.21,1,P,civalaa01
Isaac Collins,26,7,3,1,35,10,7,2,1,0,0.9,-1,-25,-1,-34,0,2.31,1,,,,,,,,LF-2B-DH,colliis01
William Contreras,26,120,119,115,1060,1099,1054,37,8,2,0.993,6,6,6,7,-2,9.26,7.04,6,30,72,21,0.23,0.20,3,C-DH,contrwi02
Oliver Dunn,26,28,18,9,156,48,11,37,0,4,1,4,32,3,23,0,2.77,1.33,,,,,,,,3B-2B-1B-DH,dunnol01
Sal Frelick,24,142,129,97,1132,280,271,6,3,1,0.989,4,4,15,16,4,2.2,1.75,,,,,,,,RF-LF-CF-3B-DH,frelisa01
