Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 29,@,NYM,W3-1,9.0,1,1,1,0,2,10,1,0,1.00,29,128,81,0,0,0,0,27,0,0,0,0,0,0,0,4,Alfonso Márquez,F.Peralta (99-73-W) T.Megill (99-H) J.Payamps (99-H) A.Uribe (99-Sv)
2,2,Mar 30,@,NYM,W7-6,9.0,12,6,6,0,2,6,3,1,3.50,41,148,100,2,2,0,0,38,0,0,0,0,0,0,0,6,Lance Barrett,D.Hall (99-41) E.Peguero (99-W) T.Megill (0) B.Wilson (99) H.Milner (99) A.Uribe (0-Sv)
3,3,Mar 31,@,NYM,W4-1,9.0,7,1,1,0,2,7,0,0,2.67,36,132,91,0,0,0,0,34,2,0,0,0,0,0,0,3,Jonathan Parra,C.Rea (99-53-W) B.Hudson (99-H) J.Payamps (1-Sv)
4,4,Apr 2,,MIN,W3-2,9.0,3,2,1,1,4,8,0,0,2.25,34,124,79,1,1,0,0,28,0,0,0,0,2,1,1,5,Clint Vondrak,J.Junis (99-55) E.Peguero (2-W) H.Milner (2-H) J.Payamps (1-H) A.Uribe (2-Sv)
5,5,Apr 3,,MIN,L3-7,9.0,11,7,7,0,7,6,1,0,3.20,45,177,105,7,3,0,0,38,2,1,0,0,0,0,0,6,Mark Wegner,J.Ross (99-55) H.Milner (0) J.Bukauskas (99-H) J.Payamps (0-BL) B.Wilson (3) T.Vieira (99)
6,6,Apr 5,,SEA,W6-5,9.0,8,5,5,0,2,10,0,3,3.50,40,152,90,1,0,0,0,34,2,0,1,0,1,0,0,4,Derek Thomas,F.Peralta (6-55) B.Hudson (4) E.Peguero (2-H) A.Uribe (2-BW)
7,7,Apr 6,,SEA,L3-5,9.0,10,5,5,0,3,11,2,0,3.71,38,139,92,1,0,1,1,35,0,0,0,0,0,0,1,4,Andy Fletcher,D.Hall (6-43-L) B.Wilson (2) H.Milner (2) J.Bukauskas (2)
8,8,Apr 7,,SEA,W12-4,9.0,8,4,3,1,1,8,1,0,3.62,36,131,89,0,0,0,0,35,1,0,0,0,0,0,0,2,Mike Muchlinski,C.Rea (6-55-W) T.Vieira (3-Sv)
9,9,Apr 8,@,CIN,L8-10,8.0,10,10,6,4,3,6,3,0,3.94,40,155,99,1,0,4,0,36,3,0,0,1,0,2,0,5,Brian O'Nora,A.Ashby (99-25-L) J.Bukauskas (1) J.Payamps (4) B.Hudson (2) B.Wilson (1)
10,10,Apr 9,@,CIN,W9-5,9.0,10,5,4,1,2,12,0,0,3.94,40,153,100,3,2,1,0,38,4,0,0,0,0,1,0,4,Paul Clemons,J.Ross (5-59-W) E.Peguero (3) B.Hudson (0) A.Uribe (3)
