Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Freddy Peralta,28,11,9,.550,3.68,32,32,0,0,0,0,173.2,143,74,71,26,68,0,200,10,1,8,725,114,4.16,1.215,7.4,1.3,3.5,10.4,2.94,peralfr01
2,SP,Colin Rea,33,12,6,.667,4.29,32,27,1,0,0,1,167.2,169,83,80,29,43,1,135,10,0,2,714,98,4.75,1.264,9.1,1.6,2.3,7.2,3.14,reaco01
3,SP,Tobias Myers,25,9,6,.600,3.00,27,25,0,0,0,0,138.0,126,52,46,18,36,0,127,5,5,4,569,140,3.91,1.174,8.2,1.2,2.3,8.3,3.53,myersto01
4,SP,Aaron Civale,29,6,3,.667,3.53,14,14,0,0,0,0,74.0,65,31,29,13,25,0,65,2,0,0,311,119,4.79,1.216,7.9,1.6,3.0,7.9,2.60,civalaa01
5,SP,Frankie Montas,31,3,3,.500,4.55,11,11,0,0,0,0,57.1,47,33,29,10,25,0,70,1,0,0,244,92,4.35,1.256,7.4,1.6,3.9,11.0,2.80,montafr02
6,CL,Trevor Megill,30,1,3,.250,2.72,48,0,26,0,0,21,46.1,33,16,14,4,14,4,50,1,0,4,183,155,3.10,1.014,6.4,0.8,2.7,9.7,3.57,megiltr01
7,RP,Hoby Milner*,33,5,1,.833,4.73,61,1,11,0,0,1,64.2,63,38,34,6,14,2,64,2,0,0,268,89,3.14,1.191,8.8,0.8,1.9,8.9,4.57,milneho01
8,RP,Jared Koenig*,30,9,4,.692,2.47,55,6,5,0,0,1,62.0,54,22,17,4,23,4,63,4,0,0,265,170,3.28,1.242,7.8,0.6,3.3,9.1,2.74,koenija01
9,RP,Joel Payamps,30,3,7,.300,3.05,68,0,18,0,0,6,59.0,39,23,20,7,18,4,59,2,0,0,235,138,3.73,0.966,5.9,1.1,2.7,9.0,3.28,payamjo01
10,RP,Elvis Peguero,27,7,4,.636,2.98,52,0,8,0,0,2,51.1,52,22,17,4,27,3,47,2,1,6,227,141,4.04,1.539,9.1,0.7,4.7,8.2,1.74,pegueel01
11,,Bryse Wilson,26,5,4,.556,4.04,34,9,7,0,0,0,104.2,102,49,47,20,31,0,82,4,1,3,442,104,5.09,1.271,8.8,1.7,2.7,7.1,2.65,wilsobr02
12,,Joe Ross,31,3,6,.333,3.77,25,10,8,0,0,0,74.0,72,35,31,7,29,1,66,1,0,1,321,111,3.83,1.365,8.8,0.9,3.5,8.0,2.28,rossjo01
13,,Bryan Hudson*,27,6,1,.857,1.73,43,0,1,0,0,0,62.1,28,12,12,7,17,0,62,3,1,1,231,243,3.60,0.722,4.0,1.0,2.5,9.0,3.65,hudsobr01
14,,DL Hall*,25,1,2,.333,5.02,13,7,2,0,0,0,43.0,48,26,24,6,21,0,44,4,0,1,197,84,4.68,1.605,10.0,1.3,4.4,9.2,2.10,halldl01
15,,Aaron Ashby*,26,1,2,.333,2.86,14,2,3,0,0,0,28.1,20,13,9,2,10,0,33,0,0,1,119,148,2.81,1.059,6.4,0.6,3.2,10.5,3.30,ashbyaa01
16,,Robert Gasser*,25,2,0,1.000,2.57,5,5,0,0,0,0,28.0,28,9,8,2,1,0,16,3,0,0,114,165,3.38,1.036,9.0,0.6,0.3,5.1,16.00,gassero01
17,,Jakob Junis,31,4,0,1.000,2.42,10,1,3,0,0,1,26.0,20,9,7,4,5,0,19,1,0,1,101,175,4.40,0.962,6.9,1.4,1.7,6.6,3.80,junisja01
18,,Thyago Vieira,31,0,0,,5.64,16,0,9,0,0,1,22.1,25,14,14,6,13,1,25,2,0,0,106,75,6.44,1.701,10.1,2.4,5.2,10.1,1.92,vieirth01
19,,Devin Williams,29,1,0,1.000,1.25,22,0,19,0,0,14,21.2,10,3,3,1,11,1,38,2,0,1,88,341,2.06,0.969,4.2,0.4,4.6,15.8,3.45,willide03
20,,Enoli Paredes,28,1,0,1.000,1.74,17,0,8,0,0,1,20.2,13,4,4,0,10,0,14,2,0,2,84,244,3.55,1.113,5.7,0.0,4.4,6.1,1.40,pareden01
21,,Dallas Keuchel*,36,0,0,,5.40,4,4,0,0,0,0,16.2,23,10,10,3,8,0,11,0,0,0,79,79,5.63,1.860,12.4,1.6,4.3,5.9,1.38,keuchda01
22,,Abner Uribe,24,2,2,.500,6.91,14,0,6,0,0,3,14.1,15,11,11,1,12,2,14,0,0,3,66,62,4.63,1.884,9.4,0.6,7.5,8.8,1.17,uribeab01
23,,Carlos Rodriguez,22,0,3,.000,7.30,3,3,0,0,0,0,12.1,19,11,10,3,3,0,9,0,0,0,57,59,5.60,1.784,13.9,2.2,2.2,6.6,3.00,rodrica02
24,,Nick Mears,27,0,1,.000,7.30,13,0,1,0,0,0,12.1,14,10,10,5,3,0,18,0,0,0,53,59,6.25,1.378,10.2,3.6,2.2,13.1,6.00,mearsni01
25,,Kevin Herget,33,0,0,,1.59,7,0,5,0,0,1,11.1,6,2,2,1,3,0,9,0,0,0,43,272,3.52,0.794,4.8,0.8,2.4,7.1,3.00,hergeke01
26,,Mitch White,29,0,1,.000,6.48,6,0,5,0,0,0,8.1,8,8,6,2,4,2,6,1,0,0,39,67,6.65,1.440,8.6,2.2,4.3,6.5,1.50,whitemi03
27,,Janson Junk,28,0,0,,6.75,5,0,2,0,0,0,8.0,16,6,6,2,2,0,8,0,0,0,40,65,5.17,2.250,18.0,2.3,2.3,9.0,4.00,junkja01
28,,Rob Zastryzny*,32,1,0,1.000,1.17,9,3,2,0,0,0,7.2,4,1,1,0,1,0,5,1,0,0,29,373,2.65,0.652,4.7,0.0,1.2,5.9,5.00,zastrro01
29,,Wade Miley*,37,0,1,.000,6.43,2,2,0,0,0,0,7.0,6,5,5,1,4,0,2,1,1,0,30,68,6.60,1.429,7.7,1.3,5.1,2.6,0.50,mileywa01
30,,Elieser Hernández,29,0,0,,3.00,4,0,2,0,0,0,6.0,5,2,2,0,2,0,2,0,0,2,22,148,3.50,1.167,7.5,0.0,3.0,3.0,1.00,hernael01
31,,JB Bukauskas,27,0,0,,1.50,6,0,2,0,0,0,6.0,3,1,1,1,1,0,6,0,0,0,22,296,3.83,0.667,4.5,1.5,1.5,9.0,6.00,bukaujb01
32,,Jake Bauers*,28,0,0,,4.50,4,0,4,0,0,0,4.0,5,2,2,0,4,0,1,0,0,0,20,101,5.67,2.250,11.3,0.0,9.0,2.3,0.25,bauerja01
33,,Tyler Jay*,30,0,0,,0.00,2,0,2,0,0,0,3.0,2,0,0,0,3,0,3,0,0,0,12,,4.17,1.667,6.0,0.0,9.0,9.0,1.00,jayty01
34,,Owen Miller,27,0,0,,18.00,1,0,1,0,0,0,2.0,5,4,4,1,1,0,0,0,0,0,12,27,11.17,3.000,22.5,4.5,4.5,0.0,0.00,milleow01
35,,Bradley Blalock,23,0,0,,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,6.17,1.000,0.0,0.0,9.0,0.0,0.00,blalobr01
36,,James Meeker,29,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,0,0,4,,6.17,2.000,9.0,0.0,9.0,0.0,0.00,meekeja01
,,Team Totals,28.9,93,69,.574,3.65,162,162,162,0,0,53,1446.0,1289,641,586,196,494,25,1373,64,10,40,6076,116,4.19,1.233,8.0,1.2,3.1,8.5,2.78,-9999
,,Rank in 15 NL teams,,3,12,,2,,,,11,3,2,1,4,2,2,12,9,,7,,,,,,,,,,,,,-9999
