Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Willy Adames,28,161,688,13,3,-1,-16,10,9,0.9,23,32,3.1,.506,.506,4.8,-0.7,48,$12250000,Traded,*6,adamewi01
Jake Bauers*,28,116,346,-8,1,1,-2,-6,-14,-1.5,12,-2,-0.4,.488,.491,-0.2,-0.9,0,$1350000,Traded,3HD9/71,bauerja01
Tyler Black*,23,18,57,-2,0,0,1,-1,-3,-0.3,2,-1,-0.1,.485,.498,-0.2,0.0,-2,$740000,Amateur Draft,D/3H,blackty01
Vinny Capra,27,3,9,-1,0,0,0,0,-2,-0.2,0,-1,-0.1,.446,.499,-0.1,0.0,-1,$740000,Waivers,/56,capravi01
Jackson Chourio,20,148,573,10,0,2,12,-5,19,1.9,20,38,3.8,.513,.512,2.5,0.7,26,$2250000,Free Agency,*79/HD,chourja01
Isaac Collins#,26,11,19,-2,0,0,-1,0,-4,-0.4,1,-3,-0.3,.464,.498,-0.2,-0.1,-2,,Waivers,/H74D,colliis01
William Contreras,26,155,679,22,-2,-2,3,6,27,2.8,22,49,4.9,.518,.517,4.6,0.9,46,$766900,Traded,*2D/H,contrwi02
Oliver Dunn*,26,41,104,-5,1,0,3,0,-1,-0.1,4,2,0.2,.497,.499,-0.1,0.3,-1,$740000,Traded,5H/D34,dunnol01
Sal Frelick*,24,145,524,-10,1,2,15,-4,4,0.4,18,22,2.1,.503,.503,0.6,1.2,7,$746500,Amateur Draft,*987H/5D,frelisa01
Eric Haase,31,30,69,2,0,0,-1,1,2,0.2,2,5,0.4,.507,.501,0.5,0.0,5,,Free Agency,2/HD,haaseer01
Kevin Herget*,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Free Agency,/1,hergeke01
Brewer Hicklen,28,3,5,-1,0,0,0,0,-2,-0.2,0,-2,-0.2,.441,.499,-0.2,0.0,-1,,,/9H,hicklbr01
Rhys Hoskins,31,131,517,-3,-2,-1,-3,-8,-18,-1.9,18,0,-0.2,.486,.489,0.2,-1.2,3,$12000000,Free Agency,3D/H,hoskirh01
Trevor Megill*,30,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$756600,Traded,1,megiltr01
Owen Miller,27,14,27,-3,0,0,-1,0,-5,-0.5,1,-4,-0.5,.461,.497,-0.4,-0.2,-3,$740000,Traded,/3H45D1,milleow01
Hoby Milner*,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$2050000,Free Agency,1,milneho01
Garrett Mitchell*,25,69,224,6,0,1,6,0,13,1.3,8,20,2.0,.519,.508,1.4,0.6,14,$744300,Amateur Draft,89H/D,mitchga01
Andruw Monasterio,27,59,142,-7,0,0,0,1,-6,-0.6,5,-1,-0.2,.490,.496,-0.2,0.1,-1,$752500,Free Agency,54H/3D7,monasan01
Joey Ortiz,25,142,511,-1,-1,0,8,4,10,1.1,17,28,2.7,.508,.507,1.9,1.3,20,$741500,Traded,*56/H4,ortizjo06
Joel Payamps,30,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1650000,Traded,1,payamjo01
Elvis Peguero,27,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$754300,Traded,1,pegueel01
Blake Perkins#,27,121,434,-9,1,2,8,3,4,0.4,15,19,1.8,.504,.503,1.0,1.2,11,$800000,Free Agency,*8H/D,perkibl01
Chris Roller,27,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.473,.500,0.0,0.0,0,$740000,Purchased,/8H,rollech01
Gary Sánchez,31,89,280,-2,-1,-2,0,-2,-7,-0.7,10,3,0.2,.492,.496,0.2,-0.2,3,$3000000,Free Agency,D2H/3,sanchga02
Brice Turang*,24,155,619,-11,7,2,22,5,25,2.7,21,47,4.7,.517,.516,2.4,2.8,25,$748200,Amateur Draft,*4H/D,turanbr02
Mitch White,29,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Purchased,/1,whitemi03
Joey Wiemer,25,19,27,-4,-1,0,2,0,-3,-0.3,1,-2,-0.2,.484,.498,-0.4,0.2,-4,$740000,Amateur Draft,7/H8D9,wiemejo01
Christian Yelich*,32,73,315,18,2,1,-5,-4,12,1.2,11,22,2.2,.517,.507,2.7,-0.9,27,$26000000,Traded,7D,yelicch01
Team Total,26.4,1710,6170,1,6,5,51,-2,62,6.2,209,271,26.0,.504,.504,20.8,5.1,220,$72540800,,,-9999
