Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Aaron Ashby*,26,28.1,14,2,13,4.13,4.58,0.37,-0.15,0.00,102.4,4.15,0,0.0,1.03,-0.1,0.2,3,.500,.500,$1450000,Amateur Draft,ashbyaa01
Jake Bauers*,28,4.0,4,0,2,4.50,4.51,0.52,-0.30,0.00,97.2,3.59,0,0.0,.00,0.0,0.0,0,.489,.500,$1350000,Traded,bauerja01
Bradley Blalock,23,1.0,1,0,0,0.00,4.74,0.41,-0.32,0.00,98.0,3.94,0,0.0,.23,0.0,0.0,1,.547,.500,,Traded,blalobr01
JB Bukauskas,27,6.0,6,0,1,1.50,4.51,0.35,-0.30,0.00,101.7,3.93,2,0.2,.67,0.0,0.2,2,.528,.501,$743400,Waivers,bukaujb01
Aaron Civale,29,74.0,14,14,31,3.77,4.55,0.41,0.21,0.00,99.2,4.31,4,0.4,,-0.1,1.1,11,.532,.503,,Traded,civalaa01
Robert Gasser*,25,28.0,5,5,9,2.89,3.95,0.47,0.18,0.00,106.1,3.89,3,0.3,,0.0,0.6,6,.565,.502,$740000,Traded,gassero01
DL Hall*,25,43.0,13,7,26,5.44,4.71,0.41,0.07,0.00,100.1,4.37,-5,-0.5,.52,0.0,-0.2,-1,.459,.497,$744200,Traded,halldl01
Kevin Herget,33,11.1,7,0,2,1.59,4.08,0.38,-0.27,0.00,102.4,3.51,2,0.3,.33,-0.1,0.3,3,.536,.502,$740000,Free Agency,hergeke01
Elieser Hernández,29,6.0,4,0,2,3.00,3.95,0.41,-0.26,0.00,103.6,3.39,0,0.0,.17,0.0,0.1,1,.506,.500,,Free Agency,hernael01
Bryan Hudson*,27,62.1,43,0,12,1.73,4.51,0.33,-0.30,0.00,101.8,3.95,15,1.6,1.50,0.2,2.5,21,.538,.510,$741700,Traded,hudsobr01
Tyler Jay*,30,3.0,2,0,0,0.00,4.01,0.27,-0.27,0.00,102.0,3.55,1,0.1,.11,-0.1,0.1,1,.564,.501,,Traded,jayty01
Jakob Junis,31,26.0,10,1,9,3.12,4.57,0.41,-0.23,0.43,100.8,4.40,4,0.4,1.25,0.0,0.6,6,.539,.502,$4000000,Free Agency,junisja01
Janson Junk,28,8.0,5,0,6,6.75,4.27,0.52,-0.28,0.00,99.5,3.45,-3,-0.3,.12,0.1,-0.1,-2,.441,.498,$740000,Traded,junkja01
Dallas Keuchel*,36,16.2,4,4,10,5.40,4.64,0.50,0.21,0.00,103.1,4.49,-2,-0.2,,0.0,0.0,0,.456,.499,,Purchased,keuchda01
