Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Willy Adames,28,do DO,R,R,6' 1",219,Sep 2 1995,7,161,161,161,161,0,0,0,0,0,161,0,0,0,0,0,0,0,3.1,$12250000,,adamewi01
Aaron Ashby,26,us US,R,L,6' 1",188,May 24 1998,3,14,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$1450000,,ashbyaa01
Jake Bauers,28,us US,L,L,5' 11",213,Oct 6 1995,5,117,77,116,89,4,0,76,0,0,0,8,0,10,16,17,33,2,-0.4,$1350000,,bauerja01
Tyler Black,23,ca CA,L,R,6' 1",204,Jul 26 2000,1st,18,14,18,6,0,0,6,0,0,0,0,0,0,0,10,1,3,-0.1,$740000,,blackty01
Bradley Blalock,23,us US,R,R,6' 2",213,Dec 25 2000,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,blalobr01
JB Bukauskas,27,us US,R,R,6' 0",208,Oct 11 1996,3,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$743400,,bukaujb01
Vinny Capra,27,us US,R,R,5' 8",180,Jul 7 1996,3,3,2,3,3,0,0,0,0,2,1,0,0,0,0,0,0,0,-0.1,$740000,,capravi01
Jackson Chourio,20,ve VE,R,R,6' 0",198,Mar 11 2004,1st,148,137,148,146,0,0,0,0,0,0,91,0,63,146,2,6,1,3.8,$2250000,,chourja01
Aaron Civale,29,us US,R,R,6' 2",215,Jun 12 1995,6,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1.1,,,civalaa01
Isaac Collins,26,us US,B,R,5' 8",185,Jul 22 1997,1st,11,3,11,7,0,0,0,2,0,0,5,0,0,5,2,6,2,-0.3,,,colliis01
William Contreras,26,ve VE,R,R,5' 11",212,Dec 24 1997,5,155,153,155,120,0,120,0,0,0,0,0,0,0,0,35,2,0,4.9,$766900,All-Star,contrwi02
Oliver Dunn,26,us US,L,R,5' 10",198,Sep 2 1997,1st,41,22,41,28,0,0,1,1,27,0,0,0,0,0,7,15,2,0.2,$740000,,dunnol01
Sal Frelick,24,us US,L,R,5' 8",185,Apr 19 2000,2,145,129,145,142,0,0,0,0,2,0,24,25,106,141,1,10,1,2.1,$746500,,frelisa01
