Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,rOBA,Rbatplus,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Pedro Pagés,25,C,0.8,68,218,202,19,48,3,2,7,27,2,0,13,58,.238,.281,.376,.657,82,.287,76,76,7,0,1,2,0,2/H3,,pagespe02
2,Paul Goldschmidt,36,1B,1.3,154,654,599,70,147,33,1,22,65,11,0,47,173,.245,.302,.414,.716,98,.326,104,248,20,2,0,2,2,*3/DH,,goldspa01
3,Nolan Gorman*,24,2B,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,.203,.271,.400,.671,85,.291,79,146,2,1,0,2,1,4/H5,,gormano01
4,Masyn Winn,22,SS,4.9,150,637,587,85,157,32,5,15,57,11,5,41,109,.267,.314,.416,.730,102,.317,100,244,1,1,3,5,1,*6/HD,,winnma01
5,Nolan Arenado,33,3B,2.5,152,635,578,70,157,23,0,16,71,2,2,44,92,.272,.325,.394,.719,101,.315,99,228,15,5,0,7,2,*5/DH,,arenano01
6,Brendan Donovan*,27,LF,2.6,153,652,587,65,163,34,3,14,73,5,5,47,81,.278,.342,.417,.759,112,.332,112,245,4,13,0,5,0,74/5DH9,,donovbr01
7,Michael Siani*,24,CF,0.7,124,334,298,42,68,7,2,2,20,20,3,21,92,.228,.285,.285,.570,61,.265,54,85,2,3,11,1,0,*8H/97D,,sianimi01
8,Lars Nootbaar*,26,RF,1.4,109,405,348,39,85,18,3,12,45,7,3,52,79,.244,.342,.417,.758,111,.334,112,145,10,1,1,3,2,978/H,,nootbla01
9,Alec Burleson*,25,DH,1.2,152,595,547,71,147,20,0,21,78,9,4,35,76,.269,.314,.420,.735,104,.325,105,230,8,4,1,6,0,D97H3,,burleal01
10,Willson Contreras,32,C,2.9,84,358,301,48,79,17,0,15,36,4,1,45,96,.262,.380,.468,.848,136,.370,137,141,7,12,0,0,2,2D/H,,contrwi01
11,Iván Herrera,24,C,1.7,72,259,229,37,69,12,1,5,27,5,0,25,53,.301,.372,.428,.800,124,.362,129,98,3,2,0,2,0,2D/H,,herreiv01
12,Jordan Walker,22,RF,-0.9,51,178,164,16,33,10,1,5,20,1,0,10,50,.201,.253,.366,.619,71,.267,63,60,4,2,0,2,0,9/HD,,walkejo02
13,Matt Carpenter*,38,DH,-0.1,59,157,137,15,32,7,0,4,15,0,2,15,51,.234,.314,.372,.686,92,.301,93,51,0,2,0,2,0,DH/345,,carpema01
14,Victor Scott II*,23,CF,-0.5,53,155,145,14,26,9,0,2,10,5,1,6,42,.179,.219,.283,.502,40,.235,38,41,0,2,0,2,0,8/9H7,,scottvi01
15,Dylan Carlson#,25,OF,-1.0,59,138,121,12,24,5,0,0,11,0,1,12,37,.198,.275,.240,.515,47,.233,42,29,2,2,0,3,0,98H/7D,,carlsdy01
16,Brandon Crawford*,37,IF,-0.2,28,80,71,5,12,5,0,1,4,0,0,8,26,.169,.263,.282,.544,53,.247,49,20,0,1,0,0,0,6/5HD1,,crawfbr01
17,José Fermín,25,IF,-0.6,45,79,71,7,11,1,1,0,4,2,1,7,11,.155,.241,.197,.438,25,.205,19,14,3,1,0,0,0,HD54/7,,fermijo01
18,Tommy Pham,36,OF,-0.3,23,77,68,7,14,3,1,2,12,0,0,7,16,.206,.286,.368,.653,82,.285,77,25,2,1,0,1,0,7/9HD,,phamth01
19,Thomas Saggese,22,IF,-0.2,18,52,49,5,10,2,0,1,4,0,0,2,14,.204,.250,.306,.556,55,.246,48,15,0,1,0,0,0,4/65,,saggeth01
20,Luken Baker,27,DH,-0.2,21,49,40,3,7,1,1,2,10,1,0,7,11,.175,.286,.400,.686,90,.298,83,16,1,0,0,2,0,DH/3,,bakerlu01
21,Ryan Fernandez,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,fernary01
22,Ryan Helsley,29,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,helslry01
23,John King*,29,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kingjo01
24,Andrew Kittredge,34,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,kittran01
25,Kyle Leahy#,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,leahyky01
26,JoJo Romero*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,romerjo01
,Team Totals,,,16.4,162,6114,5507,672,1363,257,21,165,639,91,29,478,1318,.248,.312,.392,.703,96,.311,95,2157,91,56,17,47,10,,,-9999
