Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,Name-additional
Nolan Arenado,33,12,Traded,10.155,Wasserman,9 yrs/$275M (19-27),$35M,$32M,$27M,$15M,FA,arenano01
Paul Goldschmidt,36,14,Traded,12.059,Excel Sports Mana...,5 yrs/$130M (20-24),$26M,FA,,,,goldspa01
Willson Contreras,32,9,Free Agency,7.108,Octagon,5 yrs/$87.5M (23-27) & 28 team option,$18M,$18M,$18M,$18.5M,$5M [FA-*],contrwi01
Sonny Gray,34,12,Free Agency,10.061,Bo McKinnis,3 yrs/$75M (24-26) & 27 team option,$10M,$25M,$35M,$5M [FA-*],FA,grayso01
Miles Mikolas,35,9,Free Agency,7.037,Octagon,3 yrs/$55.75M (23-25),$18.5M,$18.5M,FA,,,mikolmi01
Steven Matz,33,10,Free Agency,8.099,Icon Sports Manag...,4 yrs/$44M (22-25),$12.5M,$12.5M,FA,,,matzst01
Erick Fedde,31,7,Traded,4.099,Boras Corporation,2 yrs/$15M (24-25),$7.5M,$7.5M,FA,,,feddeer01
Kyle Gibson,36,12,Free Agency,10.039,Rowley Sports Man...,1 yr/$13M (24) & 25 team option,$12M,$1M [FA-*],FA,,,gibsoky01
Matt Carpenter,38,14,Free Agency,11.145,SSG Baseball,2 yrs/$12M (23-24),$5.5M,FA,,,,carpema01
Lance Lynn,37,13,Free Agency,12.119,Headline Sports G...,1 yr/$11M (24) & 25 team option,$10M,$1M [FA-*],FA,,,lynnla01
Keynan Middleton,30,7,,6.023,ACES,1 yr/$5M (24) & 25 team option,$5M,$0 [FA-*],FA,,,middlke01
Ryan Helsley,29,6,Amateur Draft,4.105,Wasserman,1 yr/$3.8M (24),$3.8M,Arb,FA,,,helslry01
Andrew Kittredge,34,8,Traded,5.070,Paragon Sports In...,1 yr/$2.63M (24),$2.63M,FA,,,,kittran01
Nolan Gorman,24,3,Amateur Draft,1.139,,1 yr/$756k (24),$755.55k,Pre-Arb,Arb,Arb,Arb,gormano01
Zack Thompson,26,3,Amateur Draft,1.045,,1 yr/$751k (24),$750.85k,Pre-Arb,Arb,Arb,Arb,thompza02
John King,29,5,Traded,2.148,,1 yr/$1.01M (24),$1M,Arb,Arb,Arb,FA,kingjo01
JoJo Romero,27,5,Traded,3.045,PSI Sports Manage...,1 yr/$860k (24),$860k,Arb,Arb,FA,,romerjo01
Lars Nootbaar,26,4,Amateur Draft,2.076,Wasserman,1 yr/$761k (24),$761k,Arb,Arb,Arb,FA,nootbla01
Brendan Donovan,27,3,Amateur Draft,2.000,,1 yr/$757k (24),$757.2k,Arb,Arb,Arb,FA,donovbr01
Andre Pallante,25,3,Amateur Draft,1.166,Wasserman,1 yr/$757k (24),$756.9k,Arb,Arb,Arb,Arb,pallaan01
Alec Burleson,25,3,Amateur Draft,1.029,,1 yr/$750k (24),$750.05k,Pre-Arb,Arb,Arb,Arb,burleal01
